1503,,,,,,,,1122,1040,990,973,149,0,,,,,,,,,
ISO NO.,PIECE MARK,REF. DWG.,SHT. NO.,LINE NO.,PAINT SYS.,TOP COAT,PRIORITY,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,SHIP TO COATING,TO SITE,LOAD NO.,READY TO SHIP,READY TO SHIP COATING,COMMENTS,SPEC.,AREA,ON HOLD,SHOP,S.O.
     168-1,6-7114-168-1                  ,64268-P1B43BL-6                              ,1,"1.5""-ADD-64268-P1B43BL-6                     ",NONE                     ,-                   ,1,9/30/2020,10/8/2020,10/12/2020,10/12/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     169-1,6-7114-169-1                  ,64268-P1B43BL-6                              ,2,"1.5""-ADD-64268-P1B43BL-6                     ",NONE                     ,-                   ,1,9/30/2020,10/7/2020,10/12/2020,10/12/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     170-1,6-7114-170-1                  ,64268-P1B43BL-6                              ,3,"1.5""-ADD-64268-P1B43BL-6                     ",NONE                     ,-                   ,1,9/30/2020,10/7/2020,10/12/2020,10/12/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     172-1,6-7114-172-1                  ,64269-P1B43BL-6                              ,2,2-ADD-64269-P1B43BL-6                        ,NONE                     ,-                   ,1,9/30/2020,10/6/2020,10/7/2020,10/7/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     172-2,6-7114-172-2                  ,64269-P1B43BL-6                              ,2,2-ADD-64269-P1B43BL-6                        ,NONE                     ,-                   ,1,9/30/2020,10/6/2020,10/6/2020,10/7/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     173-1,6-7114-173-1                  ,64270-P1B206AC-6                             ,1,"2""-V-64270-P1B206AC-6                        ",NONE                     ,-                   ,1,10/6/2020,10/8/2020,10/8/2020,10/8/2020,,,M3001     ,,,,P1B206AC  ,6,,MOBILE    ,7114
     174-1,6-7114-174-1                  ,64271-P1B206AC-6                             ,1,"3""-V-64271-P1B206AC-6                        ",NONE                     ,-                   ,1,10/6/2020,10/8/2020,10/9/2020,10/9/2020,,,M3001     ,,,,P1B206AC  ,6,,MOBILE    ,7114
     175-1,6-7114-175-1                  ,64272-P1B43BL-6                              ,1,"1""-ADD-64272-P1B43BL-6                       ",NONE                     ,-                   ,1,9/30/2020,10/6/2020,10/6/2020,10/7/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     176-1,6-7114-176-1                  ,64273-P1B43BL-6                              ,1,"1""-ADD-64273-P1B43BL-6                       ",NONE                     ,-                   ,1,9/30/2020,10/7/2020,10/7/2020,10/8/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     177-1,6-7114-177-1                  ,64274-P1B206AC-6                             ,1,"0.5""-V-64274-P1B206AC-6                      ",NONE                     ,-                   ,1,10/1/2020,10/13/2020,10/15/2020,10/15/2020,,,M3002     ,,,,P1B206AC  ,6,,MOBILE    ,7114
     178-1,6-7114-178-1                  ,64296-P1B206AC-6                             ,1,"2""-V-64296-P1B206AC-6                        ",NONE                     ,-                   ,1,10/6/2020,10/7/2020,10/9/2020,10/9/2020,,,M3002     ,,,,P1B206AC  ,6,,MOBILE    ,7114
     179-1,6-7114-179-1                  ,64297-P1B206AC-6                             ,1,"2""-V-64297-P1B206AC-6                        ",NONE                     ,-                   ,1,10/6/2020,10/8/2020,10/9/2020,10/12/2020,,,M3002     ,,,,P1B206AC  ,6,,MOBILE    ,7114
     180-1,6-7114-180-1                  ,64298-P1B206AC-6                             ,1,2-V-64298-P1B206AC-6                         ,NONE                     ,-                   ,1,10/1/2020,10/6/2020,10/6/2020,10/6/2020,,,M3001     ,,,,P1B206AC  ,6,,MOBILE    ,7114
     180-2,6-7114-180-2                  ,64298-P1B206AC-6                             ,1,2-V-64298-P1B206AC-6                         ,NONE                     ,-                   ,1,10/6/2020,10/8/2020,10/8/2020,10/8/2020,,,M3001     ,,,,P1B206AC  ,6,,MOBILE    ,7114
     181-1,6-7114-181-1                  ,64301-P1B206AC-6                             ,1,4-V-64301-P1B206AC-6                         ,NONE                     ,-                   ,1,10/15/2020,10/17/2020,,,,,,,,,P1B206AC  ,6,,BR        ,7114
     182-1,6-7114-182-1                  ,64307-P1B43BL-6                              ,1,"3""-SLR-64307-P1B43BL-6                       ",NONE                     ,-                   ,1,10/15/2020,10/16/2020,,,,,,,,,P1B43BL   ,6,,MOBILE    ,7114
     184-2,6-7114-184-2                  ,64308-P1B43BL-6                              ,1,2-SLR-64308-P1B43BL-6                        ,NONE                     ,-                   ,1,10/14/2020,10/15/2020,10/16/2020,10/16/2020,,,B3002     ,,,,P1B43BL   ,6,,BR        ,7114
     185-1,6-7114-185-1                  ,64308-P1B43BL-6                              ,2,2-SLR-64308-P1B43BL-6                        ,NONE                     ,-                   ,1,10/7/2020,10/12/2020,10/12/2020,10/12/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     185-2,6-7114-185-2                  ,64308-P1B43BL-6                              ,2,2-SLR-64308-P1B43BL-6                        ,NONE                     ,-                   ,1,10/7/2020,10/12/2020,10/13/2020,10/13/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     185-3,6-7114-185-3                  ,64308-P1B43BL-6                              ,2,2-SLR-64308-P1B43BL-6                        ,NONE                     ,-                   ,1,10/14/2020,10/15/2020,10/16/2020,10/16/2020,,,B3002     ,,,,P1B43BL   ,6,,BR        ,7114
     187-1,6-7114-187-1                  ,64318-P1A4L-6                                ,1,"2""-HTF-64318-P1A4L-6                         ",SZ309S                   ,WHITE RAL 9016      ,1,9/28/2020,9/29/2020,9/29/2020,9/29/2020,10/13/2020,,P2001     ,,,,P1A4L     ,6,,PA        ,7114
     188-1,6-7114-188-1                  ,64324-P1B43BL-6                              ,1,"1""-SLR-64323-P1B43BL-6                       ",NONE                     ,-                   ,1,9/30/2020,10/1/2020,10/1/2020,10/5/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     188-2,6-7114-188-2                  ,64324-P1B43BL-6                              ,1,"1""-SLR-64323-P1B43BL-6                       ",NONE                     ,-                   ,1,10/6/2020,10/8/2020,10/8/2020,10/9/2020,,,M3001     ,,,,P1B43BL   ,6,,MOBILE    ,7114
     188-3,6-7114-188-3                  ,64324-P1B43BL-6                              ,1,"1""-SLR-64323-P1B43BL-6                       ",NONE                     ,-                   ,1,10/7/2020,10/13/2020,10/13/2020,10/14/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     189-1,6-7114-189-1                  ,64324-P1B43BL-6                              ,2,"1""-SLR-64323-P1B43BL-6                       ",NONE                     ,-                   ,1,10/6/2020,10/9/2020,10/15/2020,10/15/2020,,,M3003     ,,,,P1B43BL   ,6,,MOBILE    ,7114
     190-3,6-7114-190-3                  ,64324-P1B43BL-6                              ,3,"1""-SLR-64323-P1B43BL-6                       ",NONE                     ,-                   ,1,10/7/2020,10/8/2020,10/12/2020,10/12/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     191-1,6-7114-191-1                  ,64324-P1B43BL-6                              ,4,"1""-SLR-64323-P1B43BL-6                       ",NONE                     ,-                   ,1,9/30/2020,10/13/2020,10/14/2020,10/15/2020,,,B3002     ,,,,P1B43BL   ,6,,BR        ,7114
     193-1,6-7114-193-1                  ,64327-P1B43BL-6                              ,2,"1""-SLR-64327-P1B43BL-6                       ",NONE                     ,-                   ,1,10/7/2020,10/13/2020,10/13/2020,10/14/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     195-1,6-7114-195-1                  ,64328-P1B43BL-6                              ,2,"1""-SLR-64328-P1B43BL-6                       ",NONE                     ,-                   ,1,10/7/2020,10/8/2020,10/12/2020,10/12/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     196-1,6-7114-196-1                  ,64334-P1B43BL-6                              ,1,"1""-SLR-64323-P1B43BL-6                       ",NONE                     ,-                   ,1,9/29/2020,10/1/2020,10/1/2020,10/5/2020,,,M3001     ,,,,P1B43BL   ,6,,MOBILE    ,7114
     196-2,6-7114-196-2                  ,64334-P1B43BL-6                              ,1,"1""-SLR-64323-P1B43BL-6                       ",NONE                     ,-                   ,1,10/7/2020,10/13/2020,10/14/2020,10/15/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     197-1,6-7114-197-1                  ,64334-P1B43BL-6                              ,2,"1""-SLR-64323-P1B43BL-6                       ",NONE                     ,-                   ,1,10/7/2020,10/13/2020,10/14/2020,10/14/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     197-2,6-7114-197-2                  ,64334-P1B43BL-6                              ,2,"1""-SLR-64323-P1B43BL-6                       ",NONE                     ,-                   ,1,10/7/2020,10/13/2020,10/14/2020,10/14/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     197-3,6-7114-197-3                  ,64334-P1B43BL-6                              ,2,"1""-SLR-64323-P1B43BL-6                       ",NONE                     ,-                   ,1,10/7/2020,10/12/2020,10/12/2020,10/12/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     197-4,6-7114-197-4                  ,64334-P1B43BL-6                              ,2,"1""-SLR-64323-P1B43BL-6                       ",NONE                     ,-                   ,1,9/29/2020,9/29/2020,9/29/2020,9/29/2020,,,M3001     ,,,,P1B43BL   ,6,,MOBILE    ,7114
     198-1,6-7114-198-1                  ,64336-P1B206AC-6                             ,1,8-V-64336-P1V206AC-6                         ,NONE                     ,-                   ,1,10/1/2020,10/5/2020,10/5/2020,10/6/2020,,,M3001     ,,,,P1B206AC  ,6,,MOBILE    ,7114
     201-1,6-7114-201-1                  ,64340-P1B151B-6                              ,1,"3""-SOL-64340-P1B151B-6                       ",NONE                     ,-                   ,1,9/29/2020,10/1/2020,10/1/2020,10/1/2020,,,M3001     ,,,,P1B151B   ,6,,MOBILE    ,7114
     202-1,6-7114-202-1                  ,64340-P1B151B-6                              ,2,"3""-SOL-64340-P1B151B-6                       ",NONE                     ,-                   ,1,10/7/2020,10/12/2020,10/12/2020,10/13/2020,,,B3001     ,,,,P1B151B   ,6,,BR        ,7114
     202-3,6-7114-202-3                  ,64340-P1B151B-6                              ,2,"3""-SOL-64340-P1B151B-6                       ",NONE                     ,-                   ,1,10/7/2020,10/12/2020,10/12/2020,10/13/2020,,,B3001     ,,,,P1B151B   ,6,,BR        ,7114
     205-1,6-7114-205-1                  ,64343-P1B151B-6                              ,1,"1.5""-SOL-64343-P1B151B-6                     ",NONE                     ,-                   ,1,,,,,,,,,,,P1B151B   ,6,,BR        ,7114
     205-2,6-7114-205-2                  ,64343-P1B151B-6                              ,1,"1.5""-SOL-64343-P1B151B-6                     ",NONE                     ,-                   ,1,9/29/2020,9/29/2020,9/29/2020,10/1/2020,,,M3001     ,,,,P1B151B   ,6,,MOBILE    ,7114
     207-1,6-7114-207-1                  ,64343-P1B151B-6                              ,3,"1.5""-SOL-64343-P1B151B-6                     ",NONE                     ,-                   ,1,,,,,,,,,,,P1B151B   ,6,,BR        ,7114
     207-2,6-7114-207-2                  ,64343-P1B151B-6                              ,3,"1.5""-SOL-64343-P1B151B-6                     ",NONE                     ,-                   ,1,9/29/2020,9/29/2020,9/29/2020,10/1/2020,,,M3001     ,,,,P1B151B   ,6,,MOBILE    ,7114
     209-1,6-7114-209-1                  ,64343-P1B151B-6                              ,5,"1.5""-SOL-64343-P1B151B-6                     ",NONE                     ,-                   ,1,10/1/2020,10/5/2020,10/5/2020,10/6/2020,,,B3001     ,,,,P1B151B   ,6,,BR        ,7114
     209-2,6-7114-209-2                  ,64343-P1B151B-6                              ,5,"1.5""-SOL-64343-P1B151B-6                     ",NONE                     ,-                   ,1,10/1/2020,10/7/2020,10/12/2020,10/13/2020,,,B3001     ,,,,P1B151B   ,6,,BR        ,7114
     210-1,6-7114-210-1                  ,64061-P1A4L-6                                ,1,"2""-HTF-64061-P1A4L-6                         ",SZ309S                   ,WHITE RAL 9016      ,1,9/28/2020,9/29/2020,9/30/2020,9/30/2020,10/13/2020,,P2001     ,,,,P1A4L     ,6,,PA        ,7114
     211-1,6-7114-211-1                  ,64075-P1A4L-6                                ,1,"2""-HTF-64075-P1A4L-6-C2-1.5""                 ",SZ307S                   ,-                   ,1,9/30/2020,10/6/2020,10/7/2020,10/8/2020,,,P2002     ,,,,P1A4L     ,6,,PA        ,7114
     212-1,6-7114-212-1                  ,64104-P1A4L-6                                ,1,"2""-HTF-64104-P1A4L-6-C2-1.5""                 ",SZ307S                   ,-                   ,1,,,,,,,,,,,P1A4L     ,6,,PA        ,7114
     214-1,6-7114-214-1                  ,64116-P1A4L-6                                ,1,"1""-HTF-64116-P1A4L-6-C2-1""                   ",SZ307S                   ,-                   ,1,10/6/2020,10/13/2020,10/14/2020,10/14/2020,,,P2002     ,,,,P1A4L     ,6,,PA        ,7114
     214-2,6-7114-214-2                  ,64116-P1A4L-6                                ,1,"1""-HTF-64116-P1A4L-6-C2-1""                   ",SZ307S                   ,-                   ,1,10/6/2020,10/13/2020,10/15/2020,10/15/2020,,,P2002     ,,,,P1A4L     ,6,,PA        ,7114
     215-1,6-7114-215-1                  ,64117-P1A4L-6                                ,1,"3/4""-HTF-64117-P1A4L-6-C2-1""                 ",SZ307S                   ,-                   ,1,10/15/2020,10/15/2020,10/16/2020,10/16/2020,,,,,,,P1A4L     ,6,,PA        ,7114
     215-2,6-7114-215-2                  ,64117-P1A4L-6                                ,1,"3/4""-HTF-64117-P1A4L-6-C2-1""                 ",SZ307S                   ,-                   ,1,9/29/2020,9/29/2020,9/29/2020,9/30/2020,10/13/2020,,P2001     ,,,,P1A4L     ,6,,PA        ,7114
     216-1,6-7114-216-1                  ,64117-P1A4L-6                                ,2,"3/4""-HTF-64117-P1A4L-6-C2-1""                 ",SZ307S                   ,-                   ,1,10/15/2020,10/15/2020,10/16/2020,10/16/2020,,,,,,,P1A4L     ,6,,PA        ,7114
     216-2,6-7114-216-2                  ,64117-P1A4L-6                                ,2,"3/4""-HTF-64117-P1A4L-6-C2-1""                 ",SZ307S                   ,-                   ,1,10/15/2020,10/15/2020,10/16/2020,10/16/2020,,,,,,,P1A4L     ,6,,PA        ,7114
     217-1,6-7114-217-1                  ,64121-P1A4L-6                                ,1,"1""-HTF-64121-P1A4L-6-C2-1""                   ",SZ307S                   ,-                   ,1,10/6/2020,10/13/2020,10/15/2020,10/15/2020,,,P2002     ,,,,P1A4L     ,6,,PA        ,7114
     217-2,6-7114-217-2                  ,64121-P1A4L-6                                ,1,"1""-THF-64121-P1A4L-6-C2-1""                   ",SZ307S                   ,-                   ,1,9/29/2020,9/30/2020,9/30/2020,9/30/2020,,,P2002     ,,,,P1A4L     ,6,,PA        ,7114
     218-2,6-7114-218-2                  ,64122-P1A4L-6                                ,1,"1 1/2""-HTF-64122-P1A4L-6-C2-1""               ",SZ307S                   ,-                   ,1,,,,,,,,,,,P1A4L     ,6,,PA        ,7114
     219-1,6-7114-219-1                  ,64122-P1A4L-6                                ,2,"1 1/2""-HTF-64122-P1A4L-6-C2-1""               ",SZ309S                   ,WHITE RAL 9016      ,1,10/6/2020,10/15/2020,10/15/2020,10/16/2020,,,,,,,P1A4L     ,6,,PA        ,7114
     219-2,6-7114-219-2                  ,64122-P1A4L-6                                ,2,"1 1/2""-HTF-64122-P1A4L-6-C2-1""               ",SZ309S                   ,WHITE RAL 9016      ,1,10/6/2020,10/13/2020,10/13/2020,10/13/2020,,,P2002     ,,,,P1A4L     ,6,,PA        ,7114
     220-1,6-7114-220-1                  ,64128-P1B43BL-6                              ,1,"3""-FS-64128-P1B43BL-6-C2-1.5""                ",NONE                     ,-                   ,1,9/30/2020,10/1/2020,10/1/2020,10/5/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     220-2,6-7114-220-2                  ,64128-P1B43BL-6                              ,1,"3""-FS-64128-P1B43BL-6-C2-1.5""                ",NONE                     ,-                   ,1,9/30/2020,10/5/2020,10/6/2020,10/7/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     220-3,6-7114-220-3                  ,64128-P1B43BL-6                              ,1,"3""-FS-64128-P1B43BL-6-C2-1.5""                ",NONE                     ,-                   ,1,10/14/2020,10/16/2020,10/16/2020,10/16/2020,,,B3002     ,,,,P1B43BL   ,6,,BR        ,7114
     221-1,6-7114-221-1                  ,64129-P1B43BL-6                              ,1,"1-FS-64129-P1B43BL-6-C2-1""                   ",NONE                     ,-                   ,1,9/30/2020,10/1/2020,10/6/2020,10/6/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     222-1,6-7114-222-1                  ,64129-P1B43BL-6                              ,2,"1-FS-64129-P1B43BL-6-C2-1""                   ",NONE                     ,-                   ,1,9/30/2020,10/1/2020,10/7/2020,10/7/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     222-2,6-7114-222-2                  ,64129-P1B43BL-6                              ,2,"1-FS-64129-P1B43BL-6-C2-1""                   ",NONE                     ,-                   ,1,9/30/2020,10/7/2020,10/7/2020,10/8/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     223-1,6-7114-223-1                  ,64129-P1B43BL-6                              ,3,"1-FS-64129-P1B43BL-6-C2-1""                   ",NONE                     ,-                   ,1,9/30/2020,10/1/2020,10/5/2020,10/6/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     224-1,6-7114-224-1                  ,64132-P1B43BL-6                              ,1,"1""-FS-64132-P1B43BL-6-C2-1""                  ",NONE                     ,-                   ,1,9/30/2020,10/7/2020,10/8/2020,10/8/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     225-2,6-7114-225-2                  ,64132-P1B43BL-6                              ,2,"1""-FS-64132-P1B43BL-6-C2-1""                  ",NONE                     ,-                   ,1,9/30/2020,10/1/2020,10/1/2020,10/5/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     226-1,6-7114-226-1                  ,64140-P1B43BL-6                              ,1,"2""-FS-64140-P1B43BL-6-C2E-1.5""-TE            ",NONE                     ,-                   ,1,10/8/2020,10/12/2020,10/13/2020,10/16/2020,,,,,,,P1B43BL   ,6,,BR        ,7114
     227-1,6-7114-227-1                  ,64140-P1B43BL-6                              ,2,"2""-FS-64140-P1B43BL-6-C2E-1.5""-TE            ",NONE                     ,-                   ,1,10/8/2020,10/13/2020,10/14/2020,10/16/2020,,,B3002     ,,,,P1B43BL   ,6,,BR        ,7114
     228-3,6-7114-228-3                  ,64140-P1B43BL-6                              ,3,"2""-FS-64140-P1B43BL-6-C2E-1.5""-TE            ",NONE                     ,-                   ,1,10/7/2020,10/8/2020,10/8/2020,10/12/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     229-1,6-7114-229-1                  ,64171-P1B43BL-6                              ,1,"1""-SLR-64171-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,9/30/2020,10/5/2020,10/6/2020,10/7/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     229-2,6-7114-229-2                  ,64171-P1B43BL-6                              ,1,"1""-SLR-64171-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,9/30/2020,10/5/2020,10/6/2020,10/7/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     230-1,6-7114-230-1                  ,64171-P1B43BL-6                              ,2,"1""-SLR-64171-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,9/30/2020,10/8/2020,10/8/2020,10/8/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     231-3,6-7114-231-3                  ,64171-P1B43BL-6                              ,3,"1""-SLR-64171-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,9/30/2020,10/7/2020,10/7/2020,10/7/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     232-1,6-7114-232-1                  ,64171-P1B43BL-6                              ,4,"1""-SLR-64171-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,9/30/2020,10/1/2020,10/6/2020,10/7/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     233-1,6-7114-233-1                  ,64171-P1B43BL-6                              ,5,"1""-SLR-64171-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,9/30/2020,10/8/2020,10/12/2020,10/12/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     233-2,6-7114-233-2                  ,64171-P1B43BL-6                              ,5,"1""-SLR-64171-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,9/29/2020,9/29/2020,10/5/2020,10/5/2020,,,M3001     ,,,,P1B43BL   ,6,,MOBILE    ,7114
     234-1,6-7114-234-1                  ,64174-P1B43BL-6                              ,1,".5-SLR-64174-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,10/1/2020,10/6/2020,10/7/2020,10/8/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     235-1,6-7114-235-1                  ,64206-P1B43BL-6                              ,1,"1""-SLR-64206-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,9/30/2020,10/6/2020,10/7/2020,10/8/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     235-2,6-7114-235-2                  ,64206-P1B43BL-6                              ,1,"1""-SLR-64206-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,10/14/2020,,,,,,,,,,P1B43BL   ,6,,BR        ,7114
     236-1,6-7114-236-1                  ,64206-P1B43BL-6                              ,2,"1""-SLR-64206-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,10/14/2020,10/16/2020,,,,,,,,,P1B43BL   ,6,,BR        ,7114
     237-1,6-7114-237-1                  ,64206-P1B43BL-6                              ,3,"1""-SLR-64206-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,9/30/2020,10/6/2020,10/7/2020,10/8/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     238-1,6-7114-238-1                  ,64206-P1B43BL-6                              ,4,"1""-SLR-64206-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,9/30/2020,10/6/2020,10/7/2020,10/8/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     239-1,6-7114-239-1                  ,64206-P1B43BL-6                              ,5,"1""-SLR-64206-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,9/30/2020,10/1/2020,10/5/2020,10/5/2020,,,M3001     ,,,,P1B43BL   ,6,,MOBILE    ,7114
     239-2,6-7114-239-2                  ,64206-P1B43BL-6                              ,5,"1""-SLR-64206-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,9/30/2020,10/6/2020,10/7/2020,10/8/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     240-1,6-7114-240-1                  ,64221-P1B43BL-6                              ,1,"1""-ADD-64221-P1B43BL-6-C2E-1.5""-TE           ",NONE                     ,-                   ,1,10/15/2020,10/16/2020,10/16/2020,10/16/2020,,,B3002     ,,,,P1B43BL   ,6,,BR        ,7114
     240-2,6-7114-240-2                  ,64221-P1B43BL-6                              ,1,"1""-ADD-64221-P1B43BL-6-C2E-1.5""-TE           ",NONE                     ,-                   ,1,9/30/2020,10/6/2020,10/7/2020,10/8/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     241-1,6-7114-241-1                  ,64221-P1B43BL-6                              ,2,"1""-ADD-64221-P1B43BL-6-C2E-1.5""-TE           ",NONE                     ,-                   ,1,9/30/2020,10/8/2020,10/12/2020,10/13/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     242-1,6-7114-242-1                  ,64221-P1B43BL-6                              ,3,"1""-ADD-64221-P1B43BL-6-C2E-1.5""-TE           ",NONE                     ,-                   ,1,9/30/2020,10/1/2020,10/6/2020,10/7/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     242-2,6-7114-242-2                  ,64221-P1B43BL-6                              ,3,"1""-ADD-64221-P1B43BL-6-C2E-1.5""-TE           ",NONE                     ,-                   ,1,9/30/2020,10/1/2020,10/6/2020,10/7/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
     244-1,6-7114-244-1                  ,64233-P1A4L-6                                ,2,"2""-HTF-64233-P1A4L-6-C2-1.5""                 ",SZ307S                   ,-                   ,1,9/29/2020,9/30/2020,9/30/2020,9/30/2020,10/13/2020,,P2001     ,,,,P1A4L     ,6,,PA        ,7114
     245-1,6-7114-245-1                  ,64233-P1A4L-6                                ,3,"2""-HTF-64233-P1A4L-6-C2-1.5""                 ",SZ307S                   ,-                   ,1,10/6/2020,10/13/2020,10/14/2020,10/14/2020,,,,,,,P1A4L     ,6,,PA        ,7114
     246-1,6-7114-246-1                  ,64234-P1B43BL-6                              ,1,".75""-ADD-64234-P143BL-6                      ",NONE                     ,-                   ,1,9/29/2020,10/7/2020,10/8/2020,10/8/2020,,,M3001     ,,,,P1B43BL   ,6,,MOBILE    ,7114
     247-1,6-7114-247-1                  ,64234-P1B43BL-6                              ,2,".75""-ADD-64234-P143BL-6                      ",NONE                     ,-                   ,1,10/8/2020,10/9/2020,10/9/2020,10/9/2020,,,M3001     ,,,,P1B43BL   ,6,,MOBILE    ,7114
     247-2,6-7114-247-2                  ,64234-P1B43BL-6                              ,2,".75""-ADD-64234-P143BL-6                      ",NONE                     ,-                   ,1,9/29/2020,10/7/2020,10/7/2020,10/7/2020,,,M3001     ,,,,P1B43BL   ,6,,MOBILE    ,7114
     248-1,6-7114-248-1                  ,64235-P1B43BL-6                              ,1,"3/4""-ADD-64235-P1B43BL-6                     ",NONE                     ,-                   ,1,10/8/2020,10/9/2020,10/9/2020,10/9/2020,,,M3001     ,,,,P1B43BL   ,6,,MOBILE    ,7114
     248-2,6-7114-248-2                  ,64235-P1B43BL-6                              ,1,"3/4""-ADD-64235-P1B43BL-6                     ",NONE                     ,-                   ,1,10/15/2020,10/16/2020,10/17/2020,10/17/2020,,,B3002     ,,,,P1B43BL   ,6,,BR        ,7114
     249-1,6-7114-249-1                  ,64239-P1B43BL-6                              ,1,".75""-ADD-64239-P1B43BL-6                     ",NONE                     ,-                   ,1,10/15/2020,10/16/2020,10/16/2020,10/16/2020,,,B3002     ,,,,P1B43BL   ,6,,BR        ,7114
     250-1,6-7114-250-1                  ,64306-P1A4L-6                                ,1,"2""-HTF-64306-P1A4L-6-C2-2""                   ",SZ307S                   ,-                   ,1,10/16/2020,10/16/2020,,,,,,,,,P1A4L     ,6,,PA        ,7114
     253-1,6-7114-253-1                  ,64311-P1A4L-6                                ,1,"2""-HTF-64311-P1A4L-6                         ",SZ309S                   ,WHITE RAL 9016      ,1,10/13/2020,10/14/2020,10/15/2020,10/15/2020,,,P2002     ,,,,P1A4L     ,6,,PA        ,7114
     255-1,6-7114-255-1                  ,64312-P1A4L-6                                ,2,"2""-HTF-64312-P1A4L-6-C2-1.5""                 ",SZ307S                   ,-                   ,1,,,,,,,,,,,P1A4L     ,6,,PA        ,7114
     256-1,6-7114-256-1                  ,64312-P1A4L-6                                ,4,"2""-HTF-64312-P1A4L-6-C2-1.5""                 ",SZ307S                   ,-                   ,1,10/15/2020,10/15/2020,10/15/2020,10/15/2020,,,P2002     ,,,,P1A4L     ,6,,PA        ,7114
     257-1,6-7114-257-1                  ,64312-P1A4L-6                                ,5,"2""-HTF-64312-P1A4L-6-C2-1.5""                 ",SZ307S                   ,-                   ,1,10/14/2020,,,,,,,,,,P1A4L     ,6,,PA        ,7114
     257-2,6-7114-257-2                  ,64312-P1A4L-6                                ,5,"2""-HTF-64312-P1A4L-6-C2-1.5""                 ",SZ307S                   ,-                   ,1,,,,,,,,,,,P1A4L     ,6,,PA        ,7114
