1503,,,,,,,,1122,1040,990,973,149,0,,,,,,,,,
ISO NO.,PIECE MARK,REF. DWG.,SHT. NO.,LINE NO.,PAINT SYS.,TOP COAT,PRIORITY,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,SHIP TO COATING,TO SITE,LOAD NO.,READY TO SHIP,READY TO SHIP COATING,COMMENTS,SPEC.,AREA,ON HOLD,SHOP,S.O.
237,6-7114-237-2                  ,64206-P1B43BL-6                              ,3,"1""-SLR-64206-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,10/14/2020,,,,,,,,,,P1B43BL   ,6,,BR        ,7114
237,6-7114-237-3                  ,64206-P1B43BL-6                              ,3,"1""-SLR-64206-P1B43BL-6-C6-0.75""              ",NONE                     ,-                   ,1,10/14/2020,,,,,,,,,,P1B43BL   ,6,,BR        ,7114
395,6-7114-395-1                  ,64945-P1A109J-6                              ,1,"1/2""-AIR-64945-P1A109J-6                     ",HOT DIP GALV             ,-                   ,1,9/30/2020,10/7/2020,10/7/2020,10/7/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
395,6-7114-395-1A                 ,64945-P1A109J-6                              ,1,"1/2""-AIR-64945-P1A109J-6                     ",HOT DIP GALV             ,-                   ,1,9/30/2020,10/7/2020,10/7/2020,10/7/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
401,6-7114-401-2                  ,64977-P1A42M-6                               ,2,"1/2""-DWW-64977-P1A42M-6                      ",HOT DIP GALV.            ,-                   ,1,9/30/2020,10/5/2020,10/5/2020,10/6/2020,10/16/2020,,P5001     ,,,,P1A42M    ,6,,PA        ,7114
401,6-7114-401-2A                 ,64977-P1A42M-6                               ,2,"1/2""-DWW-64977-P1A42M-6                      ",HOT DIP GALV.            ,-                   ,1,9/30/2020,10/5/2020,10/5/2020,10/5/2020,10/16/2020,,P5001     ,,,,P1A42M    ,6,,PA        ,7114
405,6-7114-405-2                  ,65068-P1B43BL-6                              ,1,"1""-DM-65068-P1B43BL-6                        ",NONE                     ,-                   ,1,9/30/2020,10/1/2020,10/6/2020,10/7/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
405,6-7114-405-3                  ,65068-P1B43BL-6                              ,1,"1""-DM-65068-P1B43BL-6                        ",NONE                     ,-                   ,1,9/30/2020,10/1/2020,10/1/2020,10/1/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
405,6-7114-405-4                  ,65068-P1B43BL-6                              ,1,"1""-DM-65068-P1B43BL-6                        ",NONE                     ,-                   ,1,9/30/2020,10/1/2020,10/1/2020,10/1/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
405,6-7114-405-5                  ,65068-P1B43BL-6                              ,1,"1""-DM-65068-P1B43BL-6                        ",NONE                     ,-                   ,1,9/30/2020,10/1/2020,10/1/2020,10/1/2020,,,B3001     ,,,,P1B43BL   ,6,,BR        ,7114
422,6-7114-422-2                  ,65214-P1B386C-6                              ,1,"2""-PW-65214-P1B386C-6                        ",NONE                     ,-                   ,1,10/8/2020,10/12/2020,10/12/2020,10/12/2020,,,M3002     ,,,,P1B386C   ,6,,MOBILE    ,7114
422,6-7114-422-3                  ,65214-P1B386C-6                              ,1,"2""-PW-65214-P1B386C-6                        ",NONE                     ,-                   ,1,10/8/2020,10/12/2020,10/12/2020,10/12/2020,,,M3002     ,,,,P1B386C   ,6,,MOBILE    ,7114
423,6-7114-423-2                  ,65214-P1B386C-6                              ,2,"2""-PW-65214-P1B386C-6                        ",NONE                     ,-                   ,1,10/8/2020,10/12/2020,10/12/2020,10/12/2020,,,M3002     ,,,,P1B386C   ,6,,MOBILE    ,7114
423,6-7114-423-3                  ,65214-P1B386C-6                              ,2,"2""-PW-65214-P1B386C-6                        ",NONE                     ,-                   ,1,10/8/2020,10/12/2020,10/12/2020,10/12/2020,,,M3002     ,,,,P1B386C   ,6,,MOBILE    ,7114
425,6-7114-425-1                  ,65452-P1B206BE-6                             ,1,"3/4""-BA-65452-P1B206BE-6                     ",NONE                     ,-                   ,1,10/1/2020,10/6/2020,10/6/2020,10/6/2020,,,,,,,P1B206BE  ,6,,MOBILE    ,7114
425,6-7114-425-2                  ,65452-P1B206BE-6                             ,1,"3/4""-BA-65452-P1B206BE-6                     ",NONE                     ,-                   ,1,10/1/2020,10/6/2020,10/13/2020,10/13/2020,,,M3002     ,,,,P1B206BE  ,6,,MOBILE    ,7114
426,6-7114-426-1                  ,65452-P1B206BE-6                             ,2,"3/4""-BA-65452-P1B206BE-6                     ",NONE                     ,-                   ,1,10/1/2020,10/9/2020,10/9/2020,10/9/2020,,,M3001     ,,,,P1B206BE  ,6,,MOBILE    ,7114
426,6-7114-426-2                  ,65452-P1B206BE-6                             ,2,"3/4""-BA-65452-P1B206BE-6                     ",NONE                     ,-                   ,1,10/1/2020,10/9/2020,10/9/2020,10/9/2020,,,M3001     ,,,,P1B206BE  ,6,,MOBILE    ,7114
426,6-7114-426-3                  ,65452-P1B206BE-6                             ,2,"3/4""-BA-65452-P1B206BE-6                     ",NONE                     ,-                   ,1,10/1/2020,10/9/2020,10/13/2020,10/13/2020,,,M3002     ,,,,P1B206BE  ,6,,MOBILE    ,7114
439,6-7114-439-1                  ,64347-P1A42M-6                               ,1,".5""-DWW-64347-P1A42M-6                       ",HOT DIP GALV             ,-                   ,1,9/30/2020,10/5/2020,10/5/2020,10/6/2020,10/16/2020,,P5001     ,,,,P1A42M    ,6,,PA        ,7114
439,6-7114-439-2                  ,64347-P1A42M-6                               ,1,".5""-DWW-64347-P1A42M-6                       ",HOT DIP GALV             ,-                   ,1,9/30/2020,10/5/2020,10/5/2020,10/6/2020,10/16/2020,,P5001     ,,,,P1A42M    ,6,,PA        ,7114
448,6-7114-448-4                  ,64384-P3B121D-6                              ,1,"2""-PAA-64384-P3B121D-6                       ",NONE                     ,-                   ,1,9/29/2020,10/1/2020,10/1/2020,10/1/2020,,,M3001     ,,,,P3B121D   ,6,,MOBILE    ,7114
448,6-7114-448-5                  ,64384-P3B121D-6                              ,1,"2""-PAA-64384-P3B121D-6                       ",NONE                     ,-                   ,1,9/29/2020,10/1/2020,10/1/2020,10/1/2020,,,M3001     ,,,,P3B121D   ,6,,MOBILE    ,7114
458,6-7114-458-3                  ,64392-P3B121D-6                              ,1,"4""-PAA-64392-P3B121D-6                       ",NONE                     ,-                   ,1,9/29/2020,9/30/2020,9/30/2020,9/30/2020,,,M3001     ,,,,P3B121D   ,6,,MOBILE    ,7114
458,6-7114-458-4                  ,64392-P3B121D-6                              ,1,"4""-PAA-64392-P3B121D-6                       ",NONE                     ,-                   ,1,9/29/2020,9/30/2020,9/30/2020,9/30/2020,,,M3001     ,,,,P3B121D   ,6,,MOBILE    ,7114
464,6-7114-464-2                  ,64404-P3B121D-6                              ,1,"2""-PAA-64404-P3B121D-6                       ",NONE                     ,-                   ,1,10/14/2020,10/15/2020,10/16/2020,,,,,,,,P3B121D   ,6,,MOBILE    ,7114
464,6-7114-464-3                  ,64404-P3B121D-6                              ,1,"2""-PAA-64404-P3B121D-6                       ",NONE                     ,-                   ,1,10/14/2020,10/15/2020,10/15/2020,10/15/2020,,,M3002     ,,,,P3B121D   ,6,,MOBILE    ,7114
464,6-7114-464-4                  ,64404-P3B121D-6                              ,1,"2""-PAA-64404-P3B121D-6                       ",NONE                     ,-                   ,1,10/14/2020,10/15/2020,10/15/2020,10/15/2020,,,M3002     ,,,,P3B121D   ,6,,MOBILE    ,7114
477,6-7114-477-3                  ,64424-P1B206AC-6                             ,1,"8""-V-64424-P1B206AC-6                        ",NONE                     ,-                   ,1,10/8/2020,10/13/2020,10/13/2020,10/13/2020,,,B3001     ,,,,P1B206AC  ,6,,BR        ,7114
477,6-7114-477-4                  ,64424-P1B206AC-6                             ,1,"8""-V-64424-P1B206AC-6                        ",NONE                     ,-                   ,1,10/8/2020,10/13/2020,10/13/2020,10/14/2020,,,B3001     ,,,,P1B206AC  ,6,,BR        ,7114
569,6-7114-569-2                  ,64755-P1A109J-6                              ,1,"1""-N-64755-P1A109J-6                         ",GALV./SZ227S             ,BLUE RAL 5015       ,1,9/29/2020,10/5/2020,10/5/2020,10/5/2020,,,P5002     ,,,,P1A109J   ,6,,PA        ,7114
569,6-7114-569-2A                 ,64755-P1A109J-6                              ,1,"1""-N-64755-P1A109J-6                         ",GALV./SZ227S             ,BLUE RAL 5015       ,1,9/29/2020,10/5/2020,10/5/2020,10/5/2020,,,P5002     ,,,,P1A109J   ,6,,PA        ,7114
593,6-7114-593-2                  ,64773-P1A109J-6                              ,1,"1""-N-64773-P1A109J-6                         ",GALV./SZ227S             ,BLUE RAL 5015       ,1,9/30/2020,10/5/2020,10/6/2020,10/6/2020,,,P5002     ,,,,P1A109J   ,6,,PA        ,7114
593,6-7114-593-2A                 ,64773-P1A109J-6                              ,1,"1""-N-64773-P1A109J-6                         ",GALV./SZ227S             ,BLUE RAL 5015       ,1,9/30/2020,10/5/2020,10/5/2020,10/6/2020,,,P5002     ,,,,P1A109J   ,6,,PA        ,7114
632,6-7114-632-1                  ,64913-P1A109J-6                              ,1,"1""-AIR-64913-P1A109J-6                       ",HOT-DIP GALV             ,-                   ,1,9/29/2020,10/5/2020,10/5/2020,10/5/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
632,6-7114-632-1A                 ,64913-P1A109J-6                              ,1,"1""-AIR-64913-P1A109J-6                       ",HOT-DIP GALV             ,-                   ,1,9/29/2020,10/5/2020,10/5/2020,10/5/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
633,6-7114-633-1                  ,64914-P1A109J-6                              ,1,"1""-AIR-64914-P1A109J-6                       ",HOT DIP GALV             ,-                   ,1,10/6/2020,10/13/2020,10/13/2020,10/13/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
633,6-7114-633-1A                 ,64914-P1A109J-6                              ,1,"1""-AIR-64914-P1A109J-6                       ",HOT DIP GALV             ,-                   ,1,10/6/2020,10/13/2020,10/13/2020,10/13/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
636,6-7114-636-1                  ,64918-P1A109J-6                              ,1,"1""-AIR-64918-P1A109J-6                       ",HOT DIP GALV             ,-                   ,1,10/6/2020,10/13/2020,10/13/2020,10/13/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
636,6-7114-636-1A                 ,64918-P1A109J-6                              ,1,"1""-AIR-64918-P1A109J-6                       ",HOT DIP GALV             ,-                   ,1,10/6/2020,10/13/2020,10/13/2020,10/13/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
640,6-7114-640-2                  ,64922-P1A109J-6                              ,1,"1/2""-AIR-64922-P1A109J-6                     ",HOT DIP GALV             ,-                   ,1,10/6/2020,10/8/2020,10/8/2020,10/13/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
640,6-7114-640-2A                 ,64922-P1A109J-6                              ,1,"1/2""-AIR-64922-P1A109J-6                     ",HOT DIP GALV             ,-                   ,1,10/6/2020,10/8/2020,10/8/2020,10/8/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
644,6-7114-644-2                  ,64926-P1A109J-6                              ,1,"1/2""-AIR-64926-P1A106J-6                     ",HOT DIP GALV             ,-                   ,1,,,,,,,,,,,P1A109J   ,6,,PA        ,7114
644,6-7114-644-3                  ,64926-P1A109J-6                              ,1,"1/2""-AIR-64926-P1A106J-6                     ",HOT DIP GALV             ,-                   ,1,,,,,,,,,,,P1A109J   ,6,,PA        ,7114
648,6-7114-648-1                  ,64928-P1A109J-6                              ,2,"1/2""-AIR-64928-P1A109J-6                     ",HOT DIP GALV             ,-                   ,1,10/6/2020,10/13/2020,10/13/2020,10/13/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
648,6-7114-648-1A                 ,64928-P1A109J-6                              ,2,"1/2""-AIR-64928-P1A109J-6                     ",HOT DIP GALV             ,-                   ,1,10/6/2020,10/13/2020,10/13/2020,10/13/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
653,6-7114-653-1                  ,64953-P1A109J-6                              ,1,"1""-AIR-64953-P1A109J-6                       ",HOT DIP GALV             ,-                   ,1,10/6/2020,10/13/2020,10/13/2020,10/13/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
653,6-7114-653-1A                 ,64953-P1A109J-6                              ,1,"1""-AIR-64953-P1A109J-6                       ",HOT DIP GALV             ,-                   ,1,10/6/2020,10/13/2020,10/13/2020,10/13/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
655,6-7114-655-1                  ,64962-P1A42M-6                               ,1,"1""-DWW-64962-P1A42M-6                        ",HOT-DIP GALV             ,-                   ,1,9/29/2020,10/1/2020,10/1/2020,10/1/2020,10/16/2020,,P5001     ,,,,P1A42M    ,6,,PA        ,7114
655,6-7114-655-1A                 ,64962-P1A42M-6                               ,1,"1""-DWW-64962-P1A42M-6                        ",HOT-DIP GALV             ,-                   ,1,9/29/2020,10/1/2020,10/1/2020,10/1/2020,10/16/2020,,P5001     ,,,,P1A42M    ,6,,PA        ,7114
659,6-7114-659-1                  ,64964-P1A42M-6                               ,1,"1""-DWW-64964-P1A42M-6                        ",HOT-DIP GALV             ,-                   ,1,9/29/2020,10/6/2020,10/6/2020,10/6/2020,10/16/2020,,P5001     ,,,,P1A42M    ,6,,PA        ,7114
659,6-7114-659-1A                 ,64964-P1A42M-6                               ,1,"1""-DWW-64964-P1A42M-6                        ",HOT-DIP GALV             ,-                   ,1,9/29/2020,10/6/2020,10/6/2020,10/6/2020,10/16/2020,,P5001     ,,,,P1A42M    ,6,,PA        ,7114
666,6-7114-666-2                  ,64979-P1A42M-6                               ,1,"1""-DWW-64979-P1A42M-6                        ",HOT DIP GALV.            ,-                   ,1,10/13/2020,,,,,,,,,,P1A42M    ,6,,PA        ,7114
666,6-7114-666-3                  ,64979-P1A42M-6                               ,1,"1""-DWW-64979-P1A42M-6                        ",HOT DIP GALV.            ,-                   ,1,10/13/2020,,,,,,,,,,P1A42M    ,6,,PA        ,7114
666,6-7114-666-4                  ,64979-P1A42M-6                               ,1,"1""-DWW-64979-P1A42M-6                        ",HOT DIP GALV.            ,-                   ,1,10/13/2020,,,,,,,,,,P1A42M    ,6,,PA        ,7114
667,6-7114-667-2                  ,64980-P1A42M-6                               ,1,"1""-DWW-64980-P1A42M-6                        ",HOT DIP GALV.            ,-                   ,1,10/13/2020,,,,,,,,,,P1A42M    ,6,,PA        ,7114
667,6-7114-667-3                  ,64980-P1A42M-6                               ,1,"1""-DWW-64980-P1A42M-6                        ",HOT DIP GALV.            ,-                   ,1,10/13/2020,,,,,,,,,,P1A42M    ,6,,PA        ,7114
773,6-7114-773-2                  ,65212-P1B386C-6                              ,1,"2""-PW-65212-P1B383C-6                        ",NONE                     ,-                   ,1,10/13/2020,10/14/2020,10/14/2020,10/14/2020,,,M3003     ,,,,P1B386C   ,6,,MOBILE    ,7114
773,6-7114-773-3                  ,65212-P1B386C-6                              ,1,"2""-PW-65212-P1B383C-6                        ",NONE                     ,-                   ,1,10/13/2020,10/14/2020,10/14/2020,10/14/2020,,,M3003     ,,,,P1B386C   ,6,,MOBILE    ,7114
777,6-7114-777-1                  ,65219-P1B386C-6                              ,2,"2""-PW-65219-P1B386C-6-C2E-1.5""-TE            ",NONE                     ,-                   ,1,10/13/2020,10/14/2020,10/14/2020,10/14/2020,,,M3003     ,,,,P1B386C   ,6,,MOBILE    ,7114
777,6-7114-777-2                  ,65219-P1B386C-6                              ,2,"2""-PW-65219-P1B386C-6-C2E-1.5""-TE            ",NONE                     ,-                   ,1,10/13/2020,10/14/2020,10/14/2020,10/14/2020,,,M3003     ,,,,P1B386C   ,6,,MOBILE    ,7114
777,6-7114-777-3                  ,65219-P1B386C-6                              ,2,"2""-PW-65219-P1B386C-6-C2E-1.5""-TE            ",NONE                     ,-                   ,1,10/13/2020,10/14/2020,10/14/2020,10/14/2020,,,M3003     ,,,,P1B386C   ,6,,MOBILE    ,7114
778,6-7114-778-2                  ,65219-P1B386C-6                              ,3,"2""-PW-65219-P1B386C-6-C2E-1.5""-TE            ",NONE                     ,-                   ,1,10/13/2020,10/14/2020,10/14/2020,10/14/2020,,,M3003     ,,,,P1B386C   ,6,,MOBILE    ,7114
778,6-7114-778-3                  ,65219-P1B386C-6                              ,3,"2""-PW-65219-P1B386C-6-C2E-1.5""-TE            ",NONE                     ,-                   ,1,10/13/2020,10/14/2020,10/14/2020,10/14/2020,,,M3003     ,,,,P1B386C   ,6,,MOBILE    ,7114
801,6-7114-801-2                  ,65385-P1A109J-6                              ,1,"1""-AIR-65385-P1A109J-6                       ",HOT DIP GALV.            ,-                   ,1,9/29/2020,10/5/2020,10/5/2020,10/5/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
801,6-7114-801-3                  ,65385-P1A109J-6                              ,1,"1""-AIR-65385-P1A109J-6                       ",HOT DIP GALV.            ,-                   ,1,9/29/2020,10/5/2020,10/5/2020,10/5/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
805,6-7114-805-1                  ,65388-P1A109J-6                              ,1,"1""-AIR-65388-P1A109J-6                       ",HOT DIP GALV.            ,-                   ,1,9/29/2020,9/30/2020,9/30/2020,9/30/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
805,6-7114-805-1A                 ,65388-P1A109J-6                              ,1,"1""-AIR-65388-P1A109J-6                       ",HOT DIP GALV.            ,-                   ,1,9/29/2020,9/30/2020,9/30/2020,9/30/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
807,6-7114-807-1                  ,65389-P1A109J-6                              ,1,"1""-AIR-65389-P1A109J-6                       ",HOT DIP GALV             ,-                   ,1,9/29/2020,9/30/2020,10/1/2020,10/15/2020,,,,,,,P1A109J   ,6,,PA        ,7114
807,6-7114-807-1A                 ,65389-P1A109J-6                              ,1,"1""-AIR-65389-P1A109J-6                       ",HOT DIP GALV             ,-                   ,1,9/29/2020,9/30/2020,10/1/2020,10/1/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
819,6-7114-819-1                  ,65445-P1A109J-6                              ,2,"1""-AIR-65445-P1A109J-6                       ",HOT DIP GALV             ,-                   ,1,9/29/2020,9/30/2020,9/30/2020,10/1/2020,10/16/2020,,P5001     ,,,,P1A109J   ,6,,PA        ,7114
