Piping Line List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2695,:Total Isos,,,,,,,,,,,,,,,,,,,,,,,,
Client Name:,DUPONT,,,,,,,,,2695,:Total Spools,,,,,,,,,,,,,,,,,,,,,,,,,
Job No:,7114,,,,,,,,,42,:Hold,,,,,,,,,,,,,,,,,,,,,,,,,
Fab. Location:,,,,,,,,,,523,:Issued,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,2172,:Isos not Issued for fab.,,,,,,,,,,,,,,,,,,,,,,,,
,511,UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,118,RTI,,,,,,,,,,,,,,,,,,Transmittal Summary,,,,,,,,,,,,,,,,
1244,270,,,,,,,,,,,,,,,,,,6-Oct-20,New,,,Revisions,,,,,,,,,,,,,
In Detailing,In Checking,SHOP,Status,Priority,Phase,Material,Pipe Spec.,Painting Spec.,Pipeline Reference,Sheet #,Spool ID,Line No.,ISO,SPOOL,PMI,HOLD,PCI / Client,RFI No. / Email ,Remarks,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.,,Moonlighters,10-05-20 WORKABLE,10-01-20 WORKABLE,9-30-20 WORKABLE,9-25-20 WORKABLE,9-24-20 WORKABLE,9-23-20 WORKABLE
ISS,ISS,PA,9/29/2020,1C,6,CS,P1A4L,SZ307S,64002-P1A4L-6,1,6-7114-8-2,"2""-HTF-64002-P1A4L-6-C2-2""",8,2-Aug,,,,,,4456,,0,,,,,,,,,#N/A,#N/A,#N/A,2-Aug,#N/A,#N/A
ISS,ISS,PA,9/25/2020,1C,6,CS,P1A4L,SZ307S,64002-P1A4L-6,2,6-7114-9-1,"2""-HTF-64002-P1A4L-6-C2-2""",9,1-Sep,,,,,,4456,,0,,,,,,,,,#N/A,#N/A,#N/A,#N/A,1-Sep,#N/A
,UP,,,1C,6,CS,P1A4L,SZ307S,64002-P1A4L-6,2,6-7114-9-2,"2""-HTF-64002-P1A4L-6-C2-2""",9,2-Sep,,,,,,4456,,0,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,UP,,,1C,6,CS,P1A4L,SZ307S,64002-P1A4L-6,2,6-7114-9-3,"2""-HTF-64002-P1A4L-6-C2-2""",9,3-Sep,,,,,,4456,,0,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,UP,,,1C,6,CS,P1A4L,N/A,64005-P1A4L-6,1,6-7114-10-1,"2""-HTF-64005-P1A4L-6-C2-2""",10,1-Oct,,,,,,4456,,0,,,,,,,,,1-Oct,1-Oct,1-Oct,1-Oct,#N/A,#N/A
,UP,,,1C,6,CS,P1A4L,N/A,64005-P1A4L-6,1,6-7114-10-2,"2""-HTF-64005-P1A4L-6-C2-2""",10,2-Oct,,,,,,4456,,0,,,,,,,,,2-Oct,2-Oct,2-Oct,2-Oct,#N/A,#N/A
,UP,,,1C,6,CS,P1A4L,N/A,64005-P1A4L-6,2,6-7114-11-1,"2""-HTF-64005-P1A4L-6-C2-2""",11,1-Nov,,,,,,4456,,0,,,,,,,,,1-Nov,1-Nov,1-Nov,1-Nov,#N/A,#N/A
ISS,ISS,M,10/1/2020,1C,6,304/304L SS,P1B206AC,N/A,64006-P1B206AC-6,1,6-7114-12-1,"4""-V-64006-P1B206AC-6",12,1-Dec,,,,,,4456,,0,,,,,,,,,#N/A,1-Dec,#N/A,#N/A,1-Dec,#N/A
,UP,,,1C,6,304/304L SS,P1B206AC,N/A,64007-P1B206AC-6,1,6-7114-13-1,"2""-V-64007-P1B206AC-6",13,13-1,,,,,,4456,,0,,,,,,,,,13-1,13-1,13-1,13-1,#N/A,#N/A
ISS,ISS,M,10/2/2020,1C,6,304/304L SS,P1B206AC,N/A,64007-P1B206AC-6,1,6-7114-13-2,"2""-V-64007-P1B206AC-6",13,13-2,,,,,,4456,,0,,,,,,,,,#N/A,13-2,13-2,13-2,#N/A,#N/A
