FORECAST JOB: 7114 , FORECAST RUN: MAX,,,,,,,,,,,,,,,,,,,
BOM PATH, STATUS, POS, TAG NUMBER, SIZE, DESCRIPTION, LIST QUANTITY, UNIT, TRANSMITTL, STATUS, WAREHOUSE, PO NUMBER, VENDOR, PRED ON SITE, GROUP-PERF, SKETCH, PRIORITY,PERCENTAGE COMPLETE,CLIENT-REV,SPEC,CWP
PIPING/7114/4060/203-1,Completed with Current Inventory.,1,316-AAFBBB0_150~1/2,2-Jan,"- FLANGE BLIND CL150 RF ASME B16.5 FORGED SS ASTM A182 GR F316 / 316L 1/2""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-203-9,2,100%,0,P1B151B,4060
PIPING/7114/4060/204,Completed with Current Inventory.,1,316W-AAEA200_10S~2,2,"- ELBOW 90 DEG LR ASME B16.9 BW SCH 10S SS ASTM A403 GR WP316/316L 2""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,0-7114-204-1,2,100%,0,P1B151B,4060
PIPING/7114/4060/204,Completed with Current Inventory.,2,316W-AAEA200_10S~2,2,"- ELBOW 90 DEG LR ASME B16.9 BW SCH 10S SS ASTM A403 GR WP316/316L 2""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,0-7114-204-1,2,100%,0,P1B151B,4060
PIPING/7114/4060/204,Completed with Current Inventory.,3,316W-AAPA100_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",13.9,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-204-1,2,100%,0,P1B151B,4060
PIPING/7114/4060/204,Completed with Current Inventory.,4,316W-AAPA100_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",20,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-204-2,2,100%,0,P1B151B,4060
PIPING/7114/4060/204,Completed with Current Inventory.,5,316W-AAPA100_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",20,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-204-3,2,100%,0,P1B151B,4060
PIPING/7114/4060/204,Completed with Current Inventory.,6,316W-AAPA100_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",20,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-204-4,2,100%,0,P1B151B,4060
PIPING/7114/4060/204,Completed with Current Inventory.,7,316W-AAPA100_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",20,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-204-5,2,100%,,,
PIPING/7114/4060/827,Completed with Current Inventory.,1,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-827-2,2,100%,0,P3B121D,4060
PIPING/7114/4060/827,Completed with Current Inventory.,2,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-827-3,2,100%,0,P3B121D,4060
PIPING/7114/4060/827,Completed with Current Inventory.,3,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",5.2,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-827-4,2,100%,0,P3B121D,4060
PIPING/7114/4060/827,Completed with Current Inventory.,4,304-AASMBD0_10S~4,4,"- STUB END BW MSS SP-43 TYPE A SCH 10S SS ASTM A403 GR WP304/304L 4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-827-2,2,100%,0,P3B121D,4060
PIPING/7114/4060/827,Completed with Current Inventory.,5,CS-AAFLBD0_300~4,4,"- FLANGE LAP JNT CL300 ASME B16.5 W/FLANGE STOP FS ASTM A105 4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-827-2,2,100%,0,P3B121D,4060
PIPING/7114/4060/827,Completed with Current Inventory.,6,CS-AAFLBD0_300~4,4,"- FLANGE LAP JNT CL300 ASME B16.5 W/FLANGE STOP FS ASTM A105 4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-827-4,2,100%,0,P3B121D,4060
PIPING/7114/4060/827,Completed with Current Inventory.,7,304-AASMBD0_10S~4,4,"- STUB END BW MSS SP-43 TYPE A SCH 10S SS ASTM A403 GR WP304/304L 4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-827-4,2,100%,0,P3B121D,4060
PIPING/7114/4060/827-1,Completed with Current Inventory.,1,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",6.1,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-827-1,2,100%,0,P3B121D,4060
PIPING/7114/4060/827-1,Completed with Current Inventory.,2,CS-AAFLBD0_300~4,4,"- FLANGE LAP JNT CL300 ASME B16.5 W/FLANGE STOP FS ASTM A105 4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-827-1,2,100%,0,P3B121D,4060
PIPING/7114/4060/827-1,Completed with Current Inventory.,3,304-AASMBD0_10S~4,4,"- STUB END BW MSS SP-43 TYPE A SCH 10S SS ASTM A403 GR WP304/304L 4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-827-1,2,100%,0,P3B121D,4060
PIPING/7114/4060/828,Completed with Current Inventory.,1,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",20,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-828-1,2,100%,0,P3B121D,4060
PIPING/7114/4060/828,Completed with Current Inventory.,2,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-828-2,2,100%,0,P3B121D,4060
PIPING/7114/4060/828,Completed with Current Inventory.,3,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-828-3,2,100%,0,P3B121D,4060
PIPING/7114/4060/828,Completed with Current Inventory.,4,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-828-4,2,100%,0,P3B121D,4060
PIPING/7114/4060/828,Completed with Current Inventory.,5,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-828-5,2,100%,0,P3B121D,4060
PIPING/7114/4060/828,Completed with Current Inventory.,6,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",24.3,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-828-6,2,100%,0,P3B121D,4060
PIPING/7114/4060/828,Completed with Current Inventory.,7,304-AASMBD0_10S~4,4,"- STUB END BW MSS SP-43 TYPE A SCH 10S SS ASTM A403 GR WP304/304L 4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-828-1,2,100%,0,P3B121D,4060
PIPING/7114/4060/828,Completed with Current Inventory.,8,CS-AAFLBD0_300~4,4,"- FLANGE LAP JNT CL300 ASME B16.5 W/FLANGE STOP FS ASTM A105 4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-828-1,2,100%,0,P3B121D,4060
PIPING/7114/4060/829,Completed with Current Inventory.,1,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-829-2,2,100%,0,P3B121D,4060
PIPING/7114/4060/829,Completed with Current Inventory.,2,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-829-3,2,100%,0,P3B121D,4060
PIPING/7114/4060/829,Completed with Current Inventory.,3,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",7.2,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-829-4,2,100%,0,P3B121D,4060
PIPING/7114/4060/829,Completed with Current Inventory.,4,304-AASMBD0_10S~4,4,"- STUB END BW MSS SP-43 TYPE A SCH 10S SS ASTM A403 GR WP304/304L 4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-829-2,2,100%,0,P3B121D,4060
PIPING/7114/4060/829,Completed with Current Inventory.,5,CS-AAFLBD0_300~4,4,"- FLANGE LAP JNT CL300 ASME B16.5 W/FLANGE STOP FS ASTM A105 4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-829-2,2,100%,0,P3B121D,4060
PIPING/7114/4060/829,Completed with Current Inventory.,6,CS-AAFLBD0_300~4,4,"- FLANGE LAP JNT CL300 ASME B16.5 W/FLANGE STOP FS ASTM A105 4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-829-4,2,100%,0,P3B121D,4060
PIPING/7114/4060/829,Completed with Current Inventory.,7,304-AASMBD0_10S~4,4,"- STUB END BW MSS SP-43 TYPE A SCH 10S SS ASTM A403 GR WP304/304L 4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-829-4,2,100%,0,P3B121D,4060
PIPING/7114/4060/829-1,Completed with Current Inventory.,1,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",5.6,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-829-1,2,100%,0,P3B121D,4060
PIPING/7114/4060/829-1,Completed with Current Inventory.,2,CS-AAFLBD0_300~4,4,"- FLANGE LAP JNT CL300 ASME B16.5 W/FLANGE STOP FS ASTM A105 4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-829-1,2,100%,0,P3B121D,4060
PIPING/7114/4060/829-1,Completed with Current Inventory.,3,304-AASMBD0_10S~4,4,"- STUB END BW MSS SP-43 TYPE A SCH 10S SS ASTM A403 GR WP304/304L 4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-829-1,2,100%,0,P3B121D,4060
PIPING/7114/4060/830,Completed with Current Inventory.,1,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",20,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-830-1,2,100%,0,P3B121D,4060
PIPING/7114/4060/830,Completed with Current Inventory.,2,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-830-2,2,100%,0,P3B121D,4060
PIPING/7114/4060/830,Completed with Current Inventory.,3,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-830-3,2,100%,0,P3B121D,4060
PIPING/7114/4060/830,Completed with Current Inventory.,4,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-830-4,2,100%,0,P3B121D,4060
PIPING/7114/4060/830,Completed with Current Inventory.,5,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-830-5,2,100%,0,P3B121D,4060
PIPING/7114/4060/830,Completed with Current Inventory.,6,304W-AAPS200_10S~4,4,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP304/304L 4""",26.3,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-830-6,2,100%,0,P3B121D,4060
PIPING/7114/4060/830,Completed with Current Inventory.,7,304-AASMBD0_10S~4,4,"- STUB END BW MSS SP-43 TYPE A SCH 10S SS ASTM A403 GR WP304/304L 4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-830-1,2,100%,0,P3B121D,4060
PIPING/7114/4060/830,Completed with Current Inventory.,8,CS-AAFLBD0_300~4,4,"- FLANGE LAP JNT CL300 ASME B16.5 W/FLANGE STOP FS ASTM A105 4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-830-1,2,100%,0,P3B121D,4060
PIPING/7114/4060/835-2,Completed with Current Inventory.,1,A53W-AAPS200_STD~4,4,"- PIPE BE WELDED ASME B36.10M STD WT CS ASTM A53 GR B 4""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-835-2,2,100%,1,P1A109J,4060
PIPING/7114/4060/835-2,Completed with Current Inventory.,2,A53W-AAPS200_STD~4,4,"- PIPE BE WELDED ASME B36.10M STD WT CS ASTM A53 GR B 4""",21.5,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-835-3,2,100%,1,P1A109J,4060
PIPING/7114/4060/835-2,Completed with Current Inventory.,3,CS-AAFHBB0_150~4,4,"- FLANGE SO CL150 RF ASME B16.5 FS ASTM A105 4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-835-3,2,100%,1,P1A109J,4060
PIPING/7114/4060/836-1,Completed with Current Inventory.,1,316W-AAPS200_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",11,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-836-1,2,100%,1,P1B43BL,4060
PIPING/7114/4060/836-1,Completed with Current Inventory.,2,316W-AAPS200_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",20,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-836-2,2,100%,1,P1B43BL,4060
PIPING/7114/4060/836-1,Completed with Current Inventory.,3,316W-AAPS200_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",20,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-836-3,2,100%,1,P1B43BL,4060
PIPING/7114/4060/836-1,Completed with Current Inventory.,4,316W-AAPS200_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",20,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-836-4,2,100%,1,P1B43BL,4060
PIPING/7114/4060/836-1,Completed with Current Inventory.,5,316W-AAPS200_10S~2,2,"- PIPE BE WELDED ASME B36.19M SCH 10S SS ASTM A312 GR TP316/316L 2""",15.1,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-836-5,2,100%,1,P1B43BL,4060
PIPING/7114/4060/836-1,Completed with Current Inventory.,6,316W-AAEA200_10S~2,2,"- ELBOW 90 DEG LR ASME B16.9 BW SCH 10S SS ASTM A403 GR WP316/316L 2""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,0-7114-836-5,2,100%,1,P1B43BL,4060
PIPING/7114/4060/836-1,Completed with Current Inventory.,7,316W-AAEA200_10S~2,2,"- ELBOW 90 DEG LR ASME B16.9 BW SCH 10S SS ASTM A403 GR WP316/316L 2""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,0-7114-836-5,2,100%,1,P1B43BL,4060
PIPING/7114/4060/846-2,Completed with Current Inventory.,1,A53W-AAPS200_STD~4,4,"- PIPE BE WELDED ASME B36.10M STD WT CS ASTM A53 GR B 4""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-846-2,2,100%,1,P1A109J,4060
PIPING/7114/4060/846-2,Completed with Current Inventory.,2,A53W-AAPS200_STD~4,4,"- PIPE BE WELDED ASME B36.10M STD WT CS ASTM A53 GR B 4""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-846-3,2,100%,1,P1A109J,4060
PIPING/7114/4060/846-2,Completed with Current Inventory.,3,A53W-AAPS200_STD~4,4,"- PIPE BE WELDED ASME B36.10M STD WT CS ASTM A53 GR B 4""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-846-4,2,100%,1,P1A109J,4060
PIPING/7114/4060/846-2,Completed with Current Inventory.,4,A53W-AAPS200_STD~4,4,"- PIPE BE WELDED ASME B36.10M STD WT CS ASTM A53 GR B 4""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-846-5,2,100%,1,P1A109J,4060
PIPING/7114/4060/846-2,Completed with Current Inventory.,5,A53W-AAPS200_STD~4,4,"- PIPE BE WELDED ASME B36.10M STD WT CS ASTM A53 GR B 4""",26.1,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-846-6,2,100%,1,P1A109J,4060
PIPING/7114/4060/846-2,Completed with Current Inventory.,6,A53W-AAPS200_STD~3,3,"- PIPE BE WELDED ASME B36.10M STD WT CS ASTM A53 GR B 3""",3.6,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-846-6,2,100%,1,P1A109J,4060
PIPING/7114/4060/846-2,Completed with Current Inventory.,7,CS-AARE200_STD~4X2,4X2,"- CS BW Ecc Red Std 4x2""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,0-7114-846-6,2,100%,1,P1A109J,4060
PIPING/7114/4060/846-2,Completed with Current Inventory.,8,A106-AAPA100_STD~1,1,"- PIPE PE SMLS ASME B36.10M STD WT CS ASTM A106 GR B 1""",0.4,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-846-5,2,100%,1,P1A109J,4060
PIPING/7114/4060/846-2,Completed with Current Inventory.,9,CS-AATA200_STD~4X3,4X3,"- CS BW Tee Std 4x3""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,0-7114-846-6,2,100%,1,P1A109J,4060
PIPING/7114/4060/846-2,Completed with Current Inventory.,10,CS-NATX330_3000~4X1,4X1,"- SOCKOLET MSS SP-97 CL3000 FS ASTM A105 HOT-DIP GALV 4X1""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,0-7114-846-3,2,100%,1,P1A109J,4060
PIPING/7114/4060/846-2,Completed with Current Inventory.,11,CS-NATX330_3000~4X1,4X1,"- SOCKOLET MSS SP-97 CL3000 FS ASTM A105 HOT-DIP GALV 4X1""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,0-7114-846-5,2,100%,1,P1A109J,4060
PIPING/7114/4060/846-2,Completed with Current Inventory.,12,CS-AAEA200_STD~3,3,"- ELBOW 90 DEG LR ASME B16.9 BW STD WT CS ASTM A234 GR WPB 3""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,0-7114-846-6,2,100%,1,P1A109J,4060
PIPING/7114/4060/846-2,Completed with Current Inventory.,13,CS-AAFHBB0_150~3,3,"- FLANGE SO CL150 RF ASME B16.5 FS ASTM A105 3""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-846-6,2,100%,1,P1A109J,4060
PIPING/7114/4060/846-2,Completed with Current Inventory.,14,CS-AAFSBB0_STD:150~1,1,"- FLANGE SW CL150 RF ASME B16.5 FS ASTM A105 1""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-846-5,2,100%,1,P1A109J,4060
PIPING/7114/4060/855-2,Completed with Current Inventory.,1,CS-MACU330_3000~3/4,4-Mar,"- FS SW Union 3M 3/4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,0-7114-855-2,2,100%,0,P1A109J,4060
PIPING/7114/4060/855-2,Completed with Current Inventory.,2,CS-00NSB0S_STD~1X3/4,1X3/4,"- CS Swage SMLS Con PBE Std 1x3/4""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,0-7114-855-2,2,100%,0,P1A109J,4060
PIPING/7114/4060/855-2,Completed with Current Inventory.,3,CS-AAFSBB0_STD:150~1,1,"- FLANGE SW CL150 RF ASME B16.5 FS ASTM A105 1""",1,ea,4060,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,0-7114-855-2,2,100%,0,P1A109J,4060
PIPING/7114/4060/859,Completed with Current Inventory.,1,A53W-AAPS200_STD~2,2,"- PIPE BE ERW ASME B36.10M STD WT CS ASTM A53 GR B 2""",37.3,ft,4060,Complete,MAIN PA WAREHOUSEPORT ALLEN SHOP, , , ,PIPE,0-7114-859-2,2,100%,0,P1A42M,4060
PIPING/7114/4060/859,Completed with Current Inventory.,1,A53W-AAPS200_STD~2,2,"- PIPE BE ERW ASME B36.10M STD WT CS ASTM A53 GR B 2""",37.3,ft,4060,Complete,MAIN PA WAREHOUSEPORT ALLEN SHOP, , , ,PIPE,0-7114-859-2,2,100%,0,P1A42M,4060
PIPING/7114/4060/859,Completed with Current Inventory.,2,A53W-AAPS200_STD~2,2,"- PIPE BE ERW ASME B36.10M STD WT CS ASTM A53 GR B 2""",40,ft,4060,Complete,MAIN PA WAREHOUSE, , , ,PIPE,0-7114-859-3,2,100%,0,P1A42M,4060
