PIPELINE-REFERENCE,N_S_,WELD-NO,WELD-TYPE,PIPING-SPEC,ISO NO,SPOOL-DRAWING-SEQUENCE-NUMBER,SPOOL-ID,SCHEDULE,,Spool-Size-Weld-Spec,
64133-P1A4L-6,4-Mar,FA27,BW,P1A4L,78,78-1,6-7114-78-1,XS,,78-143894BWP1A4L,#N/A
64142-P1B206AC-6,4-Mar,FA1,BW,P1B206AC,83,83-2,6-7114-83-2,,,83-243894BWP1B206AC,#N/A
64142-P1B206AC-6,4-Mar,FA8,BW,P1B206AC,83,83-1,6-7114-83-1,,,83-143894BWP1B206AC,#N/A
64158-P1B43BL-6,4-Mar,FA16,SOB,P1B43BL,88,88-1,6-7114-88-1,,,88-143894SOBP1B43BL,#N/A
64169-P1B206AC-6,4-Mar,FA1,BW,P1B206AC,101,101-1,6-7114-101-1,,,101-143894BWP1B206AC,#N/A
64169-P1B206AC-6,4-Mar,FA2,BW,P1B206AC,101,101-1,6-7114-101-1,,,101-143894BWP1B206AC,#N/A
64169-P1B206AC-6,4-Mar,FA3,BW,P1B206AC,101,101-1,6-7114-101-1,,,101-143894BWP1B206AC,#N/A
64169-P1B206AC-6,4-Mar,FA10,BW,P1B206AC,101,101-2,6-7114-101-2,,,101-243894BWP1B206AC,#N/A
64193-P1B43BL-6,4-Mar,FA16,SOB,P1B43BL,112,112-1,6-7114-112-1,,,112-143894SOBP1B43BL,#N/A
64203-P1B206AC-6,4-Mar,FA1,BW,P1B206AC,125,125-1,6-7114-125-1,,,125-143894BWP1B206AC,#N/A
64203-P1B206AC-6,4-Mar,FA2,BW,P1B206AC,125,125-1,6-7114-125-1,,,125-143894BWP1B206AC,#N/A
64203-P1B206AC-6,4-Mar,FA3,BW,P1B206AC,125,125-1,6-7114-125-1,,,125-143894BWP1B206AC,#N/A
64203-P1B206AC-6,4-Mar,FA10,BW,P1B206AC,125,125-2,6-7114-125-2,,,125-243894BWP1B206AC,#N/A
64225-P1B43BL-6,4-Mar,FA23,BW,P1B43BL,136,136-1,6-7114-136-1,10S,,136-143894BWP1B43BL,#N/A
64243-P1B43BL-6,4-Mar,FA26,BW,P1B43BL,151,151-1,6-7114-151-1,10S,,151-143894BWP1B43BL,#N/A
64249-P1A4L-6,4-Mar,FA30,BW,P1A4L,157,157-1,6-7114-157-1,XS,,157-143894BWP1A4L,#N/A
