spool,piecemark,material,issued,priority_group,priority,area,iso,detailing,checking,shop,on_hold,multiplier,items,missing,missingsupports,missingvalves,missingpipe,missingfittings,missingflanges,workable,pulled,weldout,rts,rtsc,stc,delivered,lifespan,i_p,p_w,w_stc,stc_rts,rts_d_p,w_d_p,w_rtsc,rtsc_stc,w_rts,rts_d_np,w_d_np
121-1,MK-000-POWS-9604-70-1,CS,2/28/2020,,1,70,121,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/2/2020,3/4/2020,3/19/2020,3/9/2020,3/10/2020,3/26/2020,27,3,2,6,9,7,22,5,1,,,
121-2,MK-000-POWS-9604-70-2,CS,2/19/2020,,1,70,121,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/26/2020,3/19/2020,3/9/2020,3/10/2020,3/26/2020,36,1,6,13,9,7,29,12,1,,,
121-3,MK-000-POWS-9604-70-3,CS,2/18/2020,,1,70,121,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/18/2020,2/19/2020,3/10/2020,2/25/2020,2/25/2020,3/13/2020,24,0,1,6,14,3,23,6,0,,,
122-1,MK-000-S5-9413-40-1,CS,2/13/2020,,2,40,122,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/15/2020,2/16/2020,,,2/25/2020,3/19/2020,35,2,1,9,,,32,,,,,
122-2,MK-000-S5-9413-40-2,CS,2/18/2020,,2,40,122,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/22/2020,3/17/2020,,2/27/2020,3/19/2020,30,3,1,5,19,2,26,,,,,
123-1,MK-000-S5-9413-41-1,CS,2/18/2020,,2,40,123,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/23/2020,2/27/2020,3/19/2020,,3/4/2020,3/20/2020,31,5,4,6,15,1,22,,,,,
123-2,MK-000-S5-9413-41-2,CS,2/6/2020,,2,40,123,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/9/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,3,5,18,2,25,,,,,
123-3,MK-000-S5-9413-41-3,CS,2/18/2020,,2,40,123,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/24/2020,2/25/2020,3/19/2020,,3/4/2020,3/20/2020,31,6,1,8,15,1,24,,,,,
123-4,MK-000-S5-9413-41-4,CS,2/6/2020,,2,40,123,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/8/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,2,6,18,2,26,,,,,
124-1,MK-000-S5-9413-42-1,CS,2/27/2020,,2,40,124,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/7/2020,3/25/2020,,3/11/2020,3/26/2020,28,7,2,4,14,1,19,,,,,
