spool,piecemark,material,issued,priority_group,priority,area,iso,detailing,checking,shop,on_hold,multiplier,items,missing,missingsupports,missingvalves,missingpipe,missingfittings,missingflanges,workable,pulled,weldout,rts,rtsc,stc,delivered,lifespan,i_p,p_w,w_stc,stc_rts,rts_d_p,w_d_p,w_rtsc,rtsc_stc,w_rts,rts_d_np,w_d_np
286-2,MK-000-P-9360-10-2,SS,4/13/2020,,5,10,286,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/14/2020,4/28/2020,,,5/28/2020,6/10/2020,58,1,14,30,,,43,,,,,
287-1,MK-000-P-9371-60-1,CS,2/24/2020,,6,60,287,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,2/29/2020,3/19/2020,,3/6/2020,3/20/2020,25,3,2,6,13,1,20,,,,,
288-1,MK-000-P-9371-61-1,CS,2/18/2020,,6,60,288,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/22/2020,2/26/2020,3/23/2020,,3/10/2020,3/23/2020,34,4,4,13,13,0,26,,,,,
288-2,MK-000-P-9371-61-2,CS,2/18/2020,,6,60,288,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/21/2020,3/17/2020,,2/28/2020,3/19/2020,30,2,1,7,18,2,27,,,,,
288-3,MK-000-P-9371-61-3,CS,2/18/2020,,6,60,288,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/20/2020,3/17/2020,,2/27/2020,3/19/2020,30,2,0,7,19,2,28,,,,,
289-1,MK-000-P-9765-81-1,CS,2/18/2020,,4,80,289,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
289-2,MK-000-P-9765-81-2,CS,2/18/2020,,4,80,289,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/22/2020,2/25/2020,3/17/2020,,3/4/2020,3/19/2020,30,4,3,8,13,2,23,,,,,
290-1,MK-000-P-9781-40-1,CS,2/28/2020,,2,40,290,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/2/2020,3/4/2020,3/31/2020,,3/18/2020,4/15/2020,47,3,2,14,13,15,42,,,,,
291-1,MK-000-P-9782-45-1,CS,3/4/2020,,2,40,291,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/10/2020,3/23/2020,,3/13/2020,4/1/2020,28,1,5,3,10,9,22,,,,,
292-1,MK-000-P-9782-46-1,CS,2/18/2020,,2,40,292,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
293-1,MK-000-P-9782-47-1,CS,3/4/2020,,2,40,293,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/5/2020,3/9/2020,3/23/2020,,3/13/2020,4/1/2020,28,1,4,4,10,9,23,,,,,
294-1,MK-000-P-9782-48-1,CS,2/18/2020,,2,40,294,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
295-1,MK-000-P-20021-60-1,CS,2/18/2020,,6,60,295,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/21/2020,3/17/2020,,2/27/2020,3/19/2020,30,2,1,6,19,2,27,,,,,
296-1,MK-000-P-20042-60-1,CS,2/18/2020,,6,60,296,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,3/17/2020,,2/27/2020,3/19/2020,30,1,1,7,19,2,28,,,,,
296-2,MK-000-P-20042-60-2,CS,2/11/2020,,6,60,296,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/13/2020,2/15/2020,,,2/25/2020,3/19/2020,37,2,2,10,,,33,,,,,
296-3,MK-000-P-20042-60-3,CS,2/6/2020,,6,60,296,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/8/2020,3/3/2020,,2/14/2020,3/5/2020,28,0,2,6,18,2,26,,,,,
297-1,MK-000-P-20042-61-1,CS,2/11/2020,,6,60,297,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/13/2020,2/15/2020,,,2/25/2020,3/19/2020,37,2,2,10,,,33,,,,,
298-1,MK-000-P-20063-61-1,CS,2/18/2020,,6,60,298,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/22/2020,3/17/2020,,2/27/2020,3/19/2020,30,2,2,5,19,2,26,,,,,
298-2,MK-000-P-20063-61-2,CS,2/18/2020,,6,60,298,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,3/17/2020,,3/4/2020,3/19/2020,30,1,1,13,13,2,28,,,,,
299-1,MK-000-P-20069-60-1,CS,2/19/2020,,6,60,299,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/25/2020,3/23/2020,,3/5/2020,3/26/2020,36,0,6,9,18,3,30,,,,,
300-1,MK-000-P-20071-62-1,CS,2/19/2020,,6,60,300,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/24/2020,3/19/2020,3/9/2020,3/10/2020,3/26/2020,36,0,5,15,9,7,31,14,1,,,
301-1,MK-000-P-20116-60-1,CS,2/18/2020,,6,60,301,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/22/2020,3/17/2020,,3/4/2020,3/19/2020,30,3,1,11,13,2,26,,,,,
302-1,MK-000-P-20142-60-1,CS,2/24/2020,,6,60,302,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,2/28/2020,3/19/2020,,3/6/2020,3/20/2020,25,3,1,7,13,1,21,,,,,
303-1,MK-000-POWS-9731-30-1,CS,2/19/2020,,3,30,303,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/25/2020,3/23/2020,,3/5/2020,3/26/2020,36,0,6,9,18,3,30,,,,,
304-1,MK-000-POWS-9732-30-1,CS,2/24/2020,,3,30,304,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,3/1/2020,3/19/2020,,3/4/2020,3/20/2020,25,3,3,3,15,1,19,,,,,
304-1R,MK-000-POWS-9732-30-1R,CS,4/2/2020,,3,30,304,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/7/2020,4/13/2020,6/4/2020,5/7/2020,5/11/2020,6/9/2020,68,5,6,28,24,5,57,24,4,,,
305-1,MK-000-POWS-9733-30-1,CS,2/24/2020,,3,30,305,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,2/29/2020,3/25/2020,,3/16/2020,3/26/2020,31,3,2,16,9,1,26,,,,,
306-1,MK-000-POWS-9734-30-1,CS,2/18/2020,,3,30,306,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
306-2,MK-000-POWS-9734-30-2,CS,2/18/2020,,3,30,306,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/26/2020,3/23/2020,,3/11/2020,3/23/2020,34,3,5,14,12,0,26,,,,,
307-1,MK-000-POWS-9735-30-1,CS,2/24/2020,,3,30,307,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,2/29/2020,3/19/2020,,3/4/2020,3/20/2020,25,3,2,4,15,1,20,,,,,
308-1,MK-000-POWS-9738-30-1,CS,2/18/2020,,3,30,308,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
308-2,MK-000-POWS-9738-30-2,CS,2/18/2020,,3,30,308,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/26/2020,3/19/2020,,3/4/2020,3/20/2020,31,3,5,7,15,1,23,,,,,
309-1,MK-000-POWS-9739-30-1,CS,2/24/2020,,3,30,309,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,3/1/2020,3/23/2020,,3/11/2020,3/23/2020,28,3,3,10,12,0,22,,,,,
310-1,MK-000-S5-20224-60-1,CS,2/18/2020,,6,60,310,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/21/2020,,,2/25/2020,3/19/2020,30,2,1,4,,,27,,,,,
310-2,MK-000-S5-20224-60-2,CS,2/18/2020,,6,60,310,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/22/2020,3/17/2020,,2/27/2020,3/19/2020,30,3,1,5,19,2,26,,,,,
311-1,MK-000-SC-20251-60-1,CS,2/18/2020,,6,60,311,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/21/2020,,,2/25/2020,3/19/2020,30,2,1,4,,,27,,,,,
311-2,MK-000-SC-20251-60-2,CS,2/11/2020,,6,60,311,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/11/2020,2/13/2020,3/3/2020,2/18/2020,2/19/2020,3/5/2020,23,0,2,6,13,2,21,5,1,,,
312-1,MK-000-SC-20254-60-1,CS,2/18/2020,,6,60,312,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/21/2020,,,2/25/2020,3/19/2020,30,2,1,4,,,27,,,,,
313-1,MK-000-SC-20254-63-1,CS,2/18/2020,,6,60,313,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/22/2020,2/23/2020,3/17/2020,,3/4/2020,3/19/2020,30,4,1,10,13,2,25,,,,,
314-1,MK-000-WF-9357-20-1,CS,2/18/2020,,7,20,314,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/22/2020,3/17/2020,,2/28/2020,3/19/2020,30,2,2,6,18,2,26,,,,,
315-1,MK-000-WF-9489-80-1,CS,2/18/2020,,4,80,315,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/23/2020,3/17/2020,,2/27/2020,3/19/2020,30,3,2,4,19,2,25,,,,,
316-1,MK-000-WF-9579-30-1,CS,2/24/2020,,3,30,316,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,3/4/2020,3/23/2020,,3/10/2020,3/23/2020,28,3,6,6,13,0,19,,,,,
317-1,MK-000-WF-9769-30-1,CS,2/19/2020,,3,30,317,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/26/2020,3/23/2020,,3/5/2020,3/26/2020,36,0,7,8,18,3,29,,,,,
317-2,MK-000-WF-9769-30-2,CS,2/18/2020,,3,30,317,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/20/2020,,,2/25/2020,3/19/2020,30,1,1,5,,,28,,,,,
317-3,MK-000-WF-9769-30-3,CS,2/18/2020,,3,30,317,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/21/2020,3/17/2020,,2/27/2020,3/19/2020,30,2,1,6,19,2,27,,,,,
317-4,MK-000-WF-9769-30-4,CS,2/11/2020,,3,30,317,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/11/2020,2/14/2020,3/3/2020,2/18/2020,2/19/2020,3/5/2020,23,0,3,5,13,2,20,4,1,,,
317-5,MK-000-WF-9769-30-5,CS,2/18/2020,,3,30,317,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/23/2020,3/17/2020,,2/28/2020,3/19/2020,30,3,2,5,18,2,25,,,,,
318-1,MK-000-WP-20048-60-1,CS,2/18/2020,,6,60,318,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/22/2020,3/17/2020,,2/27/2020,3/19/2020,30,2,2,5,19,2,26,,,,,
319-1,MK-000-WP-20048-61-1,CS,3/3/2020,,6,60,319,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/6/2020,3/8/2020,3/25/2020,,3/12/2020,3/26/2020,23,3,2,4,13,1,18,,,,,
319-2,MK-000-WP-20048-61-2,CS,3/17/2020,,6,60,319,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/17/2020,3/18/2020,4/2/2020,3/23/2020,3/24/2020,4/6/2020,20,0,1,6,9,4,19,5,1,,,
320-1,MK-000-AV-20205-61-1,CS,2/18/2020,,6,60,320,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/22/2020,2/25/2020,3/19/2020,,3/4/2020,3/20/2020,31,4,3,8,15,1,24,,,,,
320-2,MK-000-AV-20205-61-2,CS,2/20/2020,,6,60,320,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/2/2020,3/10/2020,3/27/2020,3/16/2020,3/18/2020,3/30/2020,39,11,8,8,9,3,20,6,2,,,
321-1,MK-000-CWR-20100-60-1,CS,2/20/2020,,6,60,321,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/4/2020,3/10/2020,3/27/2020,3/16/2020,3/18/2020,3/30/2020,39,13,6,8,9,3,20,6,2,,,
322,MK-000-H-20064-60-1,CS,2/14/2020,,6,60,322,ISS,ISS,PA,,2,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/14/2020,3/11/2020,4/2/2020,3/23/2020,3/24/2020,4/6/2020,52,0,26,13,9,4,26,12,1,,,
323-1,MK-000-H-20159-60-1,CS,2/20/2020,,6,60,323,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/1/2020,3/10/2020,3/26/2020,3/13/2020,3/17/2020,3/30/2020,39,10,9,7,9,4,20,3,4,,,
323-2,MK-000-H-20159-60-2,CS,2/20/2020,,6,60,323,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,3/4/2020,3/26/2020,3/13/2020,3/18/2020,3/30/2020,39,1,12,14,8,4,26,9,5,,,
324-1,MK-000-H-20160-60-1,CS,2/20/2020,,6,60,324,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,3/8/2020,4/2/2020,3/23/2020,3/24/2020,4/6/2020,46,7,10,16,9,4,29,15,1,,,
324-2,MK-000-H-20160-60-2,CS,2/20/2020,,6,60,324,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/1/2020,3/7/2020,3/26/2020,3/13/2020,3/18/2020,3/30/2020,39,10,6,11,8,4,23,6,5,,,
325-1,MK-000-P-9039-18-1,SS,3/5/2020,,5,10,325,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/6/2020,4/15/2020,,,,6/3/2020,90,32,9,,,,,,,,,49
326-1,MK-000-P-9041-11-1,CS,2/24/2020,,5,10,326,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,2/27/2020,3/19/2020,,3/4/2020,3/20/2020,25,2,1,6,15,1,22,,,,,
326-2,MK-000-P-9041-11-2,CS,2/24/2020,,5,10,326,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/2/2020,3/23/2020,,3/10/2020,3/23/2020,28,4,3,8,13,0,21,,,,,
326-3,MK-000-P-9041-11-3,CS,2/24/2020,,5,10,326,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,2/28/2020,3/19/2020,,3/4/2020,3/20/2020,25,2,2,5,15,1,21,,,,,
327-1,MK-000-P-9041-12-1,CS,2/24/2020,,5,10,327,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/3/2020,3/23/2020,,3/11/2020,3/23/2020,28,4,4,8,12,0,20,,,,,
327-2,MK-000-P-9041-12-2,CS,2/24/2020,,5,10,327,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/27/2020,2/29/2020,3/25/2020,,3/16/2020,3/26/2020,31,3,2,16,9,1,26,,,,,
328-1,MK-000-P-9048-11-1,CS,2/18/2020,,5,10,328,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/22/2020,3/17/2020,,2/28/2020,3/19/2020,30,2,2,6,18,2,26,,,,,
328-2,MK-000-P-9048-11-2,CS,2/24/2020,,5,10,328,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/2/2020,3/25/2020,,3/16/2020,3/26/2020,31,4,3,14,9,1,24,,,,,
328-3,MK-000-P-9048-11-3,CS,2/24/2020,,5,10,328,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,2/28/2020,3/19/2020,,3/4/2020,3/20/2020,25,2,2,5,15,1,21,,,,,
328-4,MK-000-P-9048-11-4,CS,2/24/2020,,5,10,328,ISS,ISS,PA,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,2/28/2020,,3/1/2020,3/2/2020,3/17/2020,22,4,0,3,,,18,2,1,,,
329-1,MK-000-P-9048-13-1,CS,2/28/2020,,5,10,329,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/2/2020,3/3/2020,3/19/2020,3/9/2020,3/10/2020,3/26/2020,27,3,1,7,9,7,23,6,1,,,
330-1,MK-000-P-9054-20-1,SS,4/27/2020,,7,20,330,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/27/2020,5/11/2020,,,,6/3/2020,37,0,14,,,,,,,,,23
330-2,MK-000-P-9054-20-2,SS,2/11/2020,,7,20,330,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/12/2020,2/19/2020,2/28/2020,,,3/2/2020,20,1,7,,,,,,,9,3,12
331-1,MK-000-P-9054-22-1,SS,2/11/2020,,7,20,331,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/12/2020,2/18/2020,2/28/2020,,,3/2/2020,20,1,6,,,,,,,10,3,13
331-2,MK-000-P-9054-22-2,SS,2/14/2020,,7,20,331,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/17/2020,2/25/2020,3/3/2020,,,3/10/2020,25,3,8,,,,,,,7,7,14
331-3,MK-000-P-9054-22-3,SS,2/14/2020,,7,20,331,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/17/2020,2/22/2020,3/10/2020,,,3/13/2020,28,3,5,,,,,,,17,3,20
331-4,MK-000-P-9054-22-4,SS,2/11/2020,,7,20,331,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/12/2020,2/19/2020,2/28/2020,,,3/2/2020,20,1,7,,,,,,,9,3,12
332-1,MK-000-P-9054-24-1,SS,2/11/2020,,7,20,332,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/12/2020,2/19/2020,2/28/2020,,,3/2/2020,20,1,7,,,,,,,9,3,12
332-2,MK-000-P-9054-24-2,SS,2/11/2020,,7,20,332,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/12/2020,2/21/2020,2/28/2020,,,3/2/2020,20,1,9,,,,,,,7,3,10
333-1,MK-000-P-9066-21-1,CS,2/18/2020,,7,20,333,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/25/2020,3/19/2020,,3/4/2020,3/20/2020,31,3,4,8,15,1,24,,,,,
333-2,MK-000-P-9066-21-2,CS,2/24/2020,,7,20,333,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/1/2020,3/23/2020,,3/10/2020,3/23/2020,28,4,2,9,13,0,22,,,,,
334-1,MK-000-P-9100-21-1,SS,2/14/2020,,7,20,334,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/17/2020,2/25/2020,3/4/2020,,,3/11/2020,26,3,8,,,,,,,8,7,15
335-1,MK-000-P-9101-20-1,SS,2/25/2020,,7,20,335,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,3/6/2020,3/17/2020,,,3/18/2020,22,1,9,,,,,,,11,1,12
335-2,MK-000-P-9101-20-2,SS,4/27/2020,,7,20,335,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/27/2020,5/13/2020,,,,6/3/2020,37,0,16,,,,,,,,,21
336-1,MK-000-P-9104-20-1,CS,2/18/2020,,7,20,336,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/20/2020,2/23/2020,3/25/2020,,,3/26/2020,37,2,3,,,,,,,31,1,32
337-1,MK-000-P-9104-21-1,CS,2/18/2020,,7,20,337,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/21/2020,2/22/2020,3/25/2020,,,3/26/2020,37,3,1,,,,,,,32,1,33
338-1,MK-000-P-9231-10-1,CS,2/18/2020,,5,10,338,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/19/2020,2/21/2020,3/17/2020,,2/27/2020,3/19/2020,30,1,2,6,19,2,27,,,,,
339-1,MK-000-P-9231-11-1,CS,2/24/2020,,5,10,339,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/1/2020,3/23/2020,,3/10/2020,3/23/2020,28,4,2,9,13,0,22,,,,,
340-1,MK-000-P-9231-12-1,CS,2/24/2020,,5,10,340,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2020,3/4/2020,3/25/2020,,3/11/2020,3/26/2020,31,4,5,7,14,1,22,,,,,
340-2,MK-000-P-9231-12-2,CS,2/28/2020,,5,10,340,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/2/2020,3/5/2020,3/23/2020,,3/13/2020,4/1/2020,33,3,3,8,10,9,27,,,,,
341-1,MK-000-P-9231-13-1,CS,2/28/2020,,5,10,341,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/2/2020,3/4/2020,3/19/2020,3/9/2020,3/10/2020,3/26/2020,27,3,2,6,9,7,22,5,1,,,
341-2,MK-000-P-9231-13-2,CS,2/28/2020,,5,10,341,ISS,ISS,M,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/2/2020,3/3/2020,3/19/2020,3/9/2020,3/10/2020,3/26/2020,27,3,1,7,9,7,23,6,1,,,
341-3,MK-000-P-9231-13-3,CS,2/24/2020,,5,10,341,ISS,ISS,TX,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/26/2020,2/28/2020,3/19/2020,,3/4/2020,3/20/2020,25,2,2,5,15,1,21,,,,,
342-1,MK-000-P-9262-20-1,SS,3/13/2020,,7,20,342,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/13/2020,3/19/2020,4/1/2020,,,4/6/2020,24,0,6,,,,,,,13,5,18
342-2,MK-000-P-9262-20-2,SS,3/13/2020,,7,20,342,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/13/2020,3/19/2020,4/1/2020,,,4/6/2020,24,0,6,,,,,,,13,5,18
342-3,MK-000-P-9262-20-3,SS,3/13/2020,,7,20,342,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/13/2020,3/18/2020,4/1/2020,,,4/6/2020,24,0,5,,,,,,,14,5,19
343-1,MK-000-P-9263-20-1,SS,2/6/2020,,7,20,343,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/14/2020,,3/10/2020,3/11/2020,3/30/2020,53,0,8,26,,,45,25,1,,,
343-2,MK-000-P-9263-20-2,SS,2/14/2020,,7,20,343,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/17/2020,2/24/2020,3/2/2020,3/16/2020,3/18/2020,4/6/2020,52,3,7,23,,35,42,21,2,,,
343-3,MK-000-P-9263-20-3,SS,2/6/2020,,7,20,343,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/18/2020,,3/10/2020,3/11/2020,3/30/2020,53,0,12,22,,,41,21,1,,,
343-4,MK-000-P-9263-20-4,SS,2/6/2020,,7,20,343,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/14/2020,,3/10/2020,3/11/2020,3/30/2020,53,0,8,26,,,45,25,1,,,
344-1,MK-00-P-9264-20-1,SS,2/6/2020,,7,20,344,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/18/2020,3/3/2020,,,3/10/2020,33,0,12,,,,,,,14,7,21
344-2,MK-00-P-9264-20-2,SS,2/14/2020,,7,20,344,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/17/2020,2/25/2020,3/2/2020,,,3/13/2020,28,3,8,,,,,,,6,11,17
344-3,MK-00-P-9264-20-3,SS,2/6/2020,,7,20,344,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/17/2020,3/3/2020,,,3/10/2020,33,0,11,,,,,,,15,7,22
344-4,MK-00-P-9264-20-4,SS,2/6/2020,,7,20,344,ISS,ISS,BR,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/6/2020,2/14/2020,2/28/2020,,,3/2/2020,25,0,8,,,,,,,14,3,17
