,,0,0,,,,,,,,,,,,,,,,,,,23-Jun-20,New,,,Revisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO,SPOOL,In Detailing,In Checking,SHOP,Status,Priority Group,Priority Date,Priority #,Area,Material,CWA #,Pipe Spec.,Painting Spec.,Pipeline Reference,Spool ID,Line No.,PMI,HOLD,PCI / Client,RFI No. / Email ,Release Date,Remarks,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.,,BF,WORKABLE 4/29/20,WORKABLE 4/27/20,WORKABLE 4/13/20,WORKABLE 4/9/20,WORKABLE 4/3/20,WORKABLE 3/25/20,WORKABLE 3/23/20,WORKABLE 3/18/20,WORKABLE 3/16/20,WORKABLE 3/12/20,WORKABLE 3/11/20,WORKABLE 3/9/20,WORKABLE 3/5/20,WORKABLE 3/4/20,WORKABLE 3/2/20,WORKABLE 2/28/20,WORKABLE 2/27/20,WORKABLE 2/26/20,WORKABLE 2/25/20,WORKABLE 2/24/20,WORKABLE 2/20/20,WORKABLE 2/18/20,WORKABLE 2/17/20,WORKABLE 2/14/20,WORKABLE 2/13/20,WORKABLE 2/11/20,WORKABLE 2/10/20,WORKABLE 2/5/20
6,1-Jun,ISS,ISS,TX,2/11/2020,,2/3/2020,1,70,CS,CWA-5,T1CB2S01,19,000-P-9723-70,MK-000-P-9723-70-1,"900-P-9723-3""-T1CB2S01-ETW-1 1/2""-PF",,,,,,,21,,0,,,,,,,9.36,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1-Jun,#N/A
7,1-Jul,ISS,ISS,PA,2/6/2020,,2/3/2020,1,70,CS,CWA-5,T1CB2S01,19,000-P-9752-70,MK-000-P-9752-70-1,"900-P-9752-3""-T1CB2S01-ETW-1 1/2""-PF",,,,,,,21,,0,,,,,,,7.488,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1-Jul
8,1-Aug,ISS,ISS,TX,2/13/2020,,2/3/2020,1,70,CS,CWA-5,T1CB2S01,19,000-P-9901-72,MK-000-P-9901-72-1,"900-P-9901-2""-T1CB2S01-ET-1 1/2""-HC",,,,,,,21,,0,,,,,,,2.464,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1-Aug,1-Aug,#N/A,#N/A
9,1-Sep,ISS,ISS,TX,2/13/2020,,2/3/2020,1,70,CS,CWA-5,T1CB2S01,19,000-P-9901-73,MK-000-P-9901-73-1,"900-P-9901-2""-T1CB2S01-ET-1 1/2""-HC",,,,,,,21,,0,,,,,,,2.464,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1-Sep,1-Sep,#N/A,#N/A
10,1-Oct,ISS,ISS,PA,2/6/2020,,2/3/2020,1,70,CS,CWA-5,T1CB2S01,19,000-P-9901-74,MK-000-P-9901-74-1,"900-P-9901-2""-T1CB2S01-ET-1 1/2""-HC",,,,,,,21,,0,,,,,,,2.464,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1-Oct
11,1-Nov,ISS,ISS,TX,2/18/2020,,2/3/2020,1,70,CS,CWA-5,T1CB2S01,19,000-P-9903-71,MK-000-P-9903-71-1,"900-P-9903-2""-T1CB2S01-ET-1 1/2""-HC",,,,,,,21,,0,,,,,,,2.464,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1-Nov,#N/A,#N/A,#N/A,#N/A,#N/A
12,1-Dec,ISS,ISS,BR,2/6/2020,,2/3/2020,4,80,SS,CWA-5,T6SD1S99,4,000-P-9909-81,MK-000-P-9909-81-1,"900-P-9909-2""-T6SD1S99-ETW-1 1/2""-HC",Yes,,,,,,21,,0,,,,,,,5.656,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1-Dec
12,2-Dec,ISS,ISS,BR,2/13/2020,,2/3/2020,4,80,SS,CWA-5,T6SD1S99,4,000-P-9909-81,MK-000-P-9909-81-2,"900-P-9909-2""-T6SD1S99-ETW-1 1/2""-HC",Yes,,,,,,21,,0,,,,,,,#N/A,BF,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2-Dec,#N/A,#N/A,#N/A
13,13-1,ISS,ISS,PA,2/6/2020,,2/3/2020,2,40,CS,CWA-5,T3CH2S99,19,000-P-9919-40,MK-000-P-9919-40-1,"900-P-9919-2""-T3CH2S99-ET-1 1/2""-HC",,,,,,,21,,0,,,,,,,2.384,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,13-1
14,14-1,ISS,ISS,TX,2/13/2020,,2/3/2020,2,40,CS,CWA-5,T3CH2S99,19,000-P-9919-41,MK-000-P-9919-41-1,"900-P-9919-2""-T3CH2S99-ET-1 1/2""-HC",,,,,,,21,,0,,,,,,,2.384,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14-1,14-1,#N/A,#N/A
15,15-1,ISS,ISS,TX,2/14/2020,,2/3/2020,2,40,CS,CWA-5,T3CH2S99,19,000-P-20034-40,MK-000-P-20034-40-1,"900-P-20034-4""-T3CH2S99-ET-1 1/2""-HC",,,,,,,21,,0,,,,,,,6.72,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15-1,15-1,15-1,15-1,15-1
15,15-2,ISS,ISS,PA,2/24/2020,,2/3/2020,2,40,CS,CWA-5,T3CH2S99,19,000-P-20034-40,MK-000-P-20034-40-2,"900-P-20034-4""-T3CH2S99-ET-1 1/2""-HC",,,,,,,21,,0,,,,,,,6.72,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15-2,#N/A,#N/A,#N/A,#N/A,#N/A,15-1,15-1,15-1
16,16-1,ISS,ISS,PA,2/20/2020,,2/3/2020,1,70,CS,CWA-5,T1CH2S99,40,000-WF-9762-70,MK-000-WF-9762-70-1,"900-WF-9762-0.75""-T1CH2S99-ETW-1""-PF",,,,,,,21,,0,,,,,,,5.936,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,16-1,16-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17,17-1,ISS,ISS,PA,2/20/2020,,2/3/2020,2,40,CS,CWA-5,T12CG0T95,42,000-FW-32054-40,MK-000-FW-32054-40-1,"900-FW-32054-6""-T12CG0T95-NT-0""-N",,,,,,,22,,0,,,,,,,14.96,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18,18-1,ISS,ISS,PA,2/20/2020,,2/3/2020,2,40,CS,CWA-5,T12CG0T95,42,000-FW-32054-41,MK-000-FW-32054-41-1,"900-FW-32054-6""-T12CG0T95-NT-0""-N",,,,,,,22,,0,,,,,,,17.952,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18,18-1,ISS,ISS,PA,2/2/2020,,2/3/2020,2,40,CS,CWA-5,T12CG0T95,42,000-FW-32054-41,MK-000-FW-32054-41-1A,"900-FW-32054-6""-T12CG0T95-NT-0""-N",,,,,,,22,,0,,,,,,,17.952,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18,18-2,ISS,ISS,PA,2/20/2020,,2/3/2020,2,40,CS,CWA-5,T12CG0T95,42,000-FW-32054-41,MK-000-FW-32054-41-2,"900-FW-32054-6""-T12CG0T95-NT-0""-N",,,,,,,22,,0,,,,,,,11.968,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18-2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19,19-1,ISS,ISS,PA,2/20/2020,,2/3/2020,2,40,CS,CWA-5,T12CG0T95,42,000-FW-32057-40,MK-000-FW-32057-40-1,"900-FW-32057-6""-T12CG0T95-NT-0""-N",,,,,,,22,,0,,,,,,,14.96,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20,20-1,ISS,ISS,PA,2/20/2020,,2/3/2020,2,40,CS,CWA-5,T12CG0T95,42,000-FW-32057-41,MK-000-FW-32057-41-1,"900-FW-32057-6""-T12CG0T95-NT-0""-N",,,,,,,22,,0,,,,,,,17.952,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20-1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
