,1773,,,,,,1773,1773,1773,1773,110,0,1750,0,689,1492,1288,1398,1772,,,,,,,
SHOP,ISO NO,PIECEMARK,REF. DWG.,LINE NO.,PAINT SYS.,TOP COAT,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,DATE TO STRESS,BACK AT SHOP,SHOP QC,CLIENT QC,READY TO SHIP COATING,SHIP TO COATING,APPROVAL TO SHIP,READY TO SHIP,TO SITE,LOAD NO.,SPEC.,PHASE,ON HOLD,OFF HOLD,HYDRO,HYDRO DATE
TEXAS     ,     389-1,MK-000-NI-20153-62-1,000-NI-20153-62                              ,"2000-NI-20153-1.5""-T1CB1S01-NT-0""-N          ",21 (MOD)                 ,WINDOW GRAY RAL 7040,02/23/2020,02/26/2020,02/26/2020,02/27/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CB1S01  ,CWA-6     ,,,N/A   ,
TEXAS     ,     231-3,MK-000-NI-20156-60-3,000-NI-20156-60                              ,"2000-NI-20156-1.5""-T1CB1S01-NT-0""-N          ",21 (MOD)                 ,WINDOW GRAY RAL 7040,02/20/2020,02/21/2020,02/21/2020,02/21/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CB1S01  ,CWA-6     ,,,N/A   ,
TEXAS     ,     390-1,MK-000-NI-20169-60-1,000-NI-20169-60                              ,"2000-NI-20169-1.5""-T1CB1S01-NT-0""-N          ",21 (MOD)                 ,WINDOW GRAY RAL 7040,02/20/2020,02/21/2020,02/21/2020,02/21/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CB1S01  ,CWA-6     ,,,N/A   ,
TEXAS     ,     391-2,MK-000-NI-20169-61-2,000-NI-20169-61                              ,"2000-NI-20169-1.5""-T1CB1S01-NT-0""-N          ",21 (MOD)                 ,WINDOW GRAY RAL 7040,02/20/2020,02/26/2020,02/26/2020,02/27/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CB1S01  ,CWA-6     ,,,N/A   ,
TEXAS     ,      36-1,MK-000-NI-9465-41-1,000-NI-9465-41                               ,"900-NI-9465-1-1/2""-T1CB1S01-NT-0""-N          ",21 (MOD)                 ,WINDOW GRAY RAL 7040,02/23/2020,02/26/2020,02/26/2020,02/26/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CB1S01  ,CWA-5     ,,,N/A   ,
TEXAS     ,     175-3,MK-000-NI-9767-80-3,000-NI-9767-80                               ,"900-NI-9767-1""-T1CB1S01-NT-0""-N              ",21 (MOD)                 ,WINDOW GRAY RAL 7040,02/27/2020,02/28/2020,02/28/2020,02/28/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CB1S01  ,CWA-5     ,,,N/A   ,
TEXAS     ,     175-4,MK-000-NI-9767-80-4,000-NI-9767-80                               ,"900-NI-9767-1""-T1CB1S01-NT-0""-N              ",21 (MOD)                 ,WINDOW GRAY RAL 7040,02/27/2020,02/28/2020,02/28/2020,02/28/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CB1S01  ,CWA-5     ,,,N/A   ,
TEXAS     ,     298-2,MK-000-P-20063-61-2,000-P-20063-61                               ,"2000-P-20063-6""-T3CB2S01-NT-2""-HC            ",19                       ,-                   ,02/19/2020,02/20/2020,02/20/2020,02/20/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T3CB2S01  ,CWA-6     ,,,N/A   ,
TEXAS     ,    1016-1,MK-000-P-20070-61-1,000-P-20070-61                               ,"2000-P-20070-2""-T3CB2S01-ET-1 1/2""-HC        ",19                       ,-                   ,02/26/2020,02/27/2020,02/27/2020,02/28/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T3CB2S01  ,CWA-6     ,,,N/A   ,
TEXAS     ,     301-1,MK-000-P-20116-60-1,000-P-20116-60                               ,"2000-P-20116-6""-T3CB2S01-NT-2""-HC            ",19                       ,-                   ,02/21/2020,02/21/2020,02/22/2020,02/22/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T3CB2S01  ,CWA-6     ,,,N/A   ,
TEXAS     ,     246-1,MK-000-P-20123-60-1,000-P-20123-60                               ,"2000-P-20123-4""-T3CH2S99-ET-1 1/2""-HC        ",19                       ,-                   ,02/21/2020,02/24/2020,02/25/2020,02/25/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T3CH2S99  ,CWA-6     ,,,N/A   ,
TEXAS     ,       2-1,MK-000-P-9004-70-1,000-P-9004-70                                ,"900-P-9004-6""-T1CB2S01-ET-1 1/2""-HC          ",19                       ,-                   ,02/20/2020,02/21/2020,02/21/2020,02/22/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CB2S01  ,CWA-5     ,,,N/A   ,
TEXAS     ,     448-3,MK-000-P-9046-10-3,000-P-9046-10                                ,"900-P-9046-4""-T9CH2S99-ET-1 1/2""-HC          ",19                       ,-                   ,02/21/2020,02/23/2020,02/23/2020,02/23/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T9CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     448-4,MK-000-P-9046-10-4,000-P-9046-10                                ,"900-P-9046-4""-T9CH2S99-ET-1 1/2""-HC          ",19                       ,-                   ,02/22/2020,02/24/2020,02/24/2020,02/24/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T9CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     396-2,MK-000-P-9048-10-2,000-P-9048-10                                ,"900-P-9048-4""-T9CH2S99-ET-1 1/2""-HC          ",19                       ,-                   ,02/21/2020,02/23/2020,02/23/2020,02/23/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T9CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     119-2,MK-000-P-9065-30-2,000-P-9065-30                                ,"900-P-9065-6""-T3CH2S99-ETW-1 1/2""-PF         ",19                       ,-                   ,02/21/2020,02/22/2020,02/22/2020,02/22/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T3CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     461-1,MK-000-P-9211-10-1,000-P-9211-10                                ,"900-P-9211-2""-T9CH2S99-ET-1 1/2""-HC          ",19                       ,-                   ,02/19/2020,02/20/2020,02/20/2020,02/20/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T9CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     461-2,MK-000-P-9211-10-2,000-P-9211-10                                ,"900-P-9211-2""-T9CH2S99-ET-1 1/2""-HC          ",19                       ,-                   ,02/21/2020,02/23/2020,02/24/2020,02/25/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T9CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     419-3,MK-000-P-9216-10-3,000-P-9216-10                                ,"900-P-9216-4""-T9CH2S99-ET-1 1/2""-HC          ",19                       ,-                   ,02/21/2020,02/23/2020,02/24/2020,02/24/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T9CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     467-2,MK-000-P-9217-11-2,000-P-9217-11                                ,"900-P-9217-3""-T9CH2S99-ET-1 1/2""-HC          ",19                       ,-                   ,02/20/2020,02/21/2020,02/21/2020,02/22/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T9CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     471-1,MK-000-P-9227-10-1,000-P-9227-10                                ,"900-P-9227-4""-T9CB2S01-ET-1 1/2""-HC          ",19                       ,-                   ,02/22/2020,02/24/2020,02/24/2020,02/24/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T9CB2S01  ,CWA-5     ,,,N/A   ,
TEXAS     ,     234-1,MK-000-P-9344-80-1,000-P-9344-80                                ,"900-P-9344-6""-T9CH2S99-ET-1 1/2""-HC          ",19                       ,-                   ,02/21/2020,02/22/2020,02/23/2020,02/23/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T9CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,      78-1,MK-000-P-9378-40-1,000-P-9378-40                                ,"900-P-9378-4""-T3CH2S99-ET-1 1/2""-HC          ",19                       ,-                   ,02/21/2020,02/22/2020,02/24/2020,02/24/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T3CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     289-2,MK-000-P-9765-81-2,000-P-9765-81                                ,"900-P-9765-2""-T6CH2S99-ETW-1""-PF             ",19                       ,-                   ,02/22/2020,02/24/2020,02/25/2020,02/25/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T6CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     357-3,MK-000-P-9809-81-3,000-P-9809-81                                ,"900-P-9809-1""-T9CH2S99-ETW-1""-PF             ",19                       ,-                   ,02/20/2020,02/21/2020,02/21/2020,02/21/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T9CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     357-4,MK-000-P-9809-81-4,000-P-9809-81                                ,"900-P-9809-1""-T9CH2S99-ETW-1""-PF             ",19                       ,-                   ,02/21/2020,02/22/2020,02/22/2020,02/22/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T9CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,      11-1,MK-000-P-9903-71-1,000-P-9903-71                                ,"900-P-9903-2""-T1CB2S01-ET-1 1/2""-HC          ",19                       ,-                   ,02/21/2020,02/22/2020,02/22/2020,02/25/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CB2S01  ,CWA-5     ,,,N/A   ,
TEXAS     ,      21-1,MK-000-P-9907-32-1,000-P-9907-32                                ,"900-P-9907-2""-T6CH2S99-ETW-1 1/2""-HC         ",19                       ,-                   ,02/21/2020,02/22/2020,02/22/2020,02/22/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T6CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,      23-1,MK-000-P-9908-33-1,000-P-9908-33                                ,"900-P-9908-3""-T3CH2S99-ETW-1 1/2""-HC         ",19                       ,-                   ,02/21/2020,02/22/2020,02/22/2020,02/22/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T3CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,      23-2,MK-000-P-9908-33-2,000-P-9908-33                                ,"900-P-9908-3""-T3CH2S99-ETW-1 1/2""-HC         ",19                       ,-                   ,02/21/2020,02/22/2020,02/22/2020,02/22/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T3CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,      51-1,MK-000-POWS-9743-70-1,000-POWS-9743-70                             ,"900-POWS-9743-2""-T1CB2S01-ETW-1""-PF          ",19                       ,-                   ,02/21/2020,02/23/2020,02/24/2020,02/24/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CB2S01  ,CWA-5     ,,,N/A   ,
TEXAS     ,      93-1,MK-000-POWS-9748-70-1,000-POWS-9748-70                             ,"900-POWS-9748-0.75""-T1CB2S01-ETW-1""-PF       ",19                       ,-                   ,02/21/2020,02/22/2020,02/22/2020,02/22/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CB2S01  ,CWA-5     ,,,N/A   ,
TEXAS     ,      94-1,MK-000-POWS-9749-70-1,000-POWS-9749-70                             ,"900-POWS-9749-2""-T1CB2S01-ETW-1""-PF          ",19                       ,-                   ,02/21/2020,02/24/2020,02/25/2020,02/25/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CB2S01  ,CWA-5     ,,,N/A   ,
TEXAS     ,     379-2,MK-000-POWS-9821-80-2,000-POWS-9821-80                             ,"900-POWS-9821-1""-T1CB2S01-ETW-1""-PF          ",19                       ,-                   ,02/24/2020,02/24/2020,02/24/2020,02/25/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CB2S01  ,CWA-5     ,,02/24/2020,N/A   ,
TEXAS     ,     133-4,MK-000-S15-9790-70-4,000-S15-9790-70                              ,"900-S15-9790-6""-T1CS1S02-ET-2 1/2""-HC        ",19                       ,-                   ,02/22/2020,02/23/2020,02/24/2020,02/24/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CS1S02  ,CWA-5     ,,,N/A   ,
TEXAS     ,     214-3,MK-000-S25-9629-01-3,000-S25-9629-01                              ,"900-S25-9629-1""-T3CS1S02-NT-2""-HC            ",NONE/40 (SUPPORT ONLY)   ,-/LIGHT GRAY (SUPPOR,02/21/2020,02/23/2020,02/23/2020,02/24/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T3CS1S02  ,CWA-5     ,,,N/A   ,
TEXAS     ,     380-2,MK-000-S5-20225-60-2,000-S5-20225-60                              ,"2000-S5-20225-1.5""-T1CS1S02-ETW-2""-HC        ",19                       ,-                   ,02/23/2020,02/26/2020,02/26/2020,02/27/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CS1S02  ,CWA-6     ,,,N/A   ,
TEXAS     ,     248-2,MK-000-S5-9408-30-2,000-S5-9408-30                               ,"900-S5-9408-1.5""-T1CS1S02-ETW-2""-HC          ",19                       ,-                   ,02/21/2020,02/22/2020,02/22/2020,02/22/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CS1S02  ,CWA-5     ,,,N/A   ,
TEXAS     ,     210-1,MK-000-S5-9410-30-1,000-S5-9410-30                               ,"900-S5-9410-1.5""-T1CS1S02-ETW-2""-HC          ",19                       ,-                   ,02/22/2020,02/26/2020,02/26/2020,02/26/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CS1S02  ,CWA-5     ,,,N/A   ,
TEXAS     ,     212-1,MK-000-S5-9415-40-1,000-S5-9415-40                               ,"900-S5-9415-1.5""-T1CS1S02-ETW-2""-HC          ",19                       ,-                   ,02/21/2020,02/26/2020,02/26/2020,02/27/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CS1S02  ,CWA-5     ,,,N/A   ,
TEXAS     ,     212-2,MK-000-S5-9415-40-2,000-S5-9415-40                               ,"900-S5-9415-1.5""-T1CS1S02-ETW-2""-HC          ",19                       ,-                   ,02/23/2020,02/26/2020,02/26/2020,02/27/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CS1S02  ,CWA-5     ,,,N/A   ,
TEXAS     ,     313-1,MK-000-SC-20254-63-1,000-SC-20254-63                              ,"2000-SC-20254-0.75""-T1CS1S02-ETW-1""-HC       ",19                       ,-                   ,02/22/2020,02/23/2020,02/23/2020,02/23/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CS1S02  ,CWA-6     ,,,N/A   ,
TEXAS     ,     216-1,MK-000-SC-9422-81-1,000-SC-9422-81                               ,"900-SC-9422-1.5""-T1CS1S02-ETW-2""-HC          ",19                       ,-                   ,02/21/2020,02/22/2020,02/22/2020,02/22/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CS1S02  ,CWA-5     ,,,N/A   ,
TEXAS     ,     495-1,MK-000-SC-9529-10-1,000-SC-9529-10                               ,"900-SC-9529-2""-T1CS1S02-ETW-2""-HC            ",19                       ,-                   ,02/27/2020,02/27/2020,02/27/2020,02/28/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CS1S02  ,CWA-5     ,,,N/A   ,
TEXAS     ,     496-1,MK-000-SC-9529-11-1,000-SC-9529-11                               ,"900-SC-9529-2""-T1CS1S02-ETW-2""-HC            ",19                       ,-                   ,02/26/2020,02/27/2020,02/27/2020,02/28/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CS1S02  ,CWA-5     ,,,N/A   ,
TEXAS     ,     496-2,MK-000-SC-9529-11-2,000-SC-9529-11                               ,"900-SC-9529-2""-T1CS1S02-ETW-2""-HC            ",19                       ,-                   ,02/27/2020,02/28/2020,02/28/2020,02/28/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CS1S02  ,CWA-5     ,,,N/A   ,
TEXAS     ,      99-1,MK-000-SC-9645-72-1,000-SC-9645-72                               ,"900-SC-9645-1.5""-T1CS1S02-ETW-2""-HC          ",19                       ,-                   ,02/21/2020,02/24/2020,02/24/2020,02/25/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CS1S02  ,CWA-5     ,,,N/A   ,
TEXAS     ,     720-2,MK-000-SC-9658-10-2,000-SC-9658-10                               ,"900-SC-9658-1.5""-T1CS1S02-ETW-2""-HC          ",19                       ,-                   ,02/27/2020,02/28/2020,02/28/2020,02/28/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CS1S02  ,CWA-5     ,,,N/A   ,
TEXAS     ,     388-1,MK-000-WF-20269-61-1,000-WF-20269-61                              ,"2000-WF-20269-2""-T1CB2S01-ETW-1""-PF          ",40                       ,LIGHT GRAY          ,02/22/2020,02/23/2020,02/24/2020,02/24/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CB2S01  ,CWA-6     ,,,N/A   ,
TEXAS     ,     652-2,MK-000-WP-20117-60-2,000-WP-20117-60                              ,"2000-WP-20117-2""-T1CB2S01-ETW-1""-PF          ",19                       ,-                   ,02/27/2020,02/28/2020,02/28/2020,02/28/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T1CB2S01  ,CWA-6     ,,,N/A   ,
TEXAS     ,     537-1,MK-000-WP-20240-60-1,000-WP-20240-60                              ,"2000-WP-20240-2""-T6CB2S01-ETW-1""-PF          ",19                       ,-                   ,02/21/2020,02/22/2020,02/23/2020,02/24/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T6CB2S01  ,CWA-6     ,,,N/A   ,
TEXAS     ,     199-1,MK-000-WP-9398-41-1,000-WP-9398-41                               ,"900-WP-9398-2""-T3CH2S99-ETW-1""-PF            ",19                       ,-                   ,02/21/2020,02/23/2020,02/24/2020,02/24/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T3CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     201-1,MK-000-WP-9783-41-1,000-WP-9783-41                               ,"900-WP-9783-2""-T3CH2S99-ETW-1""-PF            ",19                       ,-                   ,02/22/2020,02/24/2020,02/25/2020,02/25/2020,,,02/29/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4006     ,T3CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     538-2,MK-000-AV-20101-60-2,000-AV-20101-60                              ,"2000-AV-20101-6""-T12CS1T01-ETW-1 1/2""-PF     ",19                       ,-                   ,02/22/2020,02/24/2020,02/26/2020,02/26/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T12CS1T01 ,CWA-6     ,,,N/A   ,
TEXAS     ,     435-1,MK-000-AV-20102-60-1,000-AV-20102-60                              ,"2000-AV-20102-6""-T12CS1T01-ETW-1 1/2""-PF     ",19                       ,-                   ,02/22/2020,02/25/2020,02/26/2020,02/27/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T12CS1T01 ,CWA-6     ,,,N/A   ,
TEXAS     ,     539-1,MK-000-AV-20109-60-1,000-AV-20109-60                              ,"2000-AV-20109-6""-T12CS1T01-ETW-1 1/2""-PF     ",19                       ,-                   ,02/22/2020,02/25/2020,02/26/2020,02/27/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T12CS1T01 ,CWA-6     ,,,N/A   ,
TEXAS     ,     436-1,MK-000-AV-20110-60-1,000-AV-20110-60                              ,"2000-AV-20110-6""-T12CS1T01-ETW-1 1/2""-PF     ",19                       ,-                   ,02/23/2020,02/25/2020,02/27/2020,02/27/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T12CS1T01 ,CWA-6     ,,,N/A   ,
TEXAS     ,     543-2,MK-000-CWR-20031-61-2,000-CWR-20031-61                             ,"2000-CWR-20031-4""-T12CS1T01-ETW-1 1/2""-PF    ",19                       ,-                   ,02/27/2020,02/28/2020,02/28/2020,02/28/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T12CS1T01 ,CWA-6     ,,,N/A   ,
TEXAS     ,     820-2,MK-000-CWR-20100-61-2,000-CWR-20100-61                             ,"2000-CWR-20100-8""-T12CS1T01-ETW-2""-PF        ",19                       ,-                   ,02/26/2020,02/27/2020,02/27/2020,02/27/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T12CS1T01 ,CWA-6     ,,,N/A   ,
TEXAS     ,     438-1,MK-000-CWR-9806-30-1,000-CWR-9806-30                              ,"900-CWR-9806-6""-T12CS1T01-ETW-1 1/2""-PF      ",19                       ,-                   ,02/26/2020,02/27/2020,02/27/2020,02/27/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T12CS1T01 ,CWA-5     ,,,N/A   ,
TEXAS     ,     550-1,MK-000-NG-9145-55-1,000-NG-9145-55                               ,"900-NG-9145-6""-T3CB1S01-NT-1 1/2""-HC         ",19                       ,-                   ,02/26/2020,02/27/2020,02/27/2020,02/28/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T3CB1S01  ,CWA-5     ,,,N/A   ,
TEXAS     ,     551-1,MK-000-NG-9235-02-1,000-NG-9235-02                               ,"900-NG-9235-3""-T3CB1S01-NT-1 1/2""-HC         ",19                       ,-                   ,02/26/2020,02/27/2020,02/27/2020,02/28/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T3CB1S01  ,CWA-5     ,,,N/A   ,
TEXAS     ,     551-2,MK-000-NG-9235-02-2,000-NG-9235-02                               ,"900-NG-9235-3""-T3CB1S01-NT-1 1/2""-HC         ",19                       ,-                   ,02/26/2020,02/27/2020,02/27/2020,02/28/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T3CB1S01  ,CWA-5     ,,,N/A   ,
TEXAS     ,     552-1,MK-000-NG-9824-02-1,000-NG-9824-02                               ,"900-NG-9824-3""-T3CB1S01-NT-1 1/2""-HC         ",19                       ,-                   ,02/27/2020,02/27/2020,02/28/2020,02/28/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T3CB1S01  ,CWA-5     ,,,N/A   ,
TEXAS     ,     427-1,MK-000-P-20063-60-1,000-P-20063-60                               ,"2000-P-20063-4""-T3CB2S01-NT-2""-HC            ",19                       ,-                   ,02/21/2020,02/25/2020,02/27/2020,02/27/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T3CB2S01  ,CWA-6     ,,,N/A   ,
TEXAS     ,     119-1,MK-000-P-9065-30-1,000-P-9065-30                                ,"900-P-9065-6""-T3CH2S99-ETW-1 1/2""-PF         ",19                       ,-                   ,02/22/2020,02/24/2020,02/25/2020,02/25/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T3CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     333-1,MK-000-P-9066-21-1,000-P-9066-21                                ,"900-P-9066-8""-T3CH2S99-ETW-2""-HC             ",19                       ,-                   ,02/21/2020,02/23/2020,02/24/2020,02/25/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T3CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     403-2,MK-000-P-9091-10-2,000-P-9091-10                                ,"900-P-9091-3""-T9CH2S99-ET-1 1/2""-HC          ",19                       ,-                   ,02/22/2020,02/24/2020,02/24/2020,02/25/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T9CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     409-1,MK-000-P-9211-11-1,000-P-9211-11                                ,"900-P-9211-2""-T9CH2S99-ET-1 1/2""-HC          ",19                       ,-                   ,02/22/2020,02/23/2020,02/24/2020,02/24/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T9CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     416-2,MK-000-P-9213-10-2,000-P-9213-10                                ,"900-P-9213-4""-T9CH2S99-ET-1 1/2""-HC          ",19                       ,-                   ,02/21/2020,02/23/2020,02/24/2020,02/24/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T9CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     466-2,MK-000-P-9217-10-2,000-P-9217-10                                ,"900-P-9217-3""-T9CH2S99-ET-1 1/2""-HC          ",19                       ,-                   ,02/21/2020,02/23/2020,02/24/2020,02/24/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T9CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     467-1,MK-000-P-9217-11-1,000-P-9217-11                                ,"900-P-9217-3""-T9CH2S99-ET-1 1/2""-HC          ",19                       ,-                   ,02/21/2020,02/23/2020,02/24/2020,02/25/2020,,,03/02/2020,,,03/04/2020,03/17/2020,03/19/2020,03/20/2020,T4007     ,T9CH2S99  ,CWA-5     ,,,N/A   ,
TEXAS     ,     539-2,MK-000-AV-20109-60-2,000-AV-20109-60                              ,"2000-AV-20109-6""-T12CS1T01-ETW-1 1/2""-PF     ",19                       ,-                   ,02/22/2020,02/24/2020,02/25/2020,02/25/2020,,,03/02/2020,,,03/04/2020,03/12/2020,03/17/2020,03/19/2020,T4008     ,T12CS1T01 ,CWA-6     ,,,N/A   ,
