,1773,,,,,,1773,1773,1773,1773,110,0,1750,0,689,1492,1288,1398,1772,,,,,,,
SHOP,ISO NO,PIECEMARK,REF. DWG.,LINE NO.,PAINT SYS.,TOP COAT,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,DATE TO STRESS,BACK AT SHOP,SHOP QC,CLIENT QC,READY TO SHIP COATING,SHIP TO COATING,APPROVAL TO SHIP,READY TO SHIP,TO SITE,LOAD NO.,SPEC.,PHASE,ON HOLD,OFF HOLD,HYDRO,HYDRO DATE
BR        ,     204-3,MK-000-WS-9588-81-3,000-WS-9588-81                               ,"900-WS-9588-2""-T6NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,03/05/2020,03/06/2020,03/07/2020,03/09/2020,,,03/13/2020,,,,,03/17/2020,03/18/2020,B3006     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     205-1,MK-000-WS-9695-80-1,000-WS-9695-80                               ,"900-WS-9695-2""-T6NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,02/06/2020,02/11/2020,02/11/2020,02/12/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     205-2,MK-000-WS-9695-80-2,000-WS-9695-80                               ,"900-WS-9695-2""-T6NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,02/17/2020,02/19/2020,02/20/2020,02/20/2020,,,03/09/2020,,,,,03/10/2020,03/13/2020,B3004     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     205-3,MK-000-WS-9695-80-3,000-WS-9695-80                               ,"900-WS-9695-2""-T6NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,02/06/2020,02/10/2020,02/10/2020,02/11/2020,,,03/09/2020,,,,,03/10/2020,03/13/2020,B3004     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     205-4,MK-000-WS-9695-80-4,000-WS-9695-80                               ,"900-WS-9695-2""-T6NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,02/17/2020,02/19/2020,02/20/2020,02/21/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     206-1,MK-000-WS-9695-81-1,000-WS-9695-81                               ,"900-WS-9695-2""-T6NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,02/06/2020,02/10/2020,02/10/2020,02/12/2020,,,03/09/2020,,,,,03/10/2020,03/13/2020,B3004     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     206-2,MK-000-WS-9695-81-2,000-WS-9695-81                               ,"900-WS-9695-2""-T6NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,02/17/2020,02/19/2020,02/20/2020,02/21/2020,,,02/25/2020,,,,,02/28/2020,03/02/2020,B3001     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     206-3,MK-000-WS-9695-81-3,000-WS-9695-81                               ,"900-WS-9695-2""-T6NS5S01-ETW-1""-PF            ",NONE/4 SEE ISO           ,-                   ,03/05/2020,03/06/2020,03/09/2020,03/10/2020,,,03/13/2020,,,,,03/17/2020,03/18/2020,B3006     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     222-1,MK-000-WS-9224-80-1,000-WS-9224-80                               ,"900-WS-9224-2""-T6NS5S01-ETW-1""-PF            ",NONE                     ,-                   ,02/06/2020,02/11/2020,02/12/2020,02/17/2020,,,02/29/2020,,,,,03/03/2020,03/10/2020,B3002     ,T6NS5S01  ,CWA-5     ,,,N/A   ,
BR        ,     274-1,MK-000-P-9033-20-1,000-P-9033-20                                ,"900-P-9033-12""-T9SL5S01-ETW-4 1/2""-HC        ",NONE                     ,-                   ,04/06/2020,04/07/2020,04/14/2020,04/15/2020,04/30/2020,,04/29/2020,,,,,,06/03/2020,B3010     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     274-2,MK-000-P-9033-20-2,000-P-9033-20                                ,"900-P-9033-12""-T9SL5S01-ETW-4 1/2""-HC        ",NONE                     ,-                   ,02/26/2020,02/28/2020,03/03/2020,03/03/2020,03/06/2020,,03/10/2020,,,,,03/04/2020,03/11/2020,B3005     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     278-1,MK-000-P-9045-20-1,000-P-9045-20                                ,"900-P-9045-14""-T9SL5S01-NT-1 3/4""-HC(PG)     ",NONE                     ,-                   ,02/06/2020,02/18/2020,02/18/2020,02/19/2020,02/21/2020,,02/20/2020,,,,,02/28/2020,03/02/2020,B3001     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     282-1,MK-000-P-9099-20-1,000-P-9099-20                                ,"900-P-9099-14""-T9SL5S01-NT-1 3/4""-HC(PG)     ",NONE                     ,-                   ,02/06/2020,02/11/2020,02/12/2020,02/12/2020,02/21/2020,,02/29/2020,,,,,03/03/2020,03/10/2020,B3002     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     283-1,MK-000-P-9100-20-1,000-P-9100-20                                ,"900-P-9100-10""-T9SL5S01-NT-1 1/2""-HC(PG)     ",NONE                     ,-                   ,02/06/2020,02/11/2020,02/13/2020,02/14/2020,03/03/2020,,02/28/2020,,,,,03/02/2020,03/13/2020,B3004     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
BR        ,     284-1,MK-000-P-9261-20-1,000-P-9261-20                                ,"900-P-9261-16""-T9SL5S01-ETW-4 1/2""-HC        ",NONE                     ,-                   ,02/17/2020,02/21/2020,02/27/2020,03/06/2020,03/10/2020,,03/10/2020,,,,,03/17/2020,03/18/2020,B3006     ,T9SL5S01  ,CWA-5     ,,,N/A   ,
