"spool","piecemark","material","issued","pulled","priority","area","iso","detailing","checking","shop","on_hold","multiplier","jobnum","client","status","items","shorts","missing_valve_only","weldout","rts","rtsc","stc","delivered","workable","i_p"
"235-1","PM101XA-C-97625.01-1","304/304L SS","","","7","J04","235","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"235-2","PM101XA-C-97625.01-2","304/304L SS","","","7","J04","235","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"235-3","PM101XA-C-97625.01-3","304/304L SS","","","7","J04","235","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"236-1","PM101XA-C-97625.02-1","304/304L SS","","","7","J04","236","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"236-2","PM101XA-C-97625.02-2","304/304L SS","","","7","J04","236","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"237-1","PM101XA-C-97625.03-1","304/304L SS","","","7","J04","237","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"237-2","PM101XA-C-97625.03-2","304/304L SS","","","7","J04","237","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"237-3","PM101XA-C-97625.03-3","304/304L SS","","","7","J04","237","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"238-1","PM101XA-C-97625.04-1","304/304L SS","","","7","J04","238","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"238-2","PM101XA-C-97625.04-2","304/304L SS","","","7","J04","238","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"239-1","PM101XA-CS-97779.01-1","CS","","","5","J07","239","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"239-2","PM101XA-CS-97779.01-2","CS","","","5","J07","239","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"240-1","PM101XA-CS-97779.02-1","CS","","","5","J07","240","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"240-2","PM101XA-CS-97779.02-2","CS","","","5","J07","240","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"241-1","PM101XA-CS-97782.01-1","CS","","","5","J07","241","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"241-2","PM101XA-CS-97782.01-2","CS","","","5","J07","241","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"242-1","PM101XA-CS-98376.01-1","CS","","","5","J06","242","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"242-2","PM101XA-CS-98376.01-2","CS","","","5","J06","242","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"243-1","PM101XA-CS-98379.01-1","CS","","","5","J07","243","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"244-1","PM101XA-CS-98379.02-1","CS","","","5","J07","244","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"245-1","PM101XA-CS-98387.01-1","CS","","","5","J06","245","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"246-1","PM101XA-CS-98387.02-1","CS","","","5","J06","246","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"247-1","PM101XA-CS-98413.01-1","CS","","","5","J06","247","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"248-1","PM101XA-JW-97740.01-1","CS","","","5","J07","248","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"248-2","PM101XA-JW-97740.01-2","CS","","","5","J07","248","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"248-3","PM101XA-JW-97740.01-3","CS","","","5","J07","248","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"248-4","PM101XA-JW-97740.01-4","CS","","","5","J07","248","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"249-1","PM101XA-JW-97745.01-1","CS","","","5","J07","249","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"249-2","PM101XA-JW-97745.01-2","CS","","","5","J07","249","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"249-3","PM101XA-JW-97745.01-3","CS","","","5","J07","249","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"250-1","PM101XA-JW-97745.02-1","CS","","","5","J07","250","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"250-2","PM101XA-JW-97745.02-2","CS","","","5","J07","250","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"251-1","PM101XA-JW-97746.01-1","CS","","","5","J06","251","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"251-2","PM101XA-JW-97746.01-2","CS","","","5","J06","251","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"252-1","PM101XA-JW-97751.01-1","CS","","","5","J06","252","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"252-2","PM101XA-JW-97751.01-2","CS","","","5","J06","252","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"252-3","PM101XA-JW-97751.01-3","CS","","","5","J06","252","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"253-1","PM101XA-JW-97751.02-1","CS","","","5","J06","253","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"253-2","PM101XA-JW-97751.02-2","CS","","","5","J06","253","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"254-1","PM101XA-JW-97755.01-1","CS","","","5","J07","254","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"254-2","PM101XA-JW-97755.01-2","CS","","","5","J07","254","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"255-1","PM101XA-JW-97755.02-1","CS","","","5","J07","255","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"256-1","PM101XA-JW-97758.01-1","CS","","","5","J07","256","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"256-2","PM101XA-JW-97758.01-2","CS","","","5","J07","256","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"257-1","PM101XA-JW-97758.02-1","CS","","","5","J07","257","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"257-2","PM101XA-JW-97758.02-2","CS","","","5","J07","257","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"257-3","PM101XA-JW-97758.02-3","CS","","","5","J07","257","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"258-1","PM101XA-JW-97759.01-1","CS","","","5","J07","258","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"258-2","PM101XA-JW-97759.01-2","CS","","","5","J07","258","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"259-1","PM101XA-JW-97760.01-1","CS","","","5","J07","259","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"259-2","PM101XA-JW-97760.01-2","CS","","","5","J07","259","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"260-1","PM101XA-JW-97760.02-1","CS","","","5","J07","260","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"260-2","PM101XA-JW-97760.02-2","CS","","","5","J07","260","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"261-1","PM101XA-JW-97760.03-1","CS","","","5","J07","261","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"261-2","PM101XA-JW-97760.03-2","CS","","","5","J07","261","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"262-1","PM101XA-JW-97761.01-1","CS","","","5","J07","262","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"262-2","PM101XA-JW-97761.01-2","CS","","","5","J07","262","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"262-3","PM101XA-JW-97761.01-3","CS","","","5","J07","262","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"263-1","PM101XA-JW-97762.01-1","CS","","","5","J07","263","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"263-2","PM101XA-JW-97762.01-2","CS","","","5","J07","263","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"264-1","PM101XA-JW-97762.02-1","CS","","","5","J07","264","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"265-1","PM101XA-JW-97765.01-1","CS","","","5","J06","265","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"265-2","PM101XA-JW-97765.01-2","CS","","","5","J06","265","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"265-3","PM101XA-JW-97765.01-3","CS","","","5","J06","265","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"265-4","PM101XA-JW-97765.01-4","CS","","","5","J06","265","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"266-1","PM101XA-JW-97765.02-1","CS","","","5","J06","266","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"267-1","PM101XA-JW-98382.01-1","CS","","","5","J06","267","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"267-2","PM101XA-JW-98382.01-2","CS","","","5","J06","267","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"268-1","PM101XA-JW-98382.02-1","CS","","","5","J06","268","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"269-1","PM101XA-JW-98388.01-1","CS","","","5","J06","269","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"269-2","PM101XA-JW-98388.01-2","CS","","","5","J06","269","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"269-3","PM101XA-JW-98388.01-3","CS","","","5","J06","269","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"270-1","PM101XA-JW-98389.01-1","CS","","","5","J06","270","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"270-2","PM101XA-JW-98389.01-2","CS","","","5","J06","270","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"271-1","PM101XA-JW-98389.02-1","CS","","","5","J06","271","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"272-1","PM101XA-JW-98390.01-1","CS","","","5","J06","272","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"272-2","PM101XA-JW-98390.01-2","CS","","","5","J06","272","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"272-3","PM101XA-JW-98390.01-3","CS","","","5","J06","272","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"273-1","PM101XA-JW-98390.02-1","CS","","","5","J06","273","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"274-1","PM101XA-JW-98416.01-1","CS","","","5","J07","274","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"274-2","PM101XA-JW-98416.01-2","CS","","","5","J07","274","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"274-3","PM101XA-JW-98416.01-3","CS","","","5","J07","274","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"274-4","PM101XA-JW-98416.01-4","CS","","","5","J07","274","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"275-1","PM101XA-JW-98417.01-1","CS","","","5","J06","275","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"275-2","PM101XA-JW-98417.01-2","CS","","","5","J06","275","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"275-3","PM101XA-JW-98417.01-3","CS","","","5","J06","275","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"275-4","PM101XA-JW-98417.01-4","CS","","","5","J06","275","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"276-1","PM101XA-JW-98425.01-1","CS","","","5","J07","276","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"276-2","PM101XA-JW-98425.01-2","CS","","","5","J07","276","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"276-3","PM101XA-JW-98425.01-3","CS","","","5","J07","276","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"276-4","PM101XA-JW-98425.01-4","CS","","","5","J07","276","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"277-1","PM101XA-JW-98426.01-1","CS","","","5","J06","277","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"277-2","PM101XA-JW-98426.01-2","CS","","","5","J06","277","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"277-3","PM101XA-JW-98426.01-3","CS","","","5","J06","277","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"277-4","PM101XA-JW-98426.01-4","CS","","","5","J06","277","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"278-1","PM101XA-JW-100405.01-1","CS","","","5","J06","278","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"278-2","PM101XA-JW-100405.01-2","CS","","","5","J06","278","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"279-1","PM101XA-JW-100405.02-1","CS","","","5","J06","279","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"280-1","PM101XA-JW-100405.03-1","CS","","","5","J06","280","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"280-2","PM101XA-JW-100405.03-2","CS","","","5","J06","280","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"281-1","PM101XA-N-97767.01-1","CS","","","5","J07","281","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"282-1","PM101XA-N-98377.01-1","CS","","","5","J07","282","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"282-2","PM101XA-N-98377.01-2","CS","","","5","J07","282","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"283-1","PM101XA-N-98377.02-1","CS","","","5","J07","283","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"284-1","PM101XA-N-98381.01-1","CS","","","5","J06","284","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"285-1","PM101XA-N-98381.02-1","CS","","","5","J06","285","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"285-2","PM101XA-N-98381.02-2","CS","","","5","J06","285","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"286-1","PM101XA-N-98383.01-1","CS","","","5","J06","286","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"287-1","PM101XA-N-100389.01-1","CS","","","5","J06","287","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"288-1","PM101XA-N-100390.01-1","CS","","","5","J07","288","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"289-1","PM101XA-N-100412.01-1","CS","","","5","J07","289","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"290-1","PM101XA-N-100413.01-1","CS","","","5","J06","290","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"291-1","PM101XA-N-100423.01-1","CS","","","5","J07","291","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"292-1","PM101XA-N-100424.01-1","CS","","","5","J06","292","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"293-1","PM101XA-N-100425.01-1","CS","","","5","J07","293","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"294-1","PM101XA-N-100427.01-1","CS","","","5","J06","294","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"296-1","PM101XA-S-97778.01-1","CS","","","5","J07","296","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"296-2","PM101XA-S-97778.01-2","CS","","","5","J07","296","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"296-3","PM101XA-S-97778.01-3","CS","","","5","J07","296","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"297-1","PM101XA-S-97778.02-1","CS","","","5","J07","297","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"297-2","PM101XA-S-97778.02-2","CS","","","5","J07","297","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"298-1","PM101XA-S-97778.03-1","CS","","","5","J07","298","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"298-2","PM101XA-S-97778.03-2","CS","","","5","J07","298","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"299-1","PM101XA-S-98378.01-1","CS","","","5","J06","299","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"300-1","PM101XA-S-98378.02-1","CS","","","5","J06","300","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"300-2","PM101XA-S-98378.02-2","CS","","","5","J06","300","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"301-1","PM101XA-S-98378.03-1","CS","","","5","J06","301","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"301-2","PM101XA-S-98378.03-2","CS","","","5","J06","301","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"302-1","PM101XA-V-97769.01-1","CS","","","5","J07","302","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"303-1","PM101XA-V-98386.01-1","CS","","","5","J06","303","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"304-1","PM101XA-V-100426.01-1","CS","","","5","J07","304","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"305-1","PM101XA-V-100428.01-1","CS","","","5","J06","305","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"308-1","PM102XA-C-97608.01-1","304/304L SS","","","7","J04","308","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"308-2","PM102XA-C-97608.01-2","304/304L SS","","","7","J04","308","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"309-1","PM102XA-C-97608.02-1","304/304L SS","","","7","J04","309","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"309-2","PM102XA-C-97608.02-2","304/304L SS","","","7","J04","309","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"310-1","PM102XA-C-97608.03-1","304/304L SS","","","7","J04","310","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"310-2","PM102XA-C-97608.03-2","304/304L SS","","","7","J04","310","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"311-1","PM102XA-C-97625.01-1","304/304L SS","","","7","J04","311","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"311-2","PM102XA-C-97625.01-2","304/304L SS","","","7","J04","311","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"311-3","PM102XA-C-97625.01-3","304/304L SS","8/3/2020","","7","J04","311","ISS","ISS","BR","","1","7052","CP CHEM","Issued","","","","","","","","","true",""
"312-1","PM102XA-C-97625.02-1","304/304L SS","","","7","J04","312","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"312-2","PM102XA-C-97625.02-2","304/304L SS","","","7","J04","312","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"313-1","PM102XA-C-97625.03-1","304/304L SS","","","7","J04","313","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"313-2","PM102XA-C-97625.03-2","304/304L SS","","","7","J04","313","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"313-3","PM102XA-C-97625.03-3","304/304L SS","","","7","J04","313","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"313-4","PM102XA-C-97625.03-4","304/304L SS","","","7","J04","313","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"313-5","PM102XA-C-97625.03-5","304/304L SS","","","7","J04","313","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"314-1","PM102XA-C-97626.01-1","304/304L SS","","","7","J04","314","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"314-2","PM102XA-C-97626.01-2","304/304L SS","","","7","J04","314","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"314-3","PM102XA-C-97626.01-3","304/304L SS","","","7","J04","314","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"315-1","PM102XA-C-97626.02-1","304/304L SS","","","7","J04","315","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"315-2","PM102XA-C-97626.02-2","304/304L SS","","","7","J04","315","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"316-1","PM102XA-C-97626.03-1","304/304L SS","","","7","J04","316","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"316-2","PM102XA-C-97626.03-2","304/304L SS","8/3/2020","","7","J04","316","ISS","ISS","BR","","1","7052","CP CHEM","Issued","","","","","","","","","true",""
"316-3","PM102XA-C-97626.03-3","304/304L SS","","","7","J04","316","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"317-1","PM102XA-C-97626.04-1","304/304L SS","","","7","J04","317","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"318-1","PM102XA-C-97626.05-1","304/304L SS","","","7","J04","318","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"318-2","PM102XA-C-97626.05-2","304/304L SS","","","7","J04","318","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"318-3","PM102XA-C-97626.05-3","304/304L SS","","","7","J04","318","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"319-1","PM102XA-C-97626.06-1","304/304L SS","","","7","J04","319","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"319-2","PM102XA-C-97626.06-2","304/304L SS","","","7","J04","319","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"320-1","PM102XA-C-97629.01-1","304/304L SS","","","7","J04","320","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"320-2","PM102XA-C-97629.01-2","304/304L SS","","","7","J04","320","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"320-3","PM102XA-C-97629.01-3","304/304L SS","8/3/2020","","7","J04","320","ISS","ISS","BR","","1","7052","CP CHEM","Issued","","","","","","","","","true",""
"321-1","PM102XA-C-97630.01-1","304/304L SS","","","7","J04","321","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"321-2","PM102XA-C-97630.01-2","304/304L SS","","","7","J04","321","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"321-3","PM102XA-C-97630.01-3","304/304L SS","","","7","J04","321","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"321-4","PM102XA-C-97630.01-4","304/304L SS","","","7","J04","321","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"322-1","PM102XA-C-97631.01-1","304/304L SS","","","7","J04","322","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"323-1","PM102XA-C-97632.01-1","304/304L SS","","","7","J04","323","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"323-2","PM102XA-C-97632.01-2","304/304L SS","","","7","J04","323","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"324-1","PM102XA-C-97635.01-1","304/304L SS","","","7","J04","324","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"325-1","PM102XA-C-97635.02-1","304/304L SS","","","7","J04","325","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"325-2","PM102XA-C-97635.02-2","304/304L SS","","","7","J04","325","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"325-3","PM102XA-C-97635.02-3","304/304L SS","8/3/2020","","7","J04","325","ISS","ISS","BR","","1","7052","CP CHEM","Issued","","","","","","","","","true",""
"326-1","PM102XA-C-97635.03-1","304/304L SS","","","7","J04","326","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"326-2","PM102XA-C-97635.03-2","304/304L SS","","","7","J04","326","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"326-3","PM102XA-C-97635.03-3","304/304L SS","8/3/2020","","7","J04","326","ISS","ISS","BR","","1","7052","CP CHEM","Issued","","","","","","","","","true",""
"327-1","PM102XA-C-97636.01-1","304/304L SS","","","7","J04","327","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"328-1","PM102XA-C-97636.02-1","304/304L SS","","","7","J04","328","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"328-2","PM102XA-C-97636.02-2","304/304L SS","","","7","J04","328","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"329-1","PM102XA-C-97636.03-1","304/304L SS","","","7","J04","329","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"330-1","PM102XA-C-97637.01-1","304/304L SS","","","7","J04","330","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"331-1","PM102XA-C-97637.02-1","304/304L SS","","","7","J04","331","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"331-2","PM102XA-C-97637.02-2","304/304L SS","","","7","J04","331","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"332-1","PM102XA-C-97637.03-1","304/304L SS","","","7","J04","332","","UP","","HOLD","1","7052","CP CHEM","On Hold","","","","","","","","","",""
"333-1","PM102XA-C-97638.01-1","304/304L SS","","","7","J04","333","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"333-2","PM102XA-C-97638.01-2","304/304L SS","","","7","J04","333","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"334-1","PM102XA-C-97638.02-1","304/304L SS","","","7","J04","334","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"335-1","PM102XA-C-97638.03-1","304/304L SS","","","7","J04","335","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"335-2","PM102XA-C-97638.03-2","304/304L SS","","","7","J04","335","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"335-3","PM102XA-C-97638.03-3","304/304L SS","8/3/2020","","7","J04","335","ISS","ISS","BR","","1","7052","CP CHEM","Issued","","","","","","","","","true",""
"336-1","PM102XA-C-97641.01-1","304/304L SS","","","7","J04","336","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"336-2","PM102XA-C-97641.01-2","304/304L SS","","","7","J04","336","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"337-1","PM102XA-C-97642.01-1","304/304L SS","","","7","J04","337","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
"337-2","PM102XA-C-97642.01-2","304/304L SS","","","7","J04","337","","UP","","","1","7052","CP CHEM","Not Workable","","","","","","","","","",""
