Piping Line List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1019,:Total Isos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client Name:,CP CHEM,,,,,,,,,1019,:Total Spools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job No:,7052,,,,,,,,,300,:Hold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fab. Location:,,,,,,,,,,264,:Issued,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,755,:Isos not Issued for fab.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,716,UP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,RTI,,,,,,,,,,,,,,,,,,,,Transmittal Summary,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,1,,,,,,,,,,,,,,,,,,,,19-Aug-20,New,,,Revisions,,,,,,,,,,,,,,,,,,,,,,
ISO,SPOOL,In Detailing,In Checking,SHOP,Status,Priority #,Area,Construction Phase,Material,Pipe Spec.,Painting Spec.,Top Coat,INSULATION,Pipeline Reference,Spool ID,Line Size ,Line No.,PMI,HOLD,PCI / Client,RFI No. / Email ,Release Date,Remarks,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.,BLINDS,HYDRO,PSI,SHOT PEENING,NDE CHECKED,,8-18-20 WORKABLE,8-17-20 WORKABLE,8-13-20 WORKABLE,8-3-20 WORKABLE,8-3-20 /2 WORKABLE,8-4-20 WORKABLE,8-5-20 WORKABLE,8-6-20 WORKABLE,8-10-20 WORKABLE,8-10-20 #2 WORKABLE,8-11-20 WORKABLE
10,1-Oct,,UP,,,7,J04,60,304/304L SS,FB8,12.4,NONE,CCB,PK101XA-C-1615.01,PK101XA-C-1615.01-1,"1""",PK101XA-C-1615.01,Need,HOLD,,RFI-20,,,1,6/23/2020,0,,,,,,,,Shop,75,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11,1-Nov,,UP,,,7,J04,60,304/304L SS,FB8,12.4,NONE,CCB,PK101XA-C-1617.01,PK101XA-C-1617.01-1,"1""",PK101XA-C-1617.01,Need,HOLD,,RFI-20,,,1,6/23/2020,0,,,,,,,,Shop,75,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12,1-Dec,,UP,,,7,J04,60,304/304L SS,FB8,12.4,NONE,CCB,PK101XA-C-1619.01,PK101XA-C-1619.01-1,"1""",PK101XA-C-1619.01,Need,HOLD,,RFI-20,,,1,6/23/2020,0,,,,,,,,Shop,75,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13,13-1,,UP,,,7,J05,6P,304/304L SS,FB8,12.4,NONE,CCB,PK101XA-C-97624.01,PK101XA-C-97624.01-1,"1.1/2""",PK101XA-C-97624.01,Need,,,,,,1,6/23/2020,0,,,,,,,,Shop,113,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13,13-2,,UP,,,7,J05,6P,304/304L SS,FB8,12.4,NONE,CCB,PK101XA-C-97624.01,PK101XA-C-97624.01-2,"1.1/2""",PK101XA-C-97624.01,Need,,,,,,1,6/23/2020,0,,,,,,,,Shop,113,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14,14-1,,UP,,,7,J05,6P,304/304L SS,FB8,12.4,NONE,CCB,PK101XA-C-97624.02,PK101XA-C-97624.02-1,"1.1/2""",PK101XA-C-97624.02,Need,,,RFI-9,,,1,6/23/2020,0,,,,,,,,?,113,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14,14-2,,UP,,,7,J05,6P,304/304L SS,FB8,12.4,NONE,CCB,PK101XA-C-97624.02,PK101XA-C-97624.02-2,"1.1/2""",PK101XA-C-97624.02,Need,HOLD,,RFI-9,,,1,6/23/2020,0,,,,,,,,?,113,,,,14-2,14-2,14-2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14-2
14,14-3,,UP,,,7,J05,6P,304/304L SS,FB8,12.4,NONE,CCB,PK101XA-C-97624.02,PK101XA-C-97624.02-3,"1.1/2""",PK101XA-C-97624.02,Need,HOLD,,RFI-9,,,1,6/23/2020,0,,,,,,,,?,113,,,,14-3,14-3,14-3,#N/A,14-3,14-3,14-3,14-3,14-3,14-3,14-3
15,15-1,,UP,,,7,J05,6P,304/304L SS,FB8,12.4,NONE,CCB,PK101XA-C-97624.03,PK101XA-C-97624.03-1,"1.1/2""",PK101XA-C-97624.03,Need,,,,,,1,6/23/2020,0,,,,,,,,Shop,113,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16,16-1,,UP,,,7,J05,6P,304/304L SS,FB8,12.4,NONE,CCB,PK101XA-C-102338.01,PK101XA-C-102338.01-1,"1.1/2""",PK101XA-C-102338.01,Need,,,,,,1,6/23/2020,0,,,,,,,,Shop,113,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
