Sheetsketc,Pcmkipcmar,Sheetrefdw,Sheetclien,Sheetclie1,Sheetlinen,Sheetpaint,Sheettopco,Sheetprior,Sheetprio1,Pulltranda,_1fittrand,Ffittranda,Wouttranda,Strestrand,Bastrandat,Sqctrandat,Cqctrandat,Rtctrandat,Stctrandat,Atstrandat,Rtstrandat,Sitetranda,Idfilloadn,Sheetbomco,Sheetlines,Sheetphase,Idfilonhol,Idfiloffho,Sheetshoph,Hydrotrand,Jobsjobpla,Sheetcusts,Sheettrans,Sheetpwht,Sheetpmi,Sheetfabco,Pcmkiitemw,Sheetsum_f,Sheetrevle
     480-1,7052-480-1-A                  ,1792-300-3057                                ,3,1,"V-383 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,19C       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,3,0
     480-2,7052-480-2-A                  ,1792-300-3057                                ,3,1,"V-383 20"" NOZZLE ""L""                         ",NONE                     ,-                   ,,19C       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,4.5,0
     480-3,7052-480-3-A                  ,1792-300-3057                                ,3,1,"V-383 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,19C       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     480-4,7052-480-4-A                  ,1792-300-3057                                ,3,1,"V-383 8"" NOZZLE ""R""                          ",NONE                     ,-                   ,,19C       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,0.56,0
     480-5,7052-480-5-A                  ,1792-300-3057                                ,3,1,"V-383 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,19C       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,0
     480-6,7052-480-6-A                  ,1792-300-3057                                ,3,1,"V-383 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,19C       ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     481-1,7052-481-1-A                  ,1792-300-3058                                ,1,1,"V-310 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,1A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     481-2,7052-481-2-A                  ,1792-300-3058                                ,1,1,"V-310 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,1A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     481-3,7052-481-3-A                  ,1792-300-3058                                ,1,1,"V-310 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,1A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     481-4,7052-481-4-A                  ,1792-300-3058                                ,1,1,"V-310 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,1A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,0
     481-5,7052-481-5-A                  ,1792-300-3058                                ,1,1,"V-310 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,1A        ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     482-1,7052-482-1-A                  ,1792-300-3058                                ,1,1,"V-311 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,2A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     482-2,7052-482-2-A                  ,1792-300-3058                                ,1,1,"V-311 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,2A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     482-3,7052-482-3-A                  ,1792-300-3058                                ,1,1,"V-311 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,2A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     482-4,7052-482-4-A                  ,1792-300-3058                                ,1,1,"V-311 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,2A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     482-5,7052-482-5-A                  ,1792-300-3058                                ,1,1,"V-311 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,2A        ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     483-1,7052-483-1-A                  ,1792-300-3058                                ,1,1,"V-312 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,3A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     483-2,7052-483-2-A                  ,1792-300-3058                                ,1,1,"V-312 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,3A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     483-3,7052-483-3-A                  ,1792-300-3058                                ,1,1,"V-312 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,3A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     483-4,7052-483-4-A                  ,1792-300-3058                                ,1,1,"V-312 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,3A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     483-5,7052-483-5-A                  ,1792-300-3058                                ,1,1,"V-312 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,3A        ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     484-1,7052-484-1-A                  ,1792-300-3058                                ,1,1,"V-313 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,4A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     484-2,7052-484-2-A                  ,1792-300-3058                                ,1,1,"V-313 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,4A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     484-3,7052-484-3-A                  ,1792-300-3058                                ,1,1,"V-313 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,4A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     484-4,7052-484-4-A                  ,1792-300-3058                                ,1,1,"V-313 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,4A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     484-5,7052-484-5-A                  ,1792-300-3058                                ,1,1,"V-313 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,4A        ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     485-1,7052-485-1-A                  ,1792-300-3058                                ,1,1,"V-314 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,5A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     485-2,7052-485-2-A                  ,1792-300-3058                                ,1,1,"V-314 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,5A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     485-3,7052-485-3-A                  ,1792-300-3058                                ,1,1,"V-314 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,5A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     485-4,7052-485-4-A                  ,1792-300-3058                                ,1,1,"V-314 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,5A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     485-5,7052-485-5-A                  ,1792-300-3058                                ,1,1,"V-314 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,5A        ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     486-1,7052-486-1-A                  ,1792-300-3058                                ,1,1,"V-315 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,6A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     486-2,7052-486-2-A                  ,1792-300-3058                                ,1,1,"V-315 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,6A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     486-3,7052-486-3-A                  ,1792-300-3058                                ,1,1,"V-315 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,6A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     486-4,7052-486-4-A                  ,1792-300-3058                                ,1,1,"V-315 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,6A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     486-5,7052-486-5-A                  ,1792-300-3058                                ,1,1,"V-315 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,6A        ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     487-1,7052-487-1-A                  ,1792-300-3058                                ,1,1,"V-316 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,7A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     487-2,7052-487-2-A                  ,1792-300-3058                                ,1,1,"V-316 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,7A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     487-3,7052-487-3-A                  ,1792-300-3058                                ,1,1,"V-316 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,7A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     487-4,7052-487-4-A                  ,1792-300-3058                                ,1,1,"V-316 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,7A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     487-5,7052-487-5-A                  ,1792-300-3058                                ,1,1,"V-316 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,7A        ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     488-1,7052-488-1-A                  ,1792-300-3058                                ,1,1,"V-317 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,8A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     488-2,7052-488-2-A                  ,1792-300-3058                                ,1,1,"V-317 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,8A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     488-3,7052-488-3-A                  ,1792-300-3058                                ,1,1,"V-317 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,8A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     488-4,7052-488-4-A                  ,1792-300-3058                                ,1,1,"V-317 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,8A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     488-5,7052-488-5-A                  ,1792-300-3058                                ,1,1,"V-317 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,8A        ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     489-1,7052-489-1-A                  ,1792-300-3058                                ,1,1,"V-318 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,9A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     489-2,7052-489-2-A                  ,1792-300-3058                                ,1,1,"V-318 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,9A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     489-3,7052-489-3-A                  ,1792-300-3058                                ,1,1,"V-318 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,9A        ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     489-4,7052-489-4-A                  ,1792-300-3058                                ,1,1,"V-318 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,9A        ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     489-5,7052-489-5-A                  ,1792-300-3058                                ,1,1,"V-318 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,9A        ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     490-1,7052-490-1-A                  ,1792-300-3058                                ,1,1,"V-319 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,10A       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     490-2,7052-490-2-A                  ,1792-300-3058                                ,1,1,"V-319 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,10A       ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     490-3,7052-490-3-A                  ,1792-300-3058                                ,1,1,"V-319 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,10A       ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     490-4,7052-490-4-A                  ,1792-300-3058                                ,1,1,"V-319 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,10A       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     490-5,7052-490-5-A                  ,1792-300-3058                                ,1,1,"V-319 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,10A       ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     491-1,7052-491-1-A                  ,1792-300-3058                                ,1,1,"V-320 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,11A       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     491-2,7052-491-2-A                  ,1792-300-3058                                ,1,1,"V-320 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,11A       ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     491-3,7052-491-3-A                  ,1792-300-3058                                ,1,1,"V-320 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,11A       ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     491-4,7052-491-4-A                  ,1792-300-3058                                ,1,1,"V-320 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,11A       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     491-5,7052-491-5-A                  ,1792-300-3058                                ,1,1,"V-320 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,11A       ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     492-1,7052-492-1-A                  ,1792-300-3058                                ,1,1,"V-321 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,12A       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     492-2,7052-492-2-A                  ,1792-300-3058                                ,1,1,"V-321 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,12A       ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     492-3,7052-492-3-A                  ,1792-300-3058                                ,1,1,"V-321 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,12A       ,10/6/2020,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     492-4,7052-492-4-A                  ,1792-300-3058                                ,1,1,"V-321 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,12A       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     492-5,7052-492-5-A                  ,1792-300-3058                                ,1,1,"V-321 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,12A       ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     493-1,7052-493-1-A                  ,1792-300-3058                                ,1,1,"V-324 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,13B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     493-2,7052-493-2-A                  ,1792-300-3058                                ,1,1,"V-324 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,13B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     493-3,7052-493-3-A                  ,1792-300-3058                                ,1,1,"V-324 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,13B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     493-4,7052-493-4-A                  ,1792-300-3058                                ,1,1,"V-324 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,13B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     493-5,7052-493-5-A                  ,1792-300-3058                                ,1,1,"V-324 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,13B       ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     494-1,7052-494-1-A                  ,1792-300-3058                                ,1,1,"V-325 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,14B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     494-2,7052-494-2-A                  ,1792-300-3058                                ,1,1,"V-325 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,14B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     494-3,7052-494-3-A                  ,1792-300-3058                                ,1,1,"V-325 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,14B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     494-4,7052-494-4-A                  ,1792-300-3058                                ,1,1,"V-325 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,14B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     494-5,7052-494-5-A                  ,1792-300-3058                                ,1,1,"V-325 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,14B       ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     495-1,7052-495-1-A                  ,1792-300-3058                                ,1,1,"V-326 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,15B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     495-2,7052-495-2-A                  ,1792-300-3058                                ,1,1,"V-326 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,15B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     495-3,7052-495-3-A                  ,1792-300-3058                                ,1,1,"V-326 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,15B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     495-4,7052-495-4-A                  ,1792-300-3058                                ,1,1,"V-326 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,15B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     495-5,7052-495-5-A                  ,1792-300-3058                                ,1,1,"V-326 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,15B       ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     496-1,7052-496-1-A                  ,1792-300-3058                                ,1,1,"V-327 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,16B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     496-2,7052-496-2-A                  ,1792-300-3058                                ,1,1,"V-327 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,16B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     496-3,7052-496-3-A                  ,1792-300-3058                                ,1,1,"V-327 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,16B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     496-4,7052-496-4-A                  ,1792-300-3058                                ,1,1,"V-327 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,16B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     496-5,7052-496-5-A                  ,1792-300-3058                                ,1,1,"V-327 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,16B       ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     497-1,7052-497-1-A                  ,1792-300-3058                                ,1,1,"V-328 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,17B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     497-2,7052-497-2-A                  ,1792-300-3058                                ,1,1,"V-328 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,17B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     497-3,7052-497-3-A                  ,1792-300-3058                                ,1,1,"V-328 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,17B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     497-4,7052-497-4-A                  ,1792-300-3058                                ,1,1,"V-328 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,17B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     497-5,7052-497-5-A                  ,1792-300-3058                                ,1,1,"V-328 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,17B       ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
     498-1,7052-498-1-A                  ,1792-300-3058                                ,1,1,"V-329 16"" NOZZLE ""A""                         ",NONE                     ,-                   ,,18B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.67,0
     498-2,7052-498-2-A                  ,1792-300-3058                                ,1,1,"V-329 6"" NOZZLE ""R""                          ",NONE                     ,-                   ,,18B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.17,0
     498-3,7052-498-3-A                  ,1792-300-3058                                ,1,1,"V-329 8"" NOZZLE ""N""                          ",NONE                     ,-                   ,,18B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,1.52,0
     498-4,7052-498-4-A                  ,1792-300-3058                                ,1,1,"V-329 10"" NOZZLE ""S""                         ",NONE                     ,-                   ,,18B       ,,,,,,,,,,,,,,,,N         ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,N/A   ,B31.3          ,,2,1
     498-5,7052-498-5-A                  ,1792-300-3058                                ,1,1,"V-329 10"" NOZZLE ""S1""                        ",NONE                     ,-                   ,,18B       ,,,,,,,,,,,,,,,,FB8       ,-         ,,,N/A   ,,BR        ,7052,1,N/A   ,YES   ,B31.3          ,,2.32,0
