Piping Line List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,629,:Total Isos,,,,,,,,,,,,,,,,,,,,
Client Name:,AIR PRODUCTS,,,,,,,629,:Total Spools,,,,,,,,,,,,,,,,,,,,
Job No:,7116,,,,,,,0,:Hold,,,,,,,,,,,,,,,,,,,,
Fab. Location:,TX,,,,,,,0,:Issued,,,,,,,,,,,,,,,,,,,,
,,,0,PU,,,,629,:Isos not Issued for fab.,,,,,,,,,,,,,,,,,,,,
,,,0,UP,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,RTI,,,,,,,,,,,,,,,,,Transmittal Summary,,,,,,,,
,,186,430,,,,,,,,,,,,,,,,,5-Oct-20,New,,,Revisions,,,,,
ISO,SPOOL,In Detailing,In Checking,SHOP,Status,Priority,Phase,Material,Pipe Spec.,Paint System,Pipeline Reference,Sheet #,Size,Spool ID,Line No.,PMI,HOLD,PCI / Client,RFI No. / Email ,Remarks,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.,Trans. No.,Date Rcv'd,Rev. No.
1,1-A,,X,,,,U010,,3CBC01,C093U3,DOC0001027228-1010,1,"4""",U010-H -1010-1-A,"4""-H -1010-3CBC01",,,,,,231,,1,,,,,,
2,2-A,,X,,,,U010,,3CBC01,C093U3,DOC0001027228-1010,2,"4""",U010-H -1010-2-A,"4""-H -1010-3CBC01",,,,,,231,,1,,,,,,
3,3-A,,X,,,,U010,,3CBC01,C093U3,DOC0001027228-1010,4,"4""",U010-H -1010-3-A,"4""-H -1010-3CBC01",,,,,,231,,1,,,,,,
4,4-A,,X,,,,U010,,3CBB01,C093U3,DOC0001027228-1012,1,"4""",U010-H -1012-4-A,"4""-H -1012-3CBB01",,,,,,231,,1,,,,,,
4,4-B,,X,,,,U010,,3CBB01,C093U3,DOC0001027228-1012,1,"4""",U010-H -1012-4-B,"4""-H -1012-3CBB01",,,,,,231,,1,,,,,,
5,5,,X,,,,U010,,3CBB01,C093U3,DOC0001027228-1012,2,"4""",U010-H -1012-5-A,"4""-H -1012-3CBB01",,,,,,231,,1,,,,,,
5,5,,X,,,,U010,,3CBB01,C093U3,DOC0001027228-1012,2,"4""",U010-H -1012-5-B,"4""-H -1012-3CBB01",,,,,,231,,1,,,,,,
6,6-A,,X,,,,U010,,3CBB01,C093U3,DOC0001027228-1012,3,"4""",U010-H -1012-6-A,"4""-H -1012-3CBB01",,,,,,231,,1,,,,,,
