BOM PATH, POS, TAG NUMBER, SIZE, DESCRIPTION, LIST QUANTITY, UNIT, TRANSMITTL, GROUP-PERF, SKETCH, PRIORITY, SPEC, CWP,SCHEDULE,CLASS
181,,BE4LABMBEACKABEZ_XS~2,2,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-80 2""",1,EA,,FITTINGS,U010-S-7128-4-181-A,,,,80,
222-A,,BE4LABMBEACKABEZ_STD~2,2,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 2""",1,EA,,FITTINGS,U010-N-8249-2-222-A,,,,STD,
221-B,,BE4LABMBEACKABEZ_STD~2,2,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 2""",1,EA,,FITTINGS,U010-N-8249-1-221-B,,,,STD,
38-A,,BE4LABMBEACKABEZ_XS~8,8,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-80 8""",1,EA,,FITTINGS,7116-38-A,,,,80,
47-A,,BE4LABMBEACKABFZ_STD~12,12,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type W SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-47-A,,,,STD,
48-A,,BE4LABMBEACKABFZ_STD~12,12,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type W SCH/THK S-STD 12""",1,EA,,FITTINGS,7116-48-A,,,,STD,
14-A,,BE4LABMBEACKABFZ_STD~4,4,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type W SCH/THK S-STD 4""",1,EA,,FITTINGS,7116-14-A,,,,STD,
16-B,,BE4LABMBEACKABFZ_STD~4,4,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type W SCH/THK S-STD 4""",1,EA,,FITTINGS,7116-16-B,,,,STD,
152-A,,BE4LABMBEACKABFZ_STD~8,8,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type W SCH/THK S-STD 8""",1,EA,,FITTINGS,7116-152-A,,,,STD,
153-A,,BE4LABMBEACKABFZ_STD~8,8,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type W SCH/THK S-STD 8""",1,EA,,FITTINGS,7116-153-A,,,,STD,
153-A,,BE4LABMBEACKABFZ_STD~8,8,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type W SCH/THK S-STD 8""",1,EA,,FITTINGS,7116-153-A,,,,STD,
225-B,,BE4LABMBEAYXABEZ_10S~2,2,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601C-1-225-B,,,,10S,
225-B,,BE4LABMBEAYXABEZ_10S~2,2,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601C-1-225-B,,,,10S,
226-A,,BE4LABMBEAYXABEZ_10S~2,2,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601D-1-226-A,,,,10S,
226-A,,BE4LABMBEAYXABEZ_10S~2,2,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601D-1-226-A,,,,10S,
134-C,,BE4LABMBEAYXABEZ_10S~3,3,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-134-C,,,,10S,
134-C,,BE4LABMBEAYXABEZ_10S~3,3,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-134-C,,,,10S,
134-C,,BE4LABMBEAYXABEZ_10S~3,3,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-134-C,,,,10S,
9-A,,BE4LABMBEAYXABEZ_10S~4,4,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-9-A,,,,10S,
114-B,,BE4LABMBEAYXABEZ_10S~6,6,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 6""",1,EA,,FITTINGS,7116-114-B,,,,10S,
114-B,,BE4LABMBEAYXABEZ_10S~6,6,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 6""",1,EA,,FITTINGS,7116-114-B,,,,10S,
67-A,,BE4LABMBEAYXABFZ_10S~10,10,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type W SCH/THK S-10S 10""",1,EA,,FITTINGS,7116-67-A,,,,10S,
67-A,,BE4LABMBEAYXABFZ_10S~10,10,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type W SCH/THK S-10S 10""",1,EA,,FITTINGS,7116-67-A,,,,10S,
68-A,,BE4LABMBEAYXABKZ_10S~10,10,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type WX SCH/THK S-10S 10""",1,EA,,FITTINGS,7116-68-A,,,,10S,
148-D,,BE4LABMBEAYXABKZ_80S~8,8,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type WX SCH/THK S-80S 8""",1,EA,,FITTINGS,7116-148-D,,,,80S,
204-A,,BE4LABMBEAYXABKZ_10S~8,8,"45 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type WX SCH/THK S-10S 8""",1,EA,,FITTINGS,U010-VG-8219-2-204-A,,,,10S,
55-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-55-A,,,,STD,
55-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-55-A,,,,STD,
55-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-55-A,,,,STD,
55-B,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-55-B,,,,STD,
55-B,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-55-B,,,,STD,
55-C,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-55-C,,,,STD,
56-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-56-A,,,,STD,
56-B,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-56-B,,,,STD,
56-B,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-56-B,,,,STD,
56-C,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-56-C,,,,STD,
56-C,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-56-C,,,,STD,
57-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-57-A,,,,STD,
57-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-57-A,,,,STD,
57-B,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-57-B,,,,STD,
58-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-58-A,,,,STD,
58-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-58-A,,,,STD,
58-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-58-A,,,,STD,
68-B,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-68-B,,,,STD,
68-B,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-68-B,,,,STD,
69-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-69-A,,,,STD,
69-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-69-A,,,,STD,
111-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-111-A,,,,STD,
112-A,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-112-A,,,,STD,
117-B,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-117-B,,,,STD,
120-C,,BE9LABMBEACKABEZ_STD~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A234 Grade WPB  Type S SCH/THK S-STD 10""",1,EA,,FITTINGS,7116-120-C,,,,STD,
