BOM PATH, POS, TAG NUMBER, SIZE, DESCRIPTION, LIST QUANTITY, UNIT, TRANSMITTL, GROUP-PERF, SKETCH, PRIORITY, SPEC, CWP,SCHEDULE,CLASS
74-B,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-74-B,,,,10S,
74-B,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-74-B,,,,10S,
75-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-75-A,,,,10S,
75-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-75-A,,,,10S,
75-B,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-75-B,,,,10S,
75-B,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-75-B,,,,10S,
76-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-76-A,,,,10S,
76-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-76-A,,,,10S,
76-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-76-A,,,,10S,
76-B,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-76-B,,,,10S,
76-B,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-76-B,,,,10S,
102-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-102-A,,,,10S,
102-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-102-A,,,,10S,
102-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-102-A,,,,10S,
107-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-107-A,,,,10S,
107-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-107-A,,,,10S,
107-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-107-A,,,,10S,
130-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-130-A,,,,10S,
132-B,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-132-B,,,,10S,
140-B,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-140-B,,,,10S,
140-B,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-140-B,,,,10S,
140-B,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-140-B,,,,10S,
140-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,7116-140-A,,,,10S,
163-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-3930-1-163-A,,,,10S,
163-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-3930-1-163-A,,,,10S,
223-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601A-1-223-A,,,,10S,
223-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601A-1-223-A,,,,10S,
223-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601A-1-223-A,,,,10S,
223-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601A-1-223-A,,,,10S,
224-B,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601B-1-224-B,,,,10S,
224-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601B-1-224-A,,,,10S,
224-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601B-1-224-A,,,,10S,
225-B,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601C-1-225-B,,,,10S,
225-B,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601C-1-225-B,,,,10S,
225-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601C-1-225-A,,,,10S,
226-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601D-1-226-A,,,,10S,
226-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601D-1-226-A,,,,10S,
226-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601D-1-226-A,,,,10S,
226-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601D-1-226-A,,,,10S,
226-A,,BE9LABMBEAYXABEZ_10S~2,2,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 2""",1,EA,,FITTINGS,U010-VG-8601D-1-226-A,,,,10S,
72-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-72-A,,,,10S,
72-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-72-A,,,,10S,
73-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-73-A,,,,10S,
73-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-73-A,,,,10S,
73-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-73-A,,,,10S,
77-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-77-A,,,,10S,
77-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-77-A,,,,10S,
77-B,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-77-B,,,,10S,
77-B,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-77-B,,,,10S,
77-B,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-77-B,,,,10S,
130-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-130-A,,,,10S,
131-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-131-A,,,,10S,
131-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-131-A,,,,10S,
131,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-131-C,,,,10S,
131,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-131-C,,,,10S,
132-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-132-A,,,,10S,
132-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-132-A,,,,10S,
132-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-132-A,,,,10S,
132-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-132-A,,,,10S,
133-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-133-A,,,,10S,
133-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-133-A,,,,10S,
133-B,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-133-B,,,,10S,
133-B,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-133-B,,,,10S,
134-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-134-A,,,,10S,
134-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-134-A,,,,10S,
134-B,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-134-B,,,,10S,
134-B,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-134-B,,,,10S,
157-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-157-A,,,,10S,
157-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,7116-157-A,,,,10S,
161-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,U010-VG-3907-2-161-A,,,,10S,
161-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,U010-VG-3907-2-161-A,,,,10S,
161-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,U010-VG-3907-2-161-A,,,,10S,
161-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,U010-VG-3907-2-161-A,,,,10S,
160-B,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,U010-VG-3907-1-160-B,,,,10S,
160-A,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,U010-VG-3907-1-160-A,,,,10S,
160-B,,BE9LABMBEAYXABEZ_10S~3,3,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3""",1,EA,,FITTINGS,U010-VG-3907-1-160-B,,,,10S,
229-A,,BE9LABMBEAYXABEZ_10S~3 1/8,3 1/8,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3 1/8""",1,EA,,FITTINGS,U010-VG-8602-3-229-A,,,,10S,
229-A,,BE9LABMBEAYXABEZ_10S~3 1/8,3 1/8,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3 1/8""",1,EA,,FITTINGS,U010-VG-8602-3-229-A,,,,10S,
228-A,,BE9LABMBEAYXABEZ_10S~3 1/8,3 1/8,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3 1/8""",1,EA,,FITTINGS,U010-VG-8602-2-228-A,,,,10S,
228-A,,BE9LABMBEAYXABEZ_10S~3 1/8,3 1/8,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3 1/8""",1,EA,,FITTINGS,U010-VG-8602-2-228-A,,,,10S,
227-A,,BE9LABMBEAYXABEZ_10S~3 1/8,3 1/8,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3 1/8""",1,EA,,FITTINGS,U010-VG-8602-1-227-A,,,,10S,
227-A,,BE9LABMBEAYXABEZ_10S~3 1/8,3 1/8,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3 1/8""",1,EA,,FITTINGS,U010-VG-8602-1-227-A,,,,10S,
227-A,,BE9LABMBEAYXABEZ_10S~3 1/8,3 1/8,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 3 1/8""",1,EA,,FITTINGS,U010-VG-8602-1-227-A,,,,10S,
9-A,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-9-A,,,,10S,
9-A,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-9-A,,,,10S,
9-B,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-9-B,,,,10S,
9-B,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-9-B,,,,10S,
9-B,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-9-B,,,,10S,
9-B,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-9-B,,,,10S,
23-B,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-23-B,,,,10S,
70-A,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-70-A,,,,10S,
70-A,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-70-A,,,,10S,
70-A,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-70-A,,,,10S,
70-A,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-70-A,,,,10S,
71-A,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-71-A,,,,10S,
71-A,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-71-A,,,,10S,
114-B,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-114-B,,,,10S,
114-B,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-114-B,,,,10S,
114-B,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-114-B,,,,10S,
138-A,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-138-A,,,,10S,
139-A,,BE9LABMBEAYXABEZ_10S~4,4,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 4""",1,EA,,FITTINGS,7116-139-A,,,,10S,
114-A,,BE9LABMBEAYXABEZ_10S~6,6,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 6""",1,EA,,FITTINGS,7116-114-A,,,,10S,
114-B,,BE9LABMBEAYXABEZ_10S~6,6,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type S SCH/THK S-10S 6""",1,EA,,FITTINGS,7116-114-B,,,,10S,
67-A,,BE9LABMBEAYXABFZ_10S~10,10,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type W SCH/THK S-10S 10""",1,EA,,FITTINGS,7116-67-A,,,,10S,
105-A,,BE9LABMBEAYXABFZ_40S~8,8,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type W SCH/THK S-40S 8""",1,EA,,FITTINGS,7116-105-A,,,,40S,
105-A,,BE9LABMBEAYXABFZ_40S~8,8,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type W SCH/THK S-40S 8""",1,EA,,FITTINGS,7116-105-A,,,,40S,
105-B,,BE9LABMBEAYXABFZ_40S~8,8,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type W SCH/THK S-40S 8""",1,EA,,FITTINGS,7116-105-B,,,,40S,
105-B,,BE9LABMBEAYXABFZ_40S~8,8,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type W SCH/THK S-40S 8""",1,EA,,FITTINGS,7116-105-B,,,,40S,
106-B,,BE9LABMBEAYXABFZ_40S~8,8,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type W SCH/THK S-40S 8""",1,EA,,FITTINGS,7116-106-B,,,,40S,
106-B,,BE9LABMBEAYXABFZ_40S~8,8,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type W SCH/THK S-40S 8""",1,EA,,FITTINGS,7116-106-B,,,,40S,
17-B,,BE9LABMBEAYXABKZ_10S~8,8,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type WX SCH/THK S-10S 8""",1,EA,,FITTINGS,7116-17-B,,,,10S,
148-A,,BE9LABMBEAYXABKZ_80S~8,8,"90 Degree Long Radius Elbow  ASME B16.9  Beveled End  ASTM A403 Grade WP304/WP304L  Type WX SCH/THK S-80S 8""",1,EA,,FITTINGS,7116-148-A,,,,80S,
