BOM PATH, POS, TAG NUMBER, SIZE, DESCRIPTION, LIST QUANTITY, UNIT, TRANSMITTL, GROUP-PERF, SKETCH,, PRIORITY, SPEC, CWP,SCHEDULE,CLASS,l
PIPING/FIELD/J07/2132F,6,PTLAABABZZWLBZ~1,1,"- ELL 90-DEG; ASME B16.3; FNPT; CL 300; MI ASTM A197 GALV - L30F3AB 1""",1,ea,1,FITTINGS,2132F,,-,CA4,1,None,,
PIPING/FIELD/J07/2132F,7,PTLAABABZZWLBZ~1,1,"- ELL 90-DEG; ASME B16.3; FNPT; CL 300; MI ASTM A197 GALV - L30F3AB 1""",1,ea,1,FITTINGS,2132F,,-,CA4,1,None,,
PIPING/FIELD/J07/2132F,8,PTHKAWABZZWLBZ~1,1,"- UNION IRON/BRASS SEAT; ASME B16.39; FNPT; CL 300; MI ASTM A197 GALV - L33F3A 1""",1,ea,1,FITTINGS,2132F,,-,CA4,1,None,,
PIPING/FIELD/J07/2132F,9,VG8EMEABVAZ001~1,1,"- GZQFAE GATE VALVE; MSS CL 150; FNPT; BRONZE; HNDWHL OPR  - OE Status  0 CUST TAG: CA4:L20B5OA6 - L20B5OA6 1""",1,ea,1,VALVES / IN-LINE ITEMS,2132F,,-,CA4,1,None,,
PIPING/FIELD/J07/2133F,1,PTPVAGRTZZAACZ~1,1,"- PLG BARSTOCK; ASME B16.11; ROUND HD; MNPT; CS ASTM A105N - L370BBW 1""",1,ea,1,FITTINGS,2133F,,-,AJ2,1,None,,
PIPING/FIELD/J07/2133F,2,PFXCADADZZAACZ~1 1/2X1,1 1/2X1,"- FLG THD RED; RF; ASME B16.5; CL 600; CS ASTM A105N 1 1/2X1""",1,ea,1,FLANGES,2133F,,-,AJ2,1,None,,
PIPING/FIELD/J07/2134F,1,1792-LG-15041~2,2,"- LEVEL GAUGE BY INSTRUMENTS    - OE Status in model  1 - OE Status in catalog  1 2""",1,ea,1,VALVES / IN-LINE ITEMS,2134F,,-,AJ2,1,None,,
PIPING/FIELD/J07/2134FA,1,VGCDHADAIAZ010~2,2,"- GDAABL GATE VALVE; ASME CL 600; FLGD RF; CS; HNDWHL OPR; FULL PORT  - OE Status  0 CUST TAG: AJ2:L20JA3ED - L20JA3ED 2""",1,ea,1,VALVES / IN-LINE ITEMS,2134FA,,-,AJ2,1,None,,
PIPING/FIELD/J07/2134FB,1,VGCDHADAIAZ010~2,2,"- GDAABL GATE VALVE; ASME CL 600; FLGD RF; CS; HNDWHL OPR; FULL PORT  - OE Status  0 CUST TAG: AJ2:L20JA3ED - L20JA3ED 2""",1,ea,1,VALVES / IN-LINE ITEMS,2134FB,,-,AJ2,1,None,,
PIPING/FIELD/J07/2135F,1,1792-LE-15040~2,2,"- LEVEL TRANSMITTER BY INSTRUMENTS    - OE Status in model  3 - OE Status in catalog  39 2""",1,ea,1,VALVES / IN-LINE ITEMS,2135F,,-,AJ2,1,None,,
