spool,piecemark,material,issued,priority_group,priority,area,iso,detailing,checking,shop,on_hold,multiplier,items,missing,missingsupports,missingvalves,missingpipe,missingfittings,missingflanges,workable,pulled,weldout,rts,rtsc,stc,delivered,lifespan,i_p,p_w,w_d_np,w_stc,w_d_p
1-A,MK-02015X-1304-D01A,SS,10/10/2016,,Wash Tower,15X,1,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/14/2016,,,,3/20/2017,161,24,11,126,,
1-B,MK-02015X-1304-D01B,SS,10/10/2016,,Wash Tower,15X,1,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/14/2016,,,,3/20/2017,161,24,11,126,,
2-A,MK-02015X-1304-D02A,SS,10/10/2016,,Wash Tower,15X,2,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/11/2016,11/14/2016,,,,3/20/2017,161,32,3,126,,
3-A,MK-02015X-1304-D03A,SS,10/10/2016,,Wash Tower,15X,3,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/16/2016,,,11/30/2016,12/16/2016,67,24,13,,14,30
3-B,MK-02015X-1304-D03B,SS,10/10/2016,,Wash Tower,15X,3,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/17/2016,,,11/30/2016,12/16/2016,67,24,14,,13,29
4-A,MK-02015X-1304-D04A,SS,10/3/2016,,Wash Tower,15X,4,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/11/2016,11/15/2016,,,,3/20/2017,168,39,4,125,,
5-A,MK-02015X-1304-D05A,SS,10/10/2016,,Wash Tower,15X,5,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/11/2016,11/13/2016,,,,3/20/2017,161,32,2,127,,
6-A,MK-02015X-1304-D06A,SS,10/10/2016,,Wash Tower,15X,6,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/16/2016,11/22/2016,,,11/30/2016,12/16/2016,67,37,6,,8,24
7-A,MK-02015X-1304-D07A,SS,10/6/2016,,Wash Tower,15X,7,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/8/2016,,,11/17/2016,12/16/2016,71,28,5,,9,38
7-B,MK-02015X-1304-D07B,SS,10/6/2016,,Wash Tower,15X,7,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/8/2016,,,11/17/2016,12/16/2016,71,28,5,,9,38
8-A,MK-02015X-1304-D08A,SS,10/10/2016,,Wash Tower,15X,8,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/17/2016,,,11/30/2016,12/16/2016,67,24,14,,13,29
8-B,MK-02015X-1304-D08B,SS,10/10/2016,,Wash Tower,15X,8,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/16/2016,,,11/30/2016,12/16/2016,67,24,13,,14,30
8-C,MK-02015X-1304-D08C,SS,10/10/2016,,Wash Tower,15X,8,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/16/2016,,,11/30/2016,12/16/2016,67,24,13,,14,30
8-D,MK-02015X-1304-D08D,SS,10/10/2016,,Wash Tower,15X,8,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/16/2016,,,11/30/2016,12/16/2016,67,24,13,,14,30
9-A,MK-02015X-1304-D09A,SS,10/10/2016,,Wash Tower,15X,9,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/8/2016,,,11/17/2016,12/16/2016,67,24,5,,9,38
10-A,MK-02015X-1304-D10A,SS,10/12/2016,,Wash Tower,15X,10,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/21/2016,11/29/2016,,,11/30/2016,12/16/2016,65,40,8,,1,17
11-A,MK-02015X-1304-D11A,SS,10/4/2016,,Wash Tower,15X,11,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/18/2016,,,11/30/2016,12/16/2016,73,30,15,,12,28
12-A,MK-02015X-1304-D12A,SS,10/6/2016,,Wash Tower,15X,12,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/16/2016,12/6/2016,,,,12/21/2016,76,41,20,15,,
13-A,MK-02015X-1304-D13A,SS,10/10/2016,,Wash Tower,15X,13,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/16/2016,11/26/2016,,,,12/21/2016,72,37,10,25,,
14-A,MK-02015X-1304-D14A,SS,10/10/2016,,Wash Tower,15X,14,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/17/2016,,,11/30/2016,12/16/2016,67,24,14,,13,29
14-B,MK-02015X-1304-D14B,SS,10/10/2016,,Wash Tower,15X,14,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/16/2016,,,11/30/2016,12/16/2016,67,24,13,,14,30
14-C,MK-02015X-1304-D14C,SS,10/10/2016,,Wash Tower,15X,14,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/16/2016,,,11/30/2016,12/16/2016,67,24,13,,14,30
15-A,MK-02015X-1304-D15A,SS,10/10/2016,,Wash Tower,15X,15,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/17/2016,,,11/30/2016,12/16/2016,67,24,14,,13,29
15-B,MK-02015X-1304-D15B,SS,10/10/2016,,Wash Tower,15X,15,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/17/2016,,,11/30/2016,12/16/2016,67,24,14,,13,29
15-C,MK-02015X-1304-D15C,SS,10/10/2016,,Wash Tower,15X,15,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/14/2016,,,11/17/2016,12/16/2016,67,24,11,,3,32
15-D,MK-02015X-1304-D15D,SS,10/10/2016,,Wash Tower,15X,15,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/14/2016,,,11/17/2016,12/16/2016,67,24,11,,3,32
16-A,MK-02015X-1304-D16A,SS,10/10/2016,,Wash Tower,15X,16,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/10/2016,,,11/17/2016,12/16/2016,67,24,7,,7,36
17-A,MK-02015X-1304-D17A,SS,10/6/2016,,Wash Tower,15X,17,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/16/2016,12/3/2016,,,,12/21/2016,76,41,17,18,,
17-B,MK-02015X-1304-D17B,SS,10/6/2016,,Wash Tower,15X,17,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/16/2016,,,11/30/2016,12/16/2016,71,28,13,,14,30
18-A,MK-02015X-1304-D18A,SS,10/6/2016,,Wash Tower,15X,18,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/16/2016,11/19/2016,,,11/30/2016,12/16/2016,71,41,3,,11,27
19-A,MK-02015X-1304-D19A,SS,10/10/2016,,Wash Tower,15X,19,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/16/2016,11/19/2016,,,11/30/2016,12/16/2016,67,37,3,,11,27
20-A,MK-02015X-1304-D20A,SS,10/10/2016,,Wash Tower,15X,20,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/18/2016,,,11/30/2016,12/16/2016,67,24,15,,12,28
21-A,MK-02015X-1304-D21A,SS,10/10/2016,,Wash Tower,15X,21,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/16/2016,11/26/2016,,,11/30/2016,12/16/2016,67,37,10,,4,20
22-A,MK-02015X-1304-D22A,SS,10/6/2016,,Wash Tower,15X,22,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/8/2016,,,11/17/2016,12/16/2016,71,28,5,,9,38
23-A,MK-02015X-1304-D23A,SS,10/6/2016,,Wash Tower,15X,23,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/17/2016,,,11/30/2016,12/16/2016,71,28,14,,13,29
24-A,MK-02015X-1304-D24A,SS,10/6/2016,,Wash Tower,15X,24,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/30/2016,12/1/2016,,,,12/21/2016,76,55,1,20,,
25-A,MK-02015X-1304-D25A,SS,10/6/2016,,Wash Tower,15X,25,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/26/2016,,,11/30/2016,12/16/2016,71,28,23,,4,20
25-B,MK-02015X-1304-D25B,SS,10/6/2016,,Wash Tower,15X,25,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/23/2016,,,11/30/2016,12/16/2016,71,28,20,,7,23
26-A,MK-02015X-1304-D26A,SS,10/6/2016,,Wash Tower,15X,26,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/16/2016,11/20/2016,,,11/30/2016,12/16/2016,71,41,4,,10,26
27-A,MK-02015X-1304-D27A,SS,10/10/2016,,Wash Tower,15X,27,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/16/2016,,,11/30/2016,12/16/2016,67,24,13,,14,30
27-B,MK-02015X-1304-D27B,SS,10/10/2016,,Wash Tower,15X,27,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/17/2016,,,11/30/2016,12/16/2016,67,24,14,,13,29
27-C,MK-02015X-1304-D27C,SS,10/10/2016,,Wash Tower,15X,27,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/29/2016,11/30/2016,,,,12/21/2016,72,50,1,21,,
28-A,MK-02015X-1304-D28A,SS,10/10/2016,,Wash Tower,15X,28,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/29/2016,12/1/2016,,,,12/21/2016,72,50,2,20,,
29-A,MK-02015X-1304-D29A,SS,10/10/2016,,Wash Tower,15X,29,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/10/2016,,,11/30/2016,12/16/2016,67,24,7,,20,36
29-B,MK-02015X-1304-D29B,SS,10/6/2016,,Wash Tower,15X,29,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/10/2016,,,11/17/2016,12/16/2016,71,28,7,,7,36
30-A,MK-02015X-4352-D03A,CS,10/10/2016,,Wash Tower,15X,30,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/7/2016,11/8/2016,,,11/12/2016,11/23/2016,44,28,1,,4,15
30-B,MK-02015X-4352-D03B,CS,10/10/2016,,Wash Tower,15X,30,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/7/2016,11/8/2016,,,11/12/2016,11/23/2016,44,28,1,,4,15
31-A,MK-02015X-4352-D04A,CS,10/10/2016,,Wash Tower,15X,31,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/7/2016,11/8/2016,,,11/12/2016,11/23/2016,44,28,1,,4,15
31-B,MK-02015X-4352-D04B,CS,10/10/2016,,Wash Tower,15X,31,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/10/2016,11/12/2016,,,11/12/2016,11/23/2016,44,31,2,,0,11
32-A,MK-02015X-4352-D14A,CS,10/10/2016,,Wash Tower,15X,32,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/7/2016,11/8/2016,,,11/12/2016,11/23/2016,44,28,1,,4,15
32-B,MK-02015X-4352-D14B,CS,10/10/2016,,Wash Tower,15X,32,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/7/2016,11/8/2016,,,11/12/2016,11/23/2016,44,28,1,,4,15
32-C,MK-02015X-4352-D14C,CS,10/10/2016,,Wash Tower,15X,32,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/7/2016,11/8/2016,,,11/12/2016,11/23/2016,44,28,1,,4,15
33-A,MK-02015X-4352-D15A,CS,10/10/2016,,Wash Tower,15X,33,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/7/2016,11/9/2016,,,11/12/2016,11/23/2016,44,28,2,,3,14
33-B,MK-02015X-4352-D15B,CS,10/10/2016,,Wash Tower,15X,33,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/7/2016,11/8/2016,,,11/12/2016,11/23/2016,44,28,1,,4,15
34-A,MK-02015X-1062-D05A,SS,10/10/2016,,Wash Tower,15X,34,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/11/2016,11/18/2016,,,,3/17/2017,158,32,7,119,,
35-A,MK-02015X-1063-D03A,SS,10/10/2016,,Wash Tower,15X,35,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/11/2016,11/14/2016,,,,3/20/2017,161,32,3,126,,
36-A,MK-02015X-1064-D03A,SS,10/10/2016,,Wash Tower,15X,36,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/11/2016,11/14/2016,,,,3/20/2017,161,32,3,126,,
37-A,MK-02015X-1062-D01A,SS,10/5/2016,,Wash Tower,15X,37,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,10/19/2016,11/10/2016,,,,11/10/2016,36,14,22,0,,
37-B,MK-02015X-1062-D01B,SS,10/5/2016,,Wash Tower,15X,37,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,10/19/2016,11/16/2016,,,,11/17/2016,43,14,28,1,,
38-A,MK-02015X-1062-D02A,SS,10/12/2016,,Wash Tower,15X,38,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,10/20/2016,11/23/2016,,,,11/27/2016,46,8,34,4,,
39-A,MK-02015X-1062-D03A,SS,10/12/2016,,Wash Tower,15X,39,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,10/24/2016,11/23/2016,,,,11/28/2016,47,12,30,5,,
40-A,MK-02015X-1062-D04A,SS,10/10/2016,,Wash Tower,15X,40,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,10/17/2016,10/20/2016,,,,11/10/2016,31,7,3,21,,
40-B,MK-02015X-1062-D04B,SS,10/10/2016,,Wash Tower,15X,40,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,10/31/2016,11/18/2016,,,,12/8/2016,59,21,18,20,,
40-C,MK-02015X-1062-D04C,SS,10/26/2016,,Wash Tower,15X,40,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/1/2016,11/29/2016,,,,11/30/2016,35,6,28,1,,
41-A,MK-02015X-1066-D01A,SS,10/17/2016,,Wash Tower,15X,41,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/18/2016,11/25/2016,,,11/30/2016,12/16/2016,60,32,7,,5,21
41-B,MK-02015X-1066-D01B,SS,10/17/2016,,Wash Tower,15X,41,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/30/2016,12/4/2016,,,,12/21/2016,65,44,4,17,,
42-A,MK-02015X-1066-D02A,SS,10/10/2016,,Wash Tower,15X,42,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/11/2016,,,11/17/2016,12/16/2016,67,24,8,,6,35
43-A,MK-02015X-1066-D03A,SS,10/10/2016,,Wash Tower,15X,43,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/9/2016,,,,3/17/2017,158,24,6,128,,
43-AR,MK-02015X-1066-D03AR,SS,10/10/2016,,Wash Tower,15X,43,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,12/16/2016,12/16/2016,,,,3/17/2017,158,67,0,91,,
43-B,MK-02015X-1066-D03B,SS,10/10/2016,,Wash Tower,15X,43,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/17/2016,,,,3/17/2017,158,24,14,120,,
43-BR,MK-02015X-1066-D03BR,SS,10/10/2016,,Wash Tower,15X,43,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,12/16/2016,12/16/2016,,,,3/17/2017,158,67,0,91,,
44-A,MK-02015X-1066-D04A,SS,10/10/2016,,Wash Tower,15X,44,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,4/27/2017,6/2/2017,,,,7/17/2017,280,199,36,45,,
44-B,MK-02015X-1066-D04B,SS,5/30/2017,,Wash Tower,15X,44,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,6/15/2017,6/15/2017,,,,7/17/2017,48,16,0,32,,
45-A,MK-02015X-1104-D01A,SS,10/18/2016,,Wash Tower,15X,45,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/12/2016,11/22/2016,,,,11/28/2016,41,25,10,6,,
45-B,MK-02015X-1104-D01B,SS,10/18/2016,,Wash Tower,15X,45,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/12/2016,11/25/2016,,,,11/27/2016,40,25,13,2,,
46-A,MK-02015X-1104-D02A,SS,10/10/2016,,Wash Tower,15X,46,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/11/2016,11/14/2016,,,,3/20/2017,161,32,3,126,,
46-B,MK-02015X-1104-D02B,SS,10/10/2016,,Wash Tower,15X,46,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/15/2017,3/22/2017,,,,3/22/2017,163,156,7,0,,
47-A,MK-02015X-1120-D01A,SS,10/11/2016,,Wash Tower,15X,47,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/18/2016,11/29/2016,,,,12/9/2016,59,38,11,10,,
47-B,MK-02015X-1120-D01B,SS,10/11/2016,,Wash Tower,15X,47,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/27/2016,,,,12/9/2016,59,23,24,12,,
47-C,MK-02015X-1120-D01C,SS,10/12/2016,,Wash Tower,15X,47,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/27/2016,,,,12/9/2016,58,22,24,12,,
47-D,MK-02015X-1120-D01D,SS,10/12/2016,,Wash Tower,15X,47,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/28/2016,,,,12/9/2016,58,22,25,11,,
48-A,MK-02015X-1120-D03A,SS,10/11/2016,,Wash Tower,15X,48,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,12/23/2016,1/7/2017,,,,3/17/2017,157,73,15,69,,
48-B,MK-02015X-1120-D03B,SS,10/11/2016,,Wash Tower,15X,48,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2017,3/11/2017,,,,3/22/2017,162,140,11,11,,
49-A,MK-02015X-1207-D01A,SS,10/11/2016,,Wash Tower,15X,49,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/14/2016,11/15/2016,,,11/30/2016,12/16/2016,66,34,1,,15,31
50-A,MK-02015X-1208-004A,SS,10/11/2016,,Wash Tower,15X,50,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/9/2016,,,11/17/2016,12/16/2016,66,23,6,,8,37
51-A,MK-02015X-1208-D01A,SS,10/11/2016,,Wash Tower,15X,51,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/9/2016,,,11/17/2016,12/16/2016,66,23,6,,8,37
52-A,MK-02015X-1208-D02A,SS,10/11/2016,,Wash Tower,15X,52,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/15/2016,,,11/30/2016,12/16/2016,66,23,12,,15,31
52-B,MK-02015X-1208-D02B,SS,10/11/2016,,Wash Tower,15X,52,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/11/2016,,,11/17/2016,12/16/2016,66,23,8,,6,35
53-A,MK-02015X-1208-D03A,SS,10/12/2016,,Wash Tower,15X,53,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/16/2016,,,11/30/2016,12/16/2016,65,22,13,,14,30
53-B,MK-02015X-1208-D03B,SS,10/12/2016,,Wash Tower,15X,53,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/14/2016,11/15/2016,,,11/30/2016,12/16/2016,65,33,1,,15,31
54-A,MK-02015X-1278-D01A,SS,10/12/2016,,Wash Tower,15X,54,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/26/2016,,,12/7/2016,12/16/2016,65,22,23,,11,20
54-B,MK-02015X-1278-D01B,SS,10/12/2016,,Wash Tower,15X,54,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/10/2016,11/23/2016,,,12/7/2016,12/16/2016,65,29,13,,14,23
54-C,MK-02015X-1278-D01C,SS,10/12/2016,,Wash Tower,15X,54,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/18/2016,12/4/2016,,,,12/21/2016,70,37,16,17,,
55-A,MK-02015X-1279-D01A,SS,10/12/2016,,Wash Tower,15X,55,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/18/2016,11/30/2016,,,,12/21/2016,70,37,12,21,,
55-B,MK-02015X-1279-D01B,SS,10/12/2016,,Wash Tower,15X,55,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/10/2016,11/22/2016,,,12/7/2016,12/16/2016,65,29,12,,15,24
55-C,MK-02015X-1279-D01C,SS,10/12/2016,,Wash Tower,15X,55,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/27/2016,,,12/7/2016,12/16/2016,65,22,24,,10,19
56-A,MK-02015X-2080-D01A,SS,10/12/2016,,Wash Tower,15X,56,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/8/2016,,,11/17/2016,12/16/2016,65,22,5,,9,38
57-A,MK-02015X-2080-D02A,SS,10/12/2016,,Wash Tower,15X,57,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/14/2016,,,11/17/2016,12/16/2016,65,22,11,,3,32
57-B,MK-02015X-2080-D02B,SS,10/12/2016,,Wash Tower,15X,57,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/15/2016,,,11/30/2016,12/16/2016,65,22,12,,15,31
57-C,MK-02015X-2080-D02C,SS,10/12/2016,,Wash Tower,15X,57,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/15/2016,,,11/17/2016,12/16/2016,65,22,12,,2,31
57-D,MK-02015X-2080-D02D,SS,10/12/2016,,Wash Tower,15X,57,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/14/2016,,,11/17/2016,12/16/2016,65,22,11,,3,32
58-A,MK-02015X-2080-D03A,SS,10/12/2016,,Wash Tower,15X,58,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/10/2016,,,11/17/2016,12/16/2016,65,22,7,,7,36
58-B,MK-02015X-2080-D03B,SS,10/12/2016,,Wash Tower,15X,58,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/14/2016,,,11/17/2016,12/16/2016,65,22,11,,3,32
58-C,MK-02015X-2080-D03C,SS,10/12/2016,,Wash Tower,15X,58,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/15/2016,,,11/17/2016,12/16/2016,65,22,12,,2,31
58-D,MK-02015X-2080-D03D,SS,10/12/2016,,Wash Tower,15X,58,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,11/3/2016,11/15/2016,,,11/17/2016,12/16/2016,65,22,12,,2,31
59-A,MK-02001X-1054-001A,SS,1/31/2017,,1B,01X,59,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/1/2017,3/27/2017,,,,4/12/2017,71,29,26,16,,
59-B,MK-02001X-1054-001B,SS,11/10/2016,,1,01X,59,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,1/19/2017,1/21/2017,,,,4/12/2017,153,70,2,81,,
60-A,MK-02001X-1054-002A,SS,11/10/2016,,1,01X,60,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,1/19/2017,1/21/2017,,,,4/12/2017,153,70,2,81,,
60-B,MK-02001X-1054-002B,SS,11/17/2016,,1,01X,60,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,1/19/2017,1/21/2017,,,,4/12/2017,146,63,2,81,,
61-A,MK-02001X-1054-003A,SS,11/10/2016,,1,01X,61,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,1/25/2017,1/28/2017,,,,4/12/2017,153,76,3,74,,
61-B,MK-02001X-1054-003B,SS,11/10/2016,,1,01X,61,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,1/25/2017,1/27/2017,,,,4/12/2017,153,76,2,75,,
61-C,MK-02001X-1054-003C,SS,11/10/2016,,1,01X,61,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,2/28/2017,3/5/2017,,,,4/20/2017,161,110,5,46,,
62-A,MK-02001X-1217-001A,SS,11/8/2016,,1,01X,62,ISS,ISS,,,1,,,[object Object],[object Object],[object Object],[object Object],[object Object],TRUE,3/11/2017,3/31/2017,,,,5/16/2017,189,123,20,46,,
