,15069,,,,,,15069,15069,15069,15069,50,,4350,,15066,,,,,,,,,,,,,,,,,,,,,,,,,
SHOP,ISO NO.,PIECE MARK,REFERENCE DWG.,LINE NO.,PAINT SYS.,TOP COAT COLOR,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,DATE TO STRESS,READY TO SHIP COATING,SHIP TO COATING,READY TO SHIP,TO SITE,LOAD #,COMMENTS,LINE CLASS,AREA,ON HOLD,REL HOLD DATE,HYDRO,PWHT,PMI,ISSUE DATE,PRIORITY DATE,PRIORITY,PCI REV,BACK AT SHOP,FINAL CHECK,ORIGINAL PAINT LOAD,RT %,DESCRIPTION,PIPE FT,SO #,FAB CODE,RELEASE DATE,CLIENT REV,Pcmkiitemw,ID STATUS
BR        ,3232-C,MK-02028X-5616-001C,020-28X-5616-01,"2""-EG-020-5616-B135-40-H                     ",X                        ,N/A MEDIUM GRAY     ,3/10/2017,3/11/2017,3/11/2017,3/11/2017,,,4/12/2017,,5/15/2017,B4005,,4,28X       ,,,N/A   ,N/A   ,YES   ,2/17/2017,,-         ,0,,3/11/2017,B2005,20,,12.07,6112,B135-40        ,,1,,FIELD     
BR        ,1710-B,MK-02028X-5625-001B,020-28X-5625-01,"4""-EG-020-5625-A135-01-H                     ",VII                      ,N/A MEDIUM GRAY     ,3/10/2017,3/14/2017,3/14/2017,3/14/2017,,,4/12/2017,,5/15/2017,B4005,,4,28X       ,,,N/A   ,N/A   ,YES   ,2/17/2017,,-         ,0,,3/14/2017,B2005,20,,3.34,6112,A135-01        ,,1,,FIELD     
BR        ,4241-A,MK-02028X-8680-003A,020-28X-8680-03,"2""-VT-020-8680-A135-01-H                     ",VII                      ,N/A Medium Gray     ,4/2/2017,4/6/2017,4/6/2017,4/6/2017,,,4/12/2017,,5/15/2017,B4005,,4,28X       ,,,N/A   ,N/A   ,YES   ,3/24/2017,,-         ,0,,4/6/2017,B2005,20,,2.8,6112,A135-01        ,,1,,FIELD     
BR        ,3820-A,MK-02030X-0600-001A,020-30X-0600-01,"4""-EO-020-0600-A135-41-F                     ",VII                      ,RAL 7038 MEDIUM GRAY,4/7/2017,4/10/2017,4/10/2017,4/10/2017,,,4/12/2017,,5/15/2017,B4005,,4,30X       ,,,N/A   ,N/A   ,YES   ,3/2/2017,,-         ,0,,4/10/2017,B2005,20,,3.4,6112,A135-41        ,,1,,FIELD     
BR        ,3820-B,MK-02030X-0600-001B,020-30X-0600-01,"4""-EO-020-0600-A135-41-F                     ",VII/III SEE ISO          ,N/A MEDIUM GRAY/RAL ,4/10/2017,4/10/2017,4/10/2017,4/10/2017,,,4/12/2017,,5/15/2017,B4005,,4,30X       ,,,N/A   ,N/A   ,YES   ,3/2/2017,,-         ,0,,4/10/2017,B2005,20,,15.64,6112,A135-41        ,,1,,FIELD     
BR        ,3849-A,MK-02030X-8031-002A,020-30X-8031-02,"4""-EO-020-8031-A135-41-F                     ",VII                      ,N/A Medium Gray     ,3/31/2017,4/2/2017,4/2/2017,4/2/2017,,,4/12/2017,,5/15/2017,B4005,,4,30X       ,,,N/A   ,N/A   ,YES   ,3/6/2017,,-         ,0,,4/2/2017,B2005,20,,3.39,6112,A135-41        ,,1,,FIELD     
BR        ,4554-C,MK-02030X-8034-004C,020-30X-8034-04,"4""-EO-020-8034-A135-41-F                     ",VII                      ,N/A Medium Gray     ,3/31/2017,4/4/2017,4/4/2017,4/4/2017,,,4/12/2017,,5/15/2017,B4005,,4,30X       ,,,N/A   ,N/A   ,YES   ,3/21/2017,,-         ,0,,4/4/2017,B2005,20,,17.72,6112,A135-41        ,,1,,FIELD     
BR        ,3859-C,MK-02030X-8045-001C,020-30X-8045-01,"4""-EO-020-8045-A135-41-F                     ",VII                      ,N/A Medium Gray     ,3/31/2017,4/2/2017,4/2/2017,4/2/2017,,,4/12/2017,,5/15/2017,B4005,,4,30X       ,,,N/A   ,N/A   ,YES   ,3/7/2017,,-         ,0,,4/2/2017,B2005,20,,5.17,6112,A135-41        ,,1,,FIELD     
BR        ,3859-D,MK-02030X-8045-001D,020-30X-8045-01,"4""-EO-020-8045-A135-41-F                     ",VII                      ,N/A Medium Gray     ,3/31/2017,4/2/2017,4/4/2017,4/4/2017,,,4/12/2017,,5/15/2017,B4005,,4,30X       ,,,N/A   ,N/A   ,YES   ,3/7/2017,,-         ,0,,4/4/2017,B2005,20,,16.14,6112,A135-41        ,,1,,FIELD     
BR        ,3862-A,MK-02030X-8052-002A,020-30X-8052-02,"4""-EO-020-8052-A135-41-F                     ",VII                      ,N/A MEDIUM GRAY     ,3/31/2017,4/2/2017,4/4/2017,4/4/2017,,,4/12/2017,,5/15/2017,B4005,,4,30X       ,,,N/A   ,N/A   ,YES   ,3/7/2017,,-         ,0,,4/4/2017,B2005,20,,8.97,6112,A135-41        ,,1,,FIELD     
BR        ,3862-B,MK-02030X-8052-002B,020-30X-8052-02,"4""-EO-020-8052-A135-41-F                     ",VII                      ,N/A MEDIUM GRAY     ,3/31/2017,4/3/2017,4/3/2017,4/3/2017,,,4/12/2017,,5/15/2017,B4005,,4,30X       ,,,N/A   ,N/A   ,YES   ,3/7/2017,,-         ,0,,4/3/2017,B2005,20,,10.01,6112,A135-41        ,,1,,FIELD     
BR        ,3862-D,MK-02030X-8052-002D,020-30X-8052-02,"4""-EO-020-8052-A135-41-F                     ",VII                      ,N/A MEDIUM GRAY     ,3/31/2017,4/2/2017,4/2/2017,4/2/2017,,,4/12/2017,,5/15/2017,B4005,,4,30X       ,,,N/A   ,N/A   ,YES   ,3/7/2017,,-         ,0,,4/2/2017,B2005,20,,8.08,6112,A135-41        ,,1,,FIELD     
BR        ,1745-A,MK-02001X-6096-002A,020-01X-6096-02,"6""-EG-020-6096-A021-01-H                     ",I                        ,N/A Medium Gray     ,3/11/2017,3/15/2017,3/19/2017,3/19/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/18/2017,,-         ,0,,3/19/2017,B2006,10,,0.95,6112,A021-01        ,,1,,FIELD     
BR        ,1746-B,MK-02001X-6154-001B,020-01X-6154-01,"3""-SM-020-6154-B021-06-H                     ",XIV                      ,Gray                ,3/11/2017,3/15/2017,3/15/2017,3/15/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/19/2017,,-         ,0,,,B2006,10,,2.99,6112,B021-06        ,,1,,FIELD     
BR        ,1814-B,MK-02001X-6632-001B,020-01X-6632-01,"1""-WR-020-6632-A022-50-E                     ",I                        ,N/A Medium Gray     ,3/13/2017,3/19/2017,3/19/2017,3/19/2017,,,3/19/2017,,4/6/2017,B4006,,1,01X       ,,,N/A   ,N/A   ,N/A   ,1/5/2017,,-         ,0,,3/19/2017,B2006,5,,2.98,6112,A022-50        ,,1,,FIELD     
BR        ,1816-B,MK-02001X-6754-001B,020-01X-6754-01,"1""-SE-020-6754-A021-06-H                     ",I                        ,N/A Medium Gray     ,3/13/2017,3/18/2017,3/19/2017,3/19/2017,,,,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/26/2017,,-         ,0,,3/19/2017,,10,,2.74,6112,A021-06        ,,1,,FIELD     
BR        ,2722-A,MK-02001X-7255-003A,020-01X-7255-03,"8""-EG-020-7255-A021-43-H                     ",I                        ,N/A Medium Gray     ,3/11/2017,3/14/2017,3/14/2017,3/15/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/25/2017,,-         ,0,,3/14/2017,B2006,10,,2.99,6112,A021-43        ,,1,,FIELD     
BR        ,2725-A,MK-02001X-7847-001A,020-01X-7847-01,"6""-EG-020-7847-A021-43-H                     ",I                        ,N/A Medium Gray     ,3/11/2017,3/15/2017,3/17/2017,3/19/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/25/2017,,-         ,0,,3/17/2017,B2006,10,,5.2,6112,A021-43        ,,1,,FIELD     
BR        ,1753-A,MK-02001X-8109-001A,020-01X-8109-01,"6""-SE-020-8109-A021-06-H                     ",I                        ,N/A Medium Gray     ,3/13/2017,3/15/2017,3/17/2017,3/17/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/23/2017,,-         ,0,,,B2006,10,,10.04,6112,A021-06        ,,1,,CUT       
BR        ,1754-B,MK-02001X-8109-002B,020-01X-8109-02,"6""-SE-020-8109-A021-06-H                     ",I                        ,N/A Medium Gray     ,3/13/2017,3/16/2017,3/17/2017,3/19/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/26/2017,,-         ,0,,3/17/2017,B2006,10,,10.54,6112,A021-06        ,,1,,FIELD     
BR        ,1755-A,MK-02001X-8109-003A,020-01X-8109-03,"6""-SE-020-8109-A021-06-H                     ",I                        ,N/A Medium Gray     ,3/13/2017,3/16/2017,3/17/2017,3/18/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/24/2017,,-         ,0,,3/17/2017,B2006,10,,1.64,6112,A021-06        ,,1,,FIELD     
BR        ,1763-B,MK-02001X-8153-001B,020-01X-8153-01,"6""-SH-020-8153-D021-06-H                     ",XIV                      ,GRAY                ,3/11/2017,3/13/2017,3/14/2017,3/14/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/17/2017,,-         ,0,,3/14/2017,B2006,10,,3.64,6112,D021-06        ,,1,,FIELD     
BR        ,2336-A,MK-02001X-8157-007A,020-01X-8157-07,"16""-CM-020-8157-A021-06-H                    ",I                        ,N/A MEDIUM GRAY     ,3/12/2017,3/16/2017,3/16/2017,3/17/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/24/2017,,-         ,0,,3/16/2017,B2006,10,,12.02,6112,A021-06        ,,1,,FIELD     
BR        ,1489-A,MK-02001X-8168-001A,020-01X-8168-01,"10""-SE-020-8168-A021-06-H                    ",I                        ,N/A Medium Gray     ,3/11/2017,3/14/2017,3/15/2017,3/15/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/17/2017,,-         ,0,,3/15/2017,B2006,10,,,6112,A021-06        ,,1,,FIELD     
BR        ,1493-B,MK-02001X-8174-005B,020-01X-8174-05,"18""-SL-020-8174-A021-06-H                    ",I                        ,N/A Medium Gray     ,3/12/2017,3/15/2017,3/19/2017,3/19/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/18/2017,,-         ,0,,3/19/2017,B2006,10,,3.29,6112,A021-06        ,,1,,CUT       
BR        ,2337-B,MK-02001X-8174-007B,020-01X-8174-07,"16""-SL-020-8174-A021-06-H                    ",I                        ,N/A MEDIUM GRAY     ,3/12/2017,3/15/2017,3/17/2017,3/17/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/24/2017,,-         ,0,,3/17/2017,B2006,10,,2.32,6112,A021-06        ,,1,,FIELD     
BR        ,2349-A,MK-02001X-8251-004A,020-01X-8251-04,"6""-SL-020-8251-A021-06-H                     ",I                        ,N/A MEDIUM GRAY     ,3/11/2017,3/13/2017,3/14/2017,3/14/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/25/2017,,-         ,0,,3/14/2017,B2006,10,,0.45,6112,A021-06        ,,1,,FIELD     
BR        ,1537-A,MK-02001X-8945-002A,020-01X-8945-02,"6""-FG-020-8945-A021-01-N                     ",III                      ,RAL 7038 MEDIUM GRAY,3/13/2017,3/15/2017,3/18/2017,3/18/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/25/2017,,-         ,0,,3/18/2017,B2006,10,,5.2,6112,A021-01        ,,1,,FIELD     
BR        ,1537-B,MK-02001X-8945-002B,020-01X-8945-02,"6""-FG-020-8945-A021-01-N                     ",III                      ,RAL 7038 MEDIUM GRAY,3/13/2017,3/16/2017,3/19/2017,3/19/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/25/2017,,-         ,0,,3/18/2017,B2006,10,,11.82,6112,A021-01        ,,1,,FIELD     
BR        ,1240-D,MK-02001X-9003-003D,020-01X-9003-03,"18""-BD-020-9003-A021-01-N                    ",I                        ,N/A Medium Gray     ,3/12/2017,3/16/2017,3/17/2017,3/17/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/10/2017,,-         ,0,,3/17/2017,B2006,10,,,6112,A021-01        ,,1,,FIELD     
BR        ,2095-A,MK-02001X-9116-001A,020-01X-9116-01,"4""-SM-020-9116-B021-06-H                     ",XIV                      ,GRAY                ,3/11/2017,3/18/2017,3/18/2017,3/18/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/26/2017,,-         ,0,,3/17/2017,B2006,10,,3.85,6112,B021-06        ,,1,,FIELD     
BR        ,1542-A,MK-02001X-9319-001A,020-01X-9319-01,"6""-CC-020-9319-A021-06-H                     ",I                        ,N/A Medium Gray     ,3/13/2017,3/17/2017,3/18/2017,3/18/2017,,,3/19/2017,,4/6/2017,B4006,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/25/2017,,-         ,0,,,B2006,10,,9.7,6112,A021-06        ,,1,,FIELD     
BR        ,2937-A,MK-02011X-8248-005A,020-11X-8248-05,"6""-CL-020-8248-A021-06-H                     ",I                        ,N/A Medium Gray     ,3/11/2017,3/15/2017,3/19/2017,3/19/2017,,,3/19/2017,,4/6/2017,B4006,,2,11X       ,,,N/A   ,N/A   ,N/A   ,3/8/2017,,-         ,0,,,B2006,10,,0.61,6112,A021-06        ,,1,,FIELD     
BR        ,2950-B,MK-02012X-8498-001B,020-12X-8498-01,"10""-WB-020-8498-D021-06-H                    ",I                        ,N/A MEDIUM GRAY     ,3/14/2017,3/18/2017,3/18/2017,3/19/2017,,,3/19/2017,,4/6/2017,B4006,,2,12X       ,,,N/A   ,N/A   ,N/A   ,3/9/2017,,-         ,0,,3/18/2017,B2006,10,,0.98,6112,D021-06        ,,1,,FIELD     
BR        ,1986-B,MK-02013X-1242-001B,020-13X-1242-01,"10""-SH-020-1242-D021-06-H                    ",XIV                      ,GRAY                ,3/12/2017,3/18/2017,3/18/2017,3/19/2017,,,3/19/2017,,4/6/2017,B4006,,2,13X       ,,,N/A   ,N/A   ,N/A   ,1/5/2017,,-         ,0,,3/18/2017,B2006,10,,4.08,6112,D021-06        ,,1,,FIELD     
BR        ,1987-B,MK-02013X-1243-001B,020-13X-1243-01,"10""-SH-020-1243-D021-06-H                    ",XIV                      ,Gray                ,3/14/2017,3/18/2017,3/18/2017,3/19/2017,,,3/19/2017,,4/6/2017,B4006,,2,13X       ,,,N/A   ,N/A   ,N/A   ,3/9/2017,,-         ,0,,3/18/2017,B2006,10,,4.08,6112,D021-06        ,,1,,FIELD     
BR        ,1992-A,MK-02013X-1362-001A,020-13X-1362-01,"10""-SM-020-1362-B021-06-H                    ",XIV                      ,GRAY                ,3/11/2017,3/14/2017,3/15/2017,3/15/2017,,,3/19/2017,,4/6/2017,B4006,,2,13X       ,,,N/A   ,N/A   ,N/A   ,2/9/2017,,-         ,0,,3/15/2017,B2006,10,,6.25,6112,B021-06        ,,1,,FIELD     
BR        ,2964-A,MK-02013X-8170-002A,020-13X-8170-02,"6""-WB-020-8170-D021-06-H                     ",I                        ,N/A MEDIUM GRAY     ,3/11/2017,3/14/2017,3/14/2017,3/15/2017,,,3/19/2017,,4/6/2017,B4006,,2,13X       ,,,N/A   ,N/A   ,N/A   ,2/10/2017,,-         ,0,,3/14/2017,B2006,10,,6.38,6112,D021-06        ,,1,,FIELD     
BR        ,3644-C,MK-02013X-8645-001C,020-13X-8645-01,"4""-IN-020-8645-A021-29-N                     ",III                      ,RAL 7038 Medium Gray,3/11/2017,3/14/2017,3/14/2017,3/15/2017,,,3/19/2017,,4/6/2017,B4006,,2,13X       ,,,N/A   ,N/A   ,N/A   ,3/3/2017,,-         ,0,,3/14/2017,B2006,10,,9.99,6112,A021-29        ,,1,,FIELD     
BR        ,3579-A,MK-02015X-1061-001A,020-15X-1061-01,"3""-DP-020-1061-A021-01-N                     ",III                      ,RAL 7038 MEDIUM GRAY,3/11/2017,3/15/2017,3/19/2017,3/19/2017,,,3/19/2017,,4/6/2017,B4006,,2,15X       ,,,N/A   ,N/A   ,N/A   ,2/22/2017,,-         ,0,,3/19/2017,B2006,10,,1.12,6112,A021-01        ,,1,,FIELD     
BR        ,3688-C,MK-02019X-4032-001C,020-19X-4032-01,"16""-WX-020-4032-A021-01-P                    ",I                        ,N/A Medium Gray     ,3/12/2017,3/14/2017,3/14/2017,3/15/2017,,,3/19/2017,,4/6/2017,B4006,,2,19X       ,,,N/A   ,N/A   ,N/A   ,2/27/2017,,-         ,0,,3/14/2017,B2006,10,,21.16,6112,A021-01        ,,1,,FIELD     
BR        ,3689-C,MK-02019X-4032-002C,020-19X-4032-02,"16""-WX-020-4032-A021-01-P                    ",I                        ,N/A Medium Gray     ,3/12/2017,3/14/2017,3/15/2017,3/15/2017,,,3/19/2017,,4/6/2017,B4006,,2,19X       ,,,N/A   ,N/A   ,N/A   ,2/27/2017,,-         ,0,,3/15/2017,B2006,10,,7.55,6112,A021-01        ,,1,,CUT       
BR        ,3690-A,MK-02019X-4044-001A,020-19X-4044-01,"16""-WX-020-4044-A021-01-P                    ",I                        ,N/A Medium Gray     ,3/12/2017,3/14/2017,3/16/2017,3/17/2017,,,3/19/2017,,4/6/2017,B4006,,2,19X       ,,,N/A   ,N/A   ,N/A   ,2/27/2017,,-         ,0,,3/16/2017,B2006,10,,4.92,6112,A021-01        ,,1,1,FIELD     
BR        ,1645-B,MK-02023X-7020-002B,020-23X-7020-02,"3""-WH-020-7020-A022-50-N                     ",III                      ,RAL 7038 Medium Gray,3/11/2017,3/12/2017,3/13/2017,3/13/2017,,,3/19/2017,,4/6/2017,B4006,,1,23X       ,,,N/A   ,N/A   ,N/A   ,1/5/2017,,-         ,0,,3/13/2017,B2006,5,,1.41,6112,A022-50        ,,1,,FIELD     
BR        ,2695-C,MK-02024X-6126-001C,020-24X-6126-01,"4""-EG-020-6126-A021-01-P                     ",I                        ,N/A Medium Gray     ,3/14/2017,3/17/2017,3/18/2017,3/18/2017,,,3/19/2017,,4/6/2017,B4006,,2,24X       ,,,N/A   ,N/A   ,N/A   ,3/9/2017,,-         ,0,,3/18/2017,B2006,10,,12.23,6112,A021-01        ,,1,,FIELD     
BR        ,1668-A,MK-02024X-6204-001A,020-24X-6204-01,"3""-EG-020-6204-A021-01-H                     ",I                        ,N/A Medium Gray     ,3/11/2017,3/13/2017,3/14/2017,3/15/2017,,,3/19/2017,,4/6/2017,B4006,,2,24X       ,,,N/A   ,N/A   ,N/A   ,2/9/2017,,-         ,0,,3/14/2017,B2006,10,,12.08,6112,A021-01        ,,1,,FIELD     
BR        ,1669-B,MK-02024X-7007-001B,020-24X-7007-01,"4""-WH-020-7007-A022-50-N                     ",III                      ,RAL 7038 Medium Gray,3/14/2017,3/17/2017,3/17/2017,3/17/2017,,,3/19/2017,,4/6/2017,B4006,,1,24X       ,,,N/A   ,N/A   ,N/A   ,3/9/2017,,-         ,0,,3/17/2017,B2006,5,,0.32,6112,A022-50        ,,1,,CUT       
BR        ,2474-A,MK-02024X-7603-001A,020-24X-7603-01,"4""-EG-020-7603-A021-01-P                     ",I                        ,N/A MEDIUM GRAY     ,3/14/2017,3/17/2017,3/18/2017,3/19/2017,,,3/19/2017,,4/6/2017,B4006,,2,24X       ,,,N/A   ,N/A   ,N/A   ,3/9/2017,,-         ,0,,3/18/2017,B2006,10,,1.94,6112,A021-01        ,,1,,FIELD     
BR        ,3192-A,MK-02027X-2050-001A,020-27X-2050-01,"6""-CL-020-2050-A021-06-H                     ",I                        ,N/A MEDIUM GRAY     ,3/11/2017,3/12/2017,3/12/2017,3/12/2017,,,3/19/2017,,4/6/2017,B4006,,2,27X       ,,,N/A   ,N/A   ,N/A   ,2/23/2017,,-         ,0,,3/12/2017,B2006,10,,3.86,6112,A021-06        ,,1,,CUT       
BR        ,3192-E,MK-02027X-2050-001E,020-27X-2050-01,"6""-CL-020-2050-A021-06-H                     ",I                        ,N/A MEDIUM GRAY     ,3/11/2017,3/12/2017,3/14/2017,3/15/2017,,,3/19/2017,,4/6/2017,B4006,,2,27X       ,,,N/A   ,N/A   ,N/A   ,2/23/2017,,-         ,0,,3/14/2017,B2006,10,,8.44,6112,A021-06        ,,1,,CUT       
BR        ,3193-A,MK-02027X-2051-002A,020-27X-2051-02,"6""-CL-020-2051-A021-06-H                     ",I                        ,N/A MEDIUM GRAY     ,3/11/2017,3/12/2017,3/15/2017,3/16/2017,,,3/19/2017,,4/6/2017,B4006,,2,27X       ,,,N/A   ,N/A   ,N/A   ,2/23/2017,,-         ,0,,3/15/2017,B2006,10,,8.45,6112,A021-06        ,,1,,FIELD     
BR        ,3194-A,MK-02027X-2052-001A,020-27X-2052-01,"4""-CL-020-2052-A021-06-H                     ",I                        ,N/A MEDIUM GRAY     ,3/11/2017,3/13/2017,3/15/2017,3/16/2017,,,3/19/2017,,4/6/2017,B4006,,2,27X       ,,,N/A   ,N/A   ,N/A   ,2/23/2017,,-         ,0,,3/15/2017,B2006,10,,7.44,6112,A021-06        ,,1,,FIELD     
BR        ,3195-C,MK-02027X-2053-001C,020-27X-2053-01,"4""-CL-020-2053-A021-06-H                     ",I                        ,N/A MEDIUM GRAY     ,3/11/2017,3/13/2017,3/13/2017,3/14/2017,,,3/19/2017,,4/6/2017,B4006,,2,27X       ,,,N/A   ,N/A   ,N/A   ,2/23/2017,,-         ,0,,3/13/2017,B2006,10,,3.81,6112,A021-06        ,,1,,FIELD     
BR        ,3275-A,MK-08131X-3004-008A,081-31X-3004-08,"6""-SM-081-3004-B021-06-H                     ",XIV                      ,Gray                ,3/11/2017,3/15/2017,3/18/2017,3/19/2017,,,3/19/2017,,4/6/2017,B4006,,2,31X       ,,,N/A   ,N/A   ,N/A   ,2/21/2017,,-         ,0,,3/18/2017,B2006,10,,0.67,6112,B021-06        ,,1RL   ,,FIELD     
BR        ,2900-B,MK-08131X-3035-001B,081-31X-3035-01,"4""-HM-081-3035-A021-01-F                     ",XIV                      ,GRAY                ,3/11/2017,3/12/2017,3/15/2017,3/15/2017,,,3/19/2017,,4/6/2017,B4006,,2,31X       ,,,N/A   ,N/A   ,N/A   ,2/16/2017,,-         ,0,,3/15/2017,B2006,10,,0.56,6112,A021-01        ,,1,,FIELD     
BR        ,2540-B,MK-08131X-3038-001B,081-31X-3038-01,"3""-HM-081-3038-A021-01-F                     ",XIV                      ,Gray                ,3/11/2017,3/15/2017,3/17/2017,3/17/2017,,,3/19/2017,,4/6/2017,B4006,,2,31X       ,,,N/A   ,N/A   ,N/A   ,2/8/2017,,-         ,0,,,B2006,10,,5.19,6112,A021-01        ,,1,,FIELD     
BR        ,3292-B,MK-08131X-3167-0B01B,081-31X-3167-B01,"6""-SM-081-3167-B021-06-H                     ",XIV                      ,GRAY                ,3/13/2017,3/16/2017,3/19/2017,3/19/2017,,,3/19/2017,,4/6/2017,B4006,,2,31X       ,,,N/A   ,N/A   ,N/A   ,2/24/2017,,-         ,0,,3/17/2017,B2006,10,,4.01,6112,B021-06        ,,1,,FIELD     
BR        ,4282-B,MK-02001X-6179-001B,020-01X-6179-01,"0.75""-WH-020-6179-A022-50-H                  ",I                        ,N/A Medium Gray     ,3/13/2017,3/17/2017,3/21/2017,3/21/2017,,,3/22/2017,,4/10/2017,B4007,,1,01X       ,,,N/A   ,N/A   ,N/A   ,3/2/2017,,-         ,0,,3/21/2017,B2007,5,,,6112,A022-50        ,,1,,FIELD     
BR        ,1814-A,MK-02001X-6632-001A,020-01X-6632-01,"1""-WR-020-6632-A022-50-E                     ",I                        ,N/A Medium Gray     ,3/13/2017,3/19/2017,3/21/2017,3/21/2017,,,3/22/2017,,4/10/2017,B4007,,1,01X       ,,,N/A   ,N/A   ,N/A   ,1/5/2017,,-         ,0,,3/21/2017,B2007,5,,18.68,6112,A022-50        ,,1,,FIELD     
BR        ,1816-A,MK-02001X-6754-001A,020-01X-6754-01,"1""-SE-020-6754-A021-06-H                     ",I                        ,N/A Medium Gray     ,3/13/2017,3/19/2017,3/21/2017,3/21/2017,,,3/22/2017,,4/10/2017,B4007,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/26/2017,,-         ,0,,3/21/2017,B2007,10,,18.96,6112,A021-06        ,,1,,FIELD     
BR        ,3008-B,MK-02001X-7138-003B,020-01X-7138-03,"12""-EG-020-7138-A021-43-H                    ",I                        ,N/A Medium Gray     ,3/12/2017,3/17/2017,3/18/2017,3/21/2017,,,3/22/2017,,4/10/2017,B4007,,2,01X       ,,,N/A   ,N/A   ,N/A   ,2/8/2017,,-         ,0,,3/18/2017,B2007,10,,2.05,6112,A021-43        ,,1,,FIELD     
BR        ,1751-A,MK-02001X-7514-001A,020-01X-7514-01,"6""-EG-020-7514-A021-43-H                     ",I                        ,N/A Medium Gray     ,3/13/2017,3/15/2017,3/17/2017,3/17/2017,,,3/22/2017,,4/10/2017,B4007,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/19/2017,,-         ,0,,3/17/2017,B2007,10,,1.35,6112,A021-43        ,,1,1,FIELD     
BR        ,1759-C,MK-02001X-8140-002C,020-01X-8140-02,"3""-SM-020-8140-B021-06-H                     ",XIV                      ,GRAY                ,3/11/2017,3/15/2017,3/18/2017,3/18/2017,,,3/22/2017,,4/10/2017,B4007,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/24/2017,,-         ,0,,3/17/2017,B2007,10,,1.28,6112,B021-06        ,,1,,FIELD     
BR        ,1217-B,MK-02001X-8152-0B01B,020-01X-8152-B01,"10""-SH-020-8152-D021-06-H                    ",XIV                      ,Gray                ,3/12/2017,3/19/2017,3/20/2017,3/21/2017,,,3/22/2017,,4/10/2017,B4007,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/11/2017,,-         ,0,,3/20/2017,B2007,10,,1.25,6112,D021-06        ,,1,,FIELD     
BR        ,1495-B,MK-02001X-8174-008B,020-01X-8174-08,"16""-SL-020-8174-A021-06-H                    ",I                        ,N/A Medium Gray     ,3/12/2017,3/15/2017,3/20/2017,3/20/2017,,,3/22/2017,,4/10/2017,B4007,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/18/2017,,-         ,0,,,B2007,10,,2.29,6112,A021-06        ,,1,,CUT       
BR        ,1767-C,MK-02001X-8251-006C,020-01X-8251-06,"6""-SL-020-8251-A021-06-H                     ",I                        ,N/A MEDIUM GRAY     ,3/11/2017,3/15/2017,3/18/2017,3/18/2017,,,3/22/2017,,4/10/2017,B4007,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/17/2017,,-         ,0,,,B2007,10,,3.83,6112,A021-06        ,,1,,FIELD     
BR        ,1238-D,MK-02001X-9003-001D,020-01X-9003-01,"18""-BD-020-9003-A021-01-N                    ",I                        ,N/A Medium Gray     ,3/12/2017,3/18/2017,3/19/2017,3/19/2017,,,3/22/2017,,4/10/2017,B4007,,2,01X       ,,,N/A   ,N/A   ,N/A   ,1/10/2017,,-         ,0,,3/19/2017,B2007,10,,2.62,6112,A021-01        ,,1,,FIELD     
