,15069,,,,,,15069,15069,15069,15069,50,,4350,,15066,,,,,,,,,,,,,,,,,,,,,,,,,
SHOP,ISO NO.,PIECE MARK,REFERENCE DWG.,LINE NO.,PAINT SYS.,TOP COAT COLOR,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,DATE TO STRESS,READY TO SHIP COATING,SHIP TO COATING,READY TO SHIP,TO SITE,LOAD #,COMMENTS,LINE CLASS,AREA,ON HOLD,REL HOLD DATE,HYDRO,PWHT,PMI,ISSUE DATE,PRIORITY DATE,PRIORITY,PCI REV,BACK AT SHOP,FINAL CHECK,ORIGINAL PAINT LOAD,RT %,DESCRIPTION,PIPE FT,SO #,FAB CODE,RELEASE DATE,CLIENT REV,Pcmkiitemw,ID STATUS
BR        ,580-C,MK-02001X-3131-001C,020-01X-3131-01,"3""-WT-020-3131-A135-41-N                     ",NONE                     ,N/A                 ,1/30/2017,2/6/2017,2/6/2017,2/6/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,12/14/2016,,-         ,0,,,,20,,15.7,6112,A135-41        ,,1,,FIELD     
BR        ,581-A,MK-02001X-3146-001A,020-01X-3146-01,"2""-PW-020-3146-A135-01-N                     ",NONE                     ,N/A                 ,3/31/2017,4/2/2017,4/2/2017,4/6/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,12/1/2016,,-         ,1,,4/6/2017,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,582-C,MK-02001X-3146-002C,020-01X-3146-02,"2""-PW-020-3146-A135-01-N                     ",NONE                     ,N/A                 ,3/10/2017,3/25/2017,3/25/2017,3/26/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,12/1/2016,,-         ,1,,3/26/2017,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,2276-A,MK-02001X-3775-001A,020-01X-3775-01,"3""-BD-020-3775-A135-01-P                     ",NONE                     ,N/A                 ,3/31/2017,4/6/2017,4/6/2017,4/6/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,1/24/2017,,-         ,0,,4/6/2017,,20,,4.97,6112,A135-01        ,,1,,FIELD     
BR        ,1808-B,MK-02001X-6155-001B,020-01X-6155-01,"2""-EG-020-6155-A135-42-N                     ",NONE                     ,N/A                 ,2/15/2017,2/18/2017,2/18/2017,2/18/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,2/1/2017,,-         ,0,,,,20,,1.09,6112,A135-42        ,,1,,FIELD     
BR        ,1810-A,MK-02001X-6157-002A,020-01X-6157-02,"2""-IN-020-6157-A135-42-N                     ",NONE                     ,N/A                 ,2/15/2017,2/19/2017,2/19/2017,2/19/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,1/24/2017,,-         ,0,,,,20,,1.11,6112,A135-42        ,,1,,FIELD     
BR        ,600-B,MK-02001X-7120-002B,020-01X-7120-02,"2""-EG-020-7120-A135-01-N                     ",NONE                     ,N/A                 ,3/10/2017,3/15/2017,3/15/2017,3/15/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,12/12/2016,,-         ,0,,3/15/2017,,20,,39.99,6112,A135-01        ,,1,,CUT       
BR        ,600-C,MK-02001X-7120-002C,020-01X-7120-02,"2""-EG-020-7120-A135-01-N                     ",NONE                     ,N/A                 ,3/10/2017,3/15/2017,3/15/2017,3/15/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,12/12/2016,,-         ,0,,3/15/2017,,20,,39.99,6112,A135-01        ,,1,,FIELD     
BR        ,603-A,MK-02001X-7162-001A,020-01X-7162-01,"2""-EG-020-7162-A135-01-N                     ",NONE                     ,N/A                 ,3/10/2017,3/15/2017,3/15/2017,3/15/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,12/13/2016,,-         ,0,,3/15/2017,,20,,39.99,6112,A135-01        ,,1,,FIELD     
BR        ,603-B,MK-02001X-7162-001B,020-01X-7162-01,"2""-EG-020-7162-A135-01-N                     ",NONE                     ,N/A                 ,3/10/2017,3/16/2017,3/16/2017,3/20/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,12/13/2016,,-         ,1,,3/17/2017,,20,,39.99,6112,A135-01        ,,1,,FIELD     
BR        ,604-B,MK-02001X-7162-002B,020-01X-7162-02,"2""-EG-020-7162-A135-01-N                     ",NONE                     ,N/A                 ,3/10/2017,3/16/2017,3/16/2017,3/18/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,12/13/2016,,-         ,1,,3/18/2017,,20,,39.99,6112,A135-01        ,,1,,FIELD     
BR        ,604-C,MK-02001X-7162-002C,020-01X-7162-02,"2""-EG-020-7162-A135-01-N                     ",NONE                     ,N/A                 ,3/10/2017,3/16/2017,3/16/2017,3/17/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,12/13/2016,,-         ,1,,3/17/2017,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,128-A,MK-02001X-7224-001A,020-01X-7224-01,"4""-EG-020-7224-A135-01-N                     ",NONE                     ,N/A                 ,1/30/2017,2/13/2017,2/13/2017,2/13/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,11/17/2016,,-         ,0,,,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,129-A,MK-02001X-7224-002A,020-01X-7224-02,"4""-EG-020-7224-A135-01-N                     ",NONE                     ,N/A                 ,1/30/2017,2/13/2017,2/13/2017,2/13/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,11/17/2016,,-         ,0,,,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,129-B,MK-02001X-7224-002B,020-01X-7224-02,"4""-EG-020-7224-A135-01-N                     ",NONE                     ,N/A                 ,1/30/2017,2/12/2017,2/12/2017,2/13/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,11/17/2016,,-         ,0,,,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,130-A,MK-02001X-7224-003A,020-01X-7224-03,"4""-EG-020-7224-A135-01-N                     ",NONE                     ,N/A                 ,1/30/2017,2/12/2017,2/12/2017,2/13/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,11/17/2016,,-         ,0,,,,20,,40,6112,A135-01        ,,1,,FIELD     
BR        ,130-B,MK-02001X-7224-003B,020-01X-7224-03,"4""-EG-020-7224-A135-01-N                     ",NONE                     ,N/A                 ,1/30/2017,2/12/2017,2/12/2017,2/12/2017,,,,,4/12/2017,B3001,,4,01X       ,,,N/A   ,N/A   ,YES   ,11/17/2016,,-         ,0,,,,20,,40,6112,A135-01        ,,1,,CUT       
