Client Tag,Shipped,Order Date,Delivery Date,
T11A-6#18-4-0-0-0-CS_4-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-3.5-0-0-0-CS-M_5-4~6,Shipped,03/31/20,12/17/19,
T13A-6#18-6-0-0-0-CS_5-2~6,Shipped,03/31/20,02/03/20,
T13A-6#18-5.5-0-0-0-CS-M_5-3~6,Shipped,03/31/20,12/17/19,
T13A-6#16-6-0-0-0-CS-M_6-5~6,Shipped,03/31/20,12/17/19,
T13A-6#18-5-0-0-0-CS-M_6-4~6,Shipped,03/31/20,12/17/19,
T11A-6#18-4-0-0-0-CS_6-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_6-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_6-3~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_7-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_7-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_8-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_8-3~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_8-4~6,Shipped,03/31/20,02/03/20,
T11A-6#21.5-4-0-0-0-CS-M_8-4~6,Shipped,03/31/20,12/17/19,
T11A-6#18-4-0-0-0-CS_9-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_9-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_10-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_10-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_10-3~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_11-3~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_11-4~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_11-5~6,Shipped,03/31/20,02/03/20,
T7SA-6#0-17.5-0-0-1-CS_12-2~6,Shipped,03/31/20,12/17/19,
T7SA-6#0-17.5-0-0-1-CS_12-3~6,Shipped,03/31/20,12/17/19,
T7SA-6#0-17.5-0-0-1-CS_12-4~6,Shipped,03/31/20,12/17/19,
T7SA-6#0-17.5-0-0-1-CS_12-5~6,Shipped,03/31/20,12/17/19,
T34S-6#28.5-0-9-0-4-CS_13-1~6,Shipped,03/31/20,12/17/19,
T11A-6#18-4-0-0-0-CS_13-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_13-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_14-3~6,Shipped,03/31/20,02/03/20,
T11A-6#12-4-0-0-0-CS-M_14-2~6,Shipped,03/31/20,12/17/19,
T13A-6#18-6-0-0-0-CS-M_14-1~6,Shipped,03/31/20,02/03/20,
T13A-6#18-7-0-0-0-CS-M_14-1~6,Shipped,03/31/20,12/17/19,
T13A-6#18-4.88-0-0-0-CS-M_15-2~6,Shipped,03/31/20,12/17/19,
T13A-6#18-4.88-0-0-0-CS-M_15-3~6,Shipped,03/31/20,12/17/19,
T13A-6#18-4.88-0-0-0-CS-M_15-4~6,Shipped,03/31/20,12/17/19,
T13A-6#20-5-0-0-0-CS-M_15-3~6,Shipped,03/31/20,12/17/19,
T11A-6#18-4-0-0-0-CS_15-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_16-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_16-3~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_16-4~6,Shipped,03/31/20,02/03/20,
T13A-6#20.5-5-0-0-0-CS-M_16-1~6,Shipped,03/31/20,12/17/19,
T13A-6#18-5-0-0-0-CS-M_17-1~6,Shipped,03/31/20,12/17/19,
T13A-6#18-5-0-0-0-CS-M_17-2~6,Shipped,03/31/20,12/17/19,
T11A-6#18-4-0-0-0-CS_17-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_18-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_18-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_18-3~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_19-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_19-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_19-3~6,Shipped,03/31/20,02/03/20,
T11A-6#20-4-0-0-0-CS-M_19-2~6,Shipped,03/31/20,12/17/19,
T11A-6#18-3.5-0-0-0-CS-M_20-2~6,Shipped,03/31/20,12/17/19,
T11A-6#18-4-0-0-0-CS_20-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_20-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_21-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_21-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_22-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_22-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_23-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_23-5~6,Shipped,03/31/20,02/03/20,
T13A-6#18-4.5-0-0-0-CS-M_23-2~6,Shipped,03/31/20,12/17/19,
T13A-6#18-4.5-0-0-0-CS-M_23-3~6,Shipped,03/31/20,12/17/19,
T13A-6#18-4.5-0-0-0-CS-M_23-4~6,Shipped,03/31/20,12/17/19,
T11A-6#18-4-0-0-0-CS_24-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_24-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_24-3~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_25-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_25-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_25-3~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_25-4~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_26-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_26-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_27-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_27-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_27-3~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_27-4~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_28-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_28-3~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_28-4~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_29-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_29-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_29-4~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_30-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_30-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_30-3~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_30-4~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_31-1~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_31-2~6,Shipped,03/31/20,02/03/20,
T11A-6#18-4-0-0-0-CS_31-3~6,Shipped,03/31/20,02/03/20,
