SIZE,WELD TYPE,MAT'L,SCH.,MOD MAN HOUR CODE,HOURS
12,SO,INCONEL,300,12SOINCONEL300,13.44
12,SO,INCONEL,400,12SOINCONEL400,16.88
12,SO,INCONEL,600,12SOINCONEL600,18.6
12,SO,INCONEL,900,12SOINCONEL900,23.28
12,SO,MONEL,150,12SOMONEL150,12.16
12,SO,MONEL,300,12SOMONEL300,13.44
12,SO,MONEL,400,12SOMONEL400,16.88
12,SO,MONEL,600,12SOMONEL600,18.6
12,SO,MONEL,900,12SOMONEL900,23.28
12,SO,NICKEL,150,12SONICKEL150,14.592
12,SO,NICKEL,300,12SONICKEL300,16.128
12,SO,NICKEL,400,12SONICKEL400,20.256
12,SO,NICKEL,600,12SONICKEL600,22.32
12,SO,NICKEL,900,12SONICKEL900,27.936
12,SO,P11,150,12SOP11150,9.728
12,SO,P11,300,12SOP11300,10.752
12,SO,P11,400,12SOP11400,13.504
12,SO,P11,600,12SOP11600,14.88
12,SO,P11,900,12SOP11900,18.624
12,SO,P22,150,12SOP22150,12.16
12,SO,P22,300,12SOP22300,13.44
12,SO,P22,400,12SOP22400,16.88
12,SO,P22,600,12SOP22600,18.6
12,SO,P22,900,12SOP22900,23.28
12,SO,P5,150,12SOP5150,9.728
12,SO,P5,300,12SOP5300,10.752
12,SO,P5,400,12SOP5400,13.504
12,SO,P5,600,12SOP5600,14.88
12,SO,P5,900,12SOP5900,18.624
12,SO,P9,150,12SOP9150,12.16
12,SO,P9,300,12SOP9300,13.44
12,SO,P9,400,12SOP9400,16.88
12,SO,P9,600,12SOP9600,18.6
12,SO,P9,900,12SOP9900,23.28
12,SO,SS,150,12SOSS150,8.512
12,SO,SS,300,12SOSS300,9.408
12,SO,SS,400,12SOSS400,11.816
12,SO,SS,600,12SOSS600,13.02
12,SO,SS,900,12SOSS900,16.296
12,SO,TI,150,12SOTI150,14.592
12,SO,TI,300,12SOTI300,16.128
12,SO,TI,400,12SOTI400,20.256
12,SO,TI,600,12SOTI600,22.32
12,SO,TI,900,12SOTI900,27.936
14,BW,321,20,14BW32120,13.24
14,BW,321,30,14BW32130,13.24
14,BW,321,40,14BW32140,15.8
14,BW,321,60,14BW32160,21.36
14,BW,321,80,14BW32180,28.2
14,BW,321,100,14BW321100,38.04
14,BW,321,120,14BW321120,49.12
14,BW,321,140,14BW321140,60.68
14,BW,321,160,14BW321160,70.96
14,BW,321,40S,14BW32140S,13.24
14,BW,321,80S,14BW32180S,16.68
14,BW,321,XXS,14BW321XXS,70.92
14,BW,347,20,14BW34720,13.24
14,BW,347,30,14BW34730,13.24
14,BW,347,40,14BW34740,15.8
14,BW,347,60,14BW34760,21.36
14,BW,347,80,14BW34780,28.2
14,BW,347,100,14BW347100,38.04
14,BW,347,120,14BW347120,49.12
14,BW,347,140,14BW347140,60.68
14,BW,347,160,14BW347160,70.96
14,BW,347,40S,14BW34740S,13.24
14,BW,347,80S,14BW34780S,16.68
14,BW,347,XXS,14BW347XXS,70.92
14,BW,904L,20,14BW904L20,13.24
14,BW,904L,30,14BW904L30,13.24
14,BW,904L,40,14BW904L40,15.8
14,BW,904L,60,14BW904L60,21.36
14,BW,904L,80,14BW904L80,28.2
14,BW,904L,100,14BW904L100,38.04
14,BW,904L,120,14BW904L120,49.12
14,BW,904L,140,14BW904L140,60.68
14,BW,904L,160,14BW904L160,70.96
14,BW,904L,40S,14BW904L40S,13.24
14,BW,904L,80S,14BW904L80S,16.68
14,BW,904L,XXS,14BW904LXXS,70.92
14,BW,A20,10S,14BWA2010S,13.24
14,BW,A20,20,14BWA2020,13.24
14,BW,A20,30,14BWA2030,13.24
14,BW,A20,40,14BWA2040,15.8
14,BW,A20,60,14BWA2060,21.36
14,BW,A20,80,14BWA2080,28.2
14,BW,A20,100,14BWA20100,38.04
14,BW,A20,120,14BWA20120,49.12
14,BW,A20,140,14BWA20140,60.68
14,BW,A20,160,14BWA20160,70.96
14,BW,A20,40S,14BWA2040S,13.24
14,BW,A20,80S,14BWA2080S,16.68
14,BW,A20,XXS,14BWA20XXS,70.92
14,BW,A333,1.75,14BWA3331.75,70
14,BW,A333,20,14BWA33320,5.296
14,BW,A333,30,14BWA33330,5.296
14,BW,A333,40,14BWA33340,6.32
14,BW,A333,60,14BWA33360,8.544
14,BW,A333,80,14BWA33380,11.28
14,BW,A333,100,14BWA333100,15.216
14,BW,A333,120,14BWA333120,19.648
14,BW,A333,140,14BWA333140,24.272
14,BW,A333,160,14BWA333160,28.384
14,BW,A333,STD,14BWA333STD,5.296
14,BW,A333,XS,14BWA333XS,6.672
14,BW,A333,XXS,14BWA333XXS,28.368
14,BW,AL,20,14BWAL20,15.888
14,BW,AL,30,14BWAL30,15.888
14,BW,AL,40,14BWAL40,18.96
14,BW,AL,60,14BWAL60,25.632
14,BW,AL,80,14BWAL80,33.84
14,BW,AL,100,14BWAL100,45.648
14,BW,AL,120,14BWAL120,58.944
14,BW,AL,140,14BWAL140,72.816
14,BW,AL,160,14BWAL160,85.152
14,BW,AL,STD,14BWALSTD,15.888
14,BW,AL,XS,14BWALXS,20.016
14,BW,AL,XXS,14BWALXXS,85.104
14,BW,CS,20,14BWCS20,5.296
14,BW,CS,30,14BWCS30,5.296
14,BW,CS,40,14BWCS40,6.32
14,BW,CS,60,14BWCS60,8.544
14,BW,CS,80,14BWCS80,11.28
14,BW,CS,100,14BWCS100,15.216
14,BW,CS,120,14BWCS120,19.648
14,BW,CS,140,14BWCS140,24.272
14,BW,CS,160,14BWCS160,28.384
14,BW,CS,1.5,14BWCS1.5,30
14,BW,CS,STD,14BWCSSTD,5.296
14,BW,CS,XS,14BWCSXS,6.672
14,BW,CS,XXS,14BWCSXXS,28.368
14,BW,DUPLEX,10S,14BWDUPLEX10S,13.24
14,BW,DUPLEX,20,14BWDUPLEX20,13.24
14,BW,DUPLEX,30,14BWDUPLEX30,13.24
14,BW,DUPLEX,40,14BWDUPLEX40,15.8
14,BW,DUPLEX,60,14BWDUPLEX60,21.36
14,BW,DUPLEX,80,14BWDUPLEX80,28.2
14,BW,DUPLEX,100,14BWDUPLEX100,38.04
14,BW,DUPLEX,120,14BWDUPLEX120,49.12
14,BW,DUPLEX,140,14BWDUPLEX140,60.68
14,BW,DUPLEX,160,14BWDUPLEX160,70.96
14,BW,DUPLEX,10S,14BWDUPLEX10S,13.24
14,BW,DUPLEX,40S,14BWDUPLEX40S,13.24
14,BW,DUPLEX,80S,14BWDUPLEX80S,16.68
14,BW,DUPLEX,XXS,14BWDUPLEXXXS,70.92
14,BW,HAST,10S,14BWHAST10S,15.888
14,BW,HAST,20,14BWHAST20,15.888
14,BW,HAST,30,14BWHAST30,15.888
14,BW,HAST,40,14BWHAST40,18.96
14,BW,HAST,60,14BWHAST60,25.632
14,BW,HAST,80,14BWHAST80,33.84
14,BW,HAST,100,14BWHAST100,45.648
14,BW,HAST,120,14BWHAST120,58.944
14,BW,HAST,140,14BWHAST140,72.816
14,BW,HAST,160,14BWHAST160,85.152
14,BW,HAST,40S,14BWHAST40S,15.888
14,BW,HAST,80S,14BWHAST80S,20.016
14,BW,HAST,XXS,14BWHASTXXS,85.104
14,BW,INCONEL,10S,14BWINCONEL10S,13.24
14,BW,INCONEL,20,14BWINCONEL20,13.24
14,BW,INCONEL,30,14BWINCONEL30,13.24
14,BW,INCONEL,40,14BWINCONEL40,15.8
14,BW,INCONEL,60,14BWINCONEL60,21.36
14,BW,INCONEL,80,14BWINCONEL80,28.2
14,BW,INCONEL,100,14BWINCONEL100,38.04
14,BW,INCONEL,120,14BWINCONEL120,49.12
14,BW,INCONEL,140,14BWINCONEL140,60.68
14,BW,INCONEL,160,14BWINCONEL160,70.96
14,BW,INCONEL,40S,14BWINCONEL40S,13.24
14,BW,INCONEL,80S,14BWINCONEL80S,16.68
14,BW,INCONEL,XXS,14BWINCONELXXS,70.92
14,BW,MONEL,10S,14BWMONEL10S,13.24
14,BW,MONEL,20,14BWMONEL20,13.24
14,BW,MONEL,30,14BWMONEL30,13.24
14,BW,MONEL,40,14BWMONEL40,15.8
14,BW,MONEL,60,14BWMONEL60,21.36
14,BW,MONEL,80,14BWMONEL80,28.2
14,BW,MONEL,100,14BWMONEL100,38.04
14,BW,MONEL,120,14BWMONEL120,49.12
14,BW,MONEL,140,14BWMONEL140,60.68
14,BW,MONEL,160,14BWMONEL160,70.96
14,BW,MONEL,40S,14BWMONEL40S,13.24
14,BW,MONEL,80S,14BWMONEL80S,16.68
14,BW,MONEL,XXS,14BWMONELXXS,70.92
14,BW,NICKEL,10S,14BWNICKEL10S,15.888
14,BW,NICKEL,20,14BWNICKEL20,15.888
14,BW,NICKEL,30,14BWNICKEL30,15.888
14,BW,NICKEL,40,14BWNICKEL40,18.96
14,BW,NICKEL,60,14BWNICKEL60,25.632
14,BW,NICKEL,80,14BWNICKEL80,33.84
14,BW,NICKEL,100,14BWNICKEL100,45.648
14,BW,NICKEL,120,14BWNICKEL120,58.944
14,BW,NICKEL,140,14BWNICKEL140,72.816
14,BW,NICKEL,160,14BWNICKEL160,85.152
14,BW,NICKEL,40S,14BWNICKEL40S,15.888
14,BW,NICKEL,80S,14BWNICKEL80S,20.016
14,BW,NICKEL,XXS,14BWNICKELXXS,85.104
14,BW,P11,20,14BWP1120,10.592
14,BW,P11,30,14BWP1130,10.592
14,BW,P11,40,14BWP1140,12.64
14,BW,P11,60,14BWP1160,17.088
14,BW,P11,80,14BWP1180,22.56
14,BW,P11,100,14BWP11100,30.432
14,BW,P11,120,14BWP11120,39.296
14,BW,P11,140,14BWP11140,48.544
14,BW,P11,160,14BWP11160,56.768
14,BW,P11,STD,14BWP11STD,10.592
14,BW,P11,XS,14BWP11XS,13.344
14,BW,P11,XXS,14BWP11XXS,56.736
14,BW,P22,20,14BWP2220,13.24
14,BW,P22,30,14BWP2230,13.24
14,BW,P22,40,14BWP2240,15.8
14,BW,P22,60,14BWP2260,21.36
14,BW,P22,80,14BWP2280,28.2
14,BW,P22,100,14BWP22100,38.04
14,BW,P22,120,14BWP22120,49.12
14,BW,P22,140,14BWP22140,60.68
14,BW,P22,160,14BWP22160,70.96
14,BW,P22,STD,14BWP22STD,13.24
14,BW,P22,XS,14BWP22XS,16.68
14,BW,P22,XXS,14BWP22XXS,70.92
14,BW,P5,20,14BWP520,10.592
14,BW,P5,30,14BWP530,10.592
14,BW,P5,40,14BWP540,12.64
14,BW,P5,60,14BWP560,17.088
14,BW,P5,80,14BWP580,22.56
14,BW,P5,100,14BWP5100,30.432
14,BW,P5,120,14BWP5120,39.296
14,BW,P5,140,14BWP5140,48.544
14,BW,P5,160,14BWP5160,56.768
14,BW,P5,STD,14BWP5STD,10.592
14,BW,P5,XS,14BWP5XS,13.344
14,BW,P5,XXS,14BWP5XXS,56.736
14,BW,P9,20,14BWP920,13.24
14,BW,P9,30,14BWP930,13.24
14,BW,P9,40,14BWP940,15.8
14,BW,P9,60,14BWP960,21.36
14,BW,P9,80,14BWP980,28.2
14,BW,P9,100,14BWP9100,38.04
14,BW,P9,120,14BWP9120,49.12
14,BW,P9,140,14BWP9140,60.68
14,BW,P9,160,14BWP9160,70.96
14,BW,P9,STD,14BWP9STD,13.24
14,BW,P9,XS,14BWP9XS,16.68
14,BW,P9,XXS,14BWP9XXS,70.92
14,BW,SS,10S,14BWSS10S,9.268
14,BW,SS,160S,14BWSS160S,49.672
14,BW,SS,20S,14BWSS20S,9.268
14,BW,SS,40S,14BWSS40S,9.268
14,BW,SS,5S,14BWSS5S,9.268
14,BW,SS,60S,14BWSS60S,14.952
14,BW,SS,80,14BWSS80,19.74
14,BW,SS,80S,14BWSS80S,11.676
14,BW,SS,20,14BWSS20,11.06
14,BW,SS,40,14BWSS40,11.06
14,BW,SS,80,14BWSS80,19.74
14,BW,TI,10S,14BWTI10S,15.888
14,BW,TI,20,14BWTI20,15.888
14,BW,TI,30,14BWTI30,15.888
14,BW,TI,40,14BWTI40,18.96
14,BW,TI,60,14BWTI60,25.632
14,BW,TI,80,14BWTI80,33.84
14,BW,TI,100,14BWTI100,45.648
14,BW,TI,120,14BWTI120,58.944
14,BW,TI,140,14BWTI140,72.816
14,BW,TI,160,14BWTI160,85.152
14,BW,TI,STD,14BWTISTD,15.888
14,BW,TI,XS,14BWTIXS,20.016
14,BW,TI,XXS,14BWTIXXS,85.104
14,DN45,A333,20,14DN45A33320,9.448
14,DN45,A333,30,14DN45A33330,9.448
14,DN45,A333,40,14DN45A33340,10.56
14,DN45,A333,60,14DN45A33360,13.664
14,DN45,A333,80,14DN45A33380,16.296
14,DN45,A333,100,14DN45A333100,20.56
14,DN45,A333,120,14DN45A333120,25.56
14,DN45,A333,140,14DN45A333140,32.488
14,DN45,A333,160,14DN45A333160,42.56
14,DN45,A333,STD,14DN45A333STD,9.448
14,DN45,A333,XS,14DN45A333XS,11.56
14,DN45,A333,XXS,14DN45A333XXS,42.56
14,DN45,CS,20,14DN45CS20,9.448
14,DN45,CS,30,14DN45CS30,9.448
14,DN45,CS,40,14DN45CS40,10.56
14,DN45,CS,60,14DN45CS60,13.664
14,DN45,CS,80,14DN45CS80,16.296
14,DN45,CS,100,14DN45CS100,20.56
14,DN45,CS,120,14DN45CS120,25.56
14,DN45,CS,140,14DN45CS140,32.488
14,DN45,CS,160,14DN45CS160,42.56
14,DN45,CS,STD,14DN45CSSTD,9.448
14,DN45,CS,XS,14DN45CSXS,11.56
14,DN45,CS,XXS,14DN45CSXXS,42.56
14,DN45,HAST,40S,14DN45HAST40S,28.344
14,DN45,INCONEL,10S,14DN45INCONEL10S,23.62
14,DN45,INCONEL,20,14DN45INCONEL20,23.62
14,DN45,INCONEL,30,14DN45INCONEL30,23.62
14,DN45,INCONEL,40,14DN45INCONEL40,26.4
14,DN45,INCONEL,60,14DN45INCONEL60,34.16
14,DN45,INCONEL,80,14DN45INCONEL80,40.74
14,DN45,INCONEL,100,14DN45INCONEL100,51.4
14,DN45,INCONEL,120,14DN45INCONEL120,63.9
14,DN45,INCONEL,140,14DN45INCONEL140,81.22
14,DN45,INCONEL,160,14DN45INCONEL160,106.4
14,DN45,INCONEL,40S,14DN45INCONEL40S,23.62
14,DN45,INCONEL,80S,14DN45INCONEL80S,28.9
14,DN45,INCONEL,XXS,14DN45INCONELXXS,106.4
14,DN45,NICKEL,10S,14DN45NICKEL10S,28.344
14,DN45,NICKEL,20,14DN45NICKEL20,28.344
14,DN45,NICKEL,30,14DN45NICKEL30,28.344
14,DN45,NICKEL,40,14DN45NICKEL40,31.68
14,DN45,NICKEL,60,14DN45NICKEL60,40.992
14,DN45,NICKEL,80,14DN45NICKEL80,48.888
14,DN45,NICKEL,100,14DN45NICKEL100,61.68
14,DN45,NICKEL,120,14DN45NICKEL120,76.68
14,DN45,NICKEL,140,14DN45NICKEL140,97.464
14,DN45,NICKEL,160,14DN45NICKEL160,127.68
14,DN45,NICKEL,40S,14DN45NICKEL40S,28.344
14,DN45,NICKEL,80S,14DN45NICKEL80S,34.68
14,DN45,NICKEL,XXS,14DN45NICKELXXS,127.68
14,DN45,P11,20,14DN45P1120,35.264
14,DN45,P11,30,14DN45P1130,35.264
14,DN45,P11,40,14DN45P1140,38
14,DN45,P11,60,14DN45P1160,48.16
14,DN45,P11,80,14DN45P1180,59.712
14,DN45,P11,100,14DN45P11100,77.408
14,DN45,P11,120,14DN45P11120,94.896
14,DN45,P11,140,14DN45P11140,114.528
14,DN45,P11,160,14DN45P11160,138.608
14,DN45,P11,STD,14DN45P11STD,35.264
14,DN45,P11,XS,14DN45P11XS,39.04
14,DN45,P11,XXS,14DN45P11XXS,138.608
14,DN45,P5,160,14DN45P5160,138.608
14,DN45,P9,20,14DN45P920,23.62
14,DN45,P9,30,14DN45P930,23.62
14,DN45,P9,40,14DN45P940,26.4
14,DN45,P9,60,14DN45P960,34.16
14,DN45,P9,80,14DN45P980,40.74
14,DN45,P9,100,14DN45P9100,51.4
14,DN45,P9,120,14DN45P9120,63.9
14,DN45,P9,140,14DN45P9140,81.22
14,DN45,P9,160,14DN45P9160,106.4
14,DN45,P9,STD,14DN45P9STD,23.62
14,DN45,P9,XS,14DN45P9XS,28.9
14,DN45,P9,XXS,14DN45P9XXS,106.4
14,DN45,SS,10S,14DN45SS10S,16.534
14,DN45,SS,160S,14DN45SS160S,74.48
14,DN45,SS,40S,14DN45SS40S,16.534
14,DN45,SS,5S,14DN45SS5S,16.534
14,DN45,SS,80S,14DN45SS80S,20.23
14,DN45,SS,40,14DN45SS40,18.48
14,DN45,SS,80,14DN45SS80,28.518
14,DN45,TI,10S,14DN45TI10S,28.344
14,DN90,321,20,14DN9032120,14.9
14,DN90,321,30,14DN9032130,14.9
14,DN90,321,40,14DN9032140,17.78
14,DN90,321,60,14DN9032160,24.04
14,DN90,321,80,14DN9032180,31.72
14,DN90,321,100,14DN90321100,42.8
14,DN90,321,120,14DN90321120,55.26
14,DN90,321,140,14DN90321140,68.26
14,DN90,321,160,14DN90321160,79.78
14,DN90,321,40S,14DN9032140S,14.9
14,DN90,321,80S,14DN9032180S,18.76
14,DN90,321,XXS,14DN90321XXS,79.78
14,DN90,347,20,14DN9034720,14.9
14,DN90,347,30,14DN9034730,14.9
14,DN90,347,40,14DN9034740,17.78
14,DN90,347,60,14DN9034760,24.04
14,DN90,347,80,14DN9034780,31.72
14,DN90,347,100,14DN90347100,42.8
14,DN90,347,120,14DN90347120,55.26
14,DN90,347,140,14DN90347140,68.26
14,DN90,347,160,14DN90347160,79.78
14,DN90,347,40S,14DN9034740S,14.9
14,DN90,347,80S,14DN9034780S,18.76
14,DN90,347,XXS,14DN90347XXS,79.78
14,DN90,904L,20,14DN90904L20,14.9
14,DN90,904L,30,14DN90904L30,14.9
14,DN90,904L,40,14DN90904L40,17.78
14,DN90,904L,60,14DN90904L60,24.04
14,DN90,904L,80,14DN90904L80,31.72
14,DN90,904L,100,14DN90904L100,42.8
14,DN90,904L,120,14DN90904L120,55.26
14,DN90,904L,140,14DN90904L140,68.26
14,DN90,904L,160,14DN90904L160,79.78
14,DN90,904L,40S,14DN90904L40S,14.9
14,DN90,904L,80S,14DN90904L80S,18.76
14,DN90,904L,XXS,14DN90904LXXS,79.78
14,DN90,A20,10S,14DN90A2010S,14.9
14,DN90,A20,20,14DN90A2020,14.9
14,DN90,A20,30,14DN90A2030,14.9
14,DN90,A20,40,14DN90A2040,17.78
14,DN90,A20,60,14DN90A2060,24.04
14,DN90,A20,80,14DN90A2080,31.72
14,DN90,A20,100,14DN90A20100,42.8
14,DN90,A20,120,14DN90A20120,55.26
14,DN90,A20,140,14DN90A20140,68.26
14,DN90,A20,160,14DN90A20160,79.78
14,DN90,A20,40S,14DN90A2040S,14.9
14,DN90,A20,80S,14DN90A2080S,18.76
14,DN90,A20,XXS,14DN90A20XXS,79.78
14,DN90,A333,20,14DN90A33320,5.96
14,DN90,A333,30,14DN90A33330,5.96
14,DN90,A333,40,14DN90A33340,7.112
14,DN90,A333,60,14DN90A33360,9.616
14,DN90,A333,80,14DN90A33380,12.688
14,DN90,A333,100,14DN90A333100,17.12
14,DN90,A333,120,14DN90A333120,22.104
14,DN90,A333,140,14DN90A333140,27.304
14,DN90,A333,160,14DN90A333160,31.912
14,DN90,A333,STD,14DN90A333STD,5.96
14,DN90,A333,XS,14DN90A333XS,7.504
14,DN90,A333,XXS,14DN90A333XXS,31.912
14,DN90,AL,20,14DN90AL20,17.88
14,DN90,AL,30,14DN90AL30,17.88
14,DN90,AL,40,14DN90AL40,21.336
14,DN90,AL,60,14DN90AL60,28.848
14,DN90,AL,80,14DN90AL80,38.064
14,DN90,AL,100,14DN90AL100,51.36
14,DN90,AL,120,14DN90AL120,66.312
14,DN90,AL,140,14DN90AL140,81.912
14,DN90,AL,160,14DN90AL160,95.736
14,DN90,AL,STD,14DN90ALSTD,17.88
14,DN90,AL,XS,14DN90ALXS,22.512
14,DN90,AL,XXS,14DN90ALXXS,95.736
14,DN90,CS,20,14DN90CS20,5.96
14,DN90,CS,30,14DN90CS30,5.96
14,DN90,CS,40,14DN90CS40,7.112
14,DN90,CS,60,14DN90CS60,9.616
14,DN90,CS,80,14DN90CS80,12.688
14,DN90,CS,100,14DN90CS100,17.12
14,DN90,CS,120,14DN90CS120,22.104
14,DN90,CS,140,14DN90CS140,27.304
14,DN90,CS,160,14DN90CS160,31.912
14,DN90,CS,STD,14DN90CSSTD,5.96
14,DN90,CS,XS,14DN90CSXS,7.504
14,DN90,CS,XXS,14DN90CSXXS,31.912
14,DN90,DUPLEX,10S,14DN90DUPLEX10S,14.9
14,DN90,DUPLEX,20,14DN90DUPLEX20,14.9
14,DN90,DUPLEX,30,14DN90DUPLEX30,14.9
14,DN90,DUPLEX,40,14DN90DUPLEX40,17.78
14,DN90,DUPLEX,60,14DN90DUPLEX60,24.04
14,DN90,DUPLEX,80,14DN90DUPLEX80,31.72
14,DN90,DUPLEX,100,14DN90DUPLEX100,42.8
14,DN90,DUPLEX,120,14DN90DUPLEX120,55.26
14,DN90,DUPLEX,140,14DN90DUPLEX140,68.26
14,DN90,DUPLEX,160,14DN90DUPLEX160,79.78
14,DN90,DUPLEX,40S,14DN90DUPLEX40S,14.9
14,DN90,DUPLEX,80S,14DN90DUPLEX80S,18.76
14,DN90,DUPLEX,XXS,14DN90DUPLEXXXS,79.78
14,DN90,HAST,10S,14DN90HAST10S,17.88
14,DN90,HAST,20,14DN90HAST20,17.88
14,DN90,HAST,30,14DN90HAST30,17.88
14,DN90,HAST,40,14DN90HAST40,21.336
14,DN90,HAST,60,14DN90HAST60,28.848
14,DN90,HAST,80,14DN90HAST80,38.064
14,DN90,HAST,100,14DN90HAST100,51.36
14,DN90,HAST,120,14DN90HAST120,66.312
14,DN90,HAST,140,14DN90HAST140,81.912
14,DN90,HAST,160,14DN90HAST160,95.736
14,DN90,HAST,40S,14DN90HAST40S,17.88
14,DN90,HAST,80S,14DN90HAST80S,22.512
14,DN90,HAST,XXS,14DN90HASTXXS,95.736
14,DN90,INCONEL,10S,14DN90INCONEL10S,14.9
14,DN90,INCONEL,20,14DN90INCONEL20,14.9
14,DN90,INCONEL,30,14DN90INCONEL30,14.9
14,DN90,INCONEL,40,14DN90INCONEL40,17.78
14,DN90,INCONEL,60,14DN90INCONEL60,24.04
14,DN90,INCONEL,80,14DN90INCONEL80,31.72
14,DN90,INCONEL,100,14DN90INCONEL100,42.8
14,DN90,INCONEL,120,14DN90INCONEL120,55.26
14,DN90,INCONEL,140,14DN90INCONEL140,68.26
14,DN90,INCONEL,160,14DN90INCONEL160,79.78
14,DN90,INCONEL,40S,14DN90INCONEL40S,14.9
14,DN90,INCONEL,80S,14DN90INCONEL80S,18.76
14,DN90,INCONEL,XXS,14DN90INCONELXXS,79.78
14,DN90,MONEL,10S,14DN90MONEL10S,14.9
14,DN90,MONEL,20,14DN90MONEL20,14.9
14,DN90,MONEL,30,14DN90MONEL30,14.9
14,DN90,MONEL,40,14DN90MONEL40,17.78
14,DN90,MONEL,60,14DN90MONEL60,24.04
14,DN90,MONEL,80,14DN90MONEL80,31.72
14,DN90,MONEL,100,14DN90MONEL100,42.8
14,DN90,MONEL,120,14DN90MONEL120,55.26
14,DN90,MONEL,140,14DN90MONEL140,68.26
14,DN90,MONEL,160,14DN90MONEL160,79.78
14,DN90,MONEL,40S,14DN90MONEL40S,14.9
14,DN90,MONEL,80S,14DN90MONEL80S,18.76
14,DN90,MONEL,XXS,14DN90MONELXXS,79.78
14,DN90,NICKEL,10S,14DN90NICKEL10S,17.88
14,DN90,NICKEL,20,14DN90NICKEL20,17.88
14,DN90,NICKEL,30,14DN90NICKEL30,17.88
14,DN90,NICKEL,40,14DN90NICKEL40,21.336
14,DN90,NICKEL,60,14DN90NICKEL60,28.848
14,DN90,NICKEL,80,14DN90NICKEL80,38.064
14,DN90,NICKEL,100,14DN90NICKEL100,51.36
14,DN90,NICKEL,120,14DN90NICKEL120,66.312
14,DN90,NICKEL,140,14DN90NICKEL140,81.912
14,DN90,NICKEL,160,14DN90NICKEL160,95.736
14,DN90,NICKEL,40S,14DN90NICKEL40S,17.88
14,DN90,NICKEL,80S,14DN90NICKEL80S,22.512
14,DN90,NICKEL,XXS,14DN90NICKELXXS,95.736
14,DN90,P11,20,14DN90P1120,11.92
14,DN90,P11,30,14DN90P1130,11.92
14,DN90,P11,40,14DN90P1140,14.224
14,DN90,P11,60,14DN90P1160,19.232
14,DN90,P11,80,14DN90P1180,25.376
14,DN90,P11,100,14DN90P11100,34.24
14,DN90,P11,120,14DN90P11120,44.208
14,DN90,P11,140,14DN90P11140,54.608
14,DN90,P11,160,14DN90P11160,63.824
14,DN90,P11,STD,14DN90P11STD,11.92
14,DN90,P11,XS,14DN90P11XS,15.008
14,DN90,P11,XXS,14DN90P11XXS,63.824
14,DN90,P22,20,14DN90P2220,14.9
14,DN90,P22,30,14DN90P2230,14.9
14,DN90,P22,40,14DN90P2240,17.78
14,DN90,P22,60,14DN90P2260,24.04
14,DN90,P22,80,14DN90P2280,31.72
14,DN90,P22,100,14DN90P22100,42.8
14,DN90,P22,120,14DN90P22120,55.26
14,DN90,P22,140,14DN90P22140,68.26
14,DN90,P22,160,14DN90P22160,79.78
14,DN90,P22,STD,14DN90P22STD,14.9
14,DN90,P22,XS,14DN90P22XS,18.76
14,DN90,P22,XXS,14DN90P22XXS,79.78
14,DN90,P5,20,14DN90P520,11.92
14,DN90,P5,30,14DN90P530,11.92
14,DN90,P5,40,14DN90P540,14.224
14,DN90,P5,60,14DN90P560,19.232
14,DN90,P5,80,14DN90P580,25.376
14,DN90,P5,100,14DN90P5100,34.24
14,DN90,P5,120,14DN90P5120,44.208
14,DN90,P5,140,14DN90P5140,54.608
14,DN90,P5,160,14DN90P5160,63.824
14,DN90,P5,STD,14DN90P5STD,11.92
14,DN90,P5,XS,14DN90P5XS,15.008
14,DN90,P5,XXS,14DN90P5XXS,63.824
14,DN90,P9,20,14DN90P920,14.9
14,DN90,P9,30,14DN90P930,14.9
14,DN90,P9,40,14DN90P940,17.78
14,DN90,P9,60,14DN90P960,24.04
14,DN90,P9,80,14DN90P980,31.72
14,DN90,P9,100,14DN90P9100,42.8
14,DN90,P9,120,14DN90P9120,55.26
14,DN90,P9,140,14DN90P9140,68.26
14,DN90,P9,160,14DN90P9160,79.78
14,DN90,P9,STD,14DN90P9STD,14.9
14,DN90,P9,XS,14DN90P9XS,18.76
14,DN90,P9,XXS,14DN90P9XXS,79.78
14,DN90,SS,10S,14DN90SS10S,10.43
14,DN90,SS,20S,14DN90SS20S,10.43
14,DN90,SS,40S,14DN90SS40S,10.43
14,DN90,SS,5S,14DN90SS5S,10.43
14,DN90,SS,80S,14DN90SS80S,13.132
14,DN90,SS,20,14DN90SS20,12.446
14,DN90,SS,40,14DN90SS40,12.446
14,DN90,SS,80,14DN90SS80,22.204
14,DN90,TI,10S,14DN90TI10S,17.88
14,DN90,TI,20,14DN90TI20,17.88
14,DN90,TI,30,14DN90TI30,17.88
14,DN90,TI,40,14DN90TI40,21.336
14,DN90,TI,60,14DN90TI60,28.848
14,DN90,TI,80,14DN90TI80,38.064
14,DN90,TI,100,14DN90TI100,51.36
14,DN90,TI,120,14DN90TI120,66.312
14,DN90,TI,140,14DN90TI140,81.912
14,DN90,TI,160,14DN90TI160,95.736
14,DN90,TI,STD,14DN90TISTD,17.88
14,DN90,TI,XS,14DN90TIXS,22.512
14,DN90,TI,XXS,14DN90TIXXS,95.736
14,DRN45,CS,20,14DRN45CS20,17.632
14,DRN45,CS,30,14DRN45CS30,17.632
14,DRN45,CS,40,14DRN45CS40,19
14,DRN45,CS,60,14DRN45CS60,24.08
14,DRN45,CS,80,14DRN45CS80,29.856
14,DRN45,CS,100,14DRN45CS100,6.704
