,1462,,,,,,1419,1326,1316,1310,24,0,1182,0,485,992,134,244,280,,,,
SHOP,ISO NO.,PIECE MARK,PA,REF. DWG.,PAINT SYS.,TOP COAT,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,DATE TO STRESS,BACK AT SHOP,SHOP QC,CLIENT QC,READY TO SHIP COATING,SHIP TO COATING,APPROVAL TO SHIP,READY TO SHIP,TO SITE,LOAD NO.,SPEC.,FAB CODE,PHASE
BR        ,785-B,6951-785-B,#N/A,30B-LO-6418303-01,NONE                     ,-                   ,06/24/2020,06/30/2020,06/30/2020,06/30/2020,,,07/08/2020,,,,,,,B3003     ,G3K-1     ,B31.3          ,30B       
BR        ,786-A,6951-786-A,#N/A,30B-LO-6418304-01,NONE                     ,-                   ,06/24/2020,06/30/2020,07/01/2020,07/01/2020,,,07/08/2020,,,,,,,B3003     ,G3K-1     ,B31.3          ,30B       
BR        ,786-B,6951-786-B,#N/A,30B-LO-6418304-01,NONE                     ,-                   ,06/24/2020,06/30/2020,07/01/2020,07/01/2020,,,07/08/2020,,,,,,,B3003     ,G3K-1     ,B31.3          ,30B       
BR        ,787-A,6951-787-A,#N/A,30B-LO-6418305-01,NONE                     ,-                   ,06/24/2020,06/30/2020,06/30/2020,06/30/2020,,,07/08/2020,,,,,,,B3003     ,G3K-1     ,B31.3          ,30B       
BR        ,787-B,6951-787-B,#N/A,30B-LO-6418305-01,NONE                     ,-                   ,06/24/2020,06/30/2020,07/01/2020,07/01/2020,,,07/08/2020,,,,,,,B3003     ,G3K-1     ,B31.3          ,30B       
BR        ,816-A,6951-816-A,#N/A,14B-DW-6197056-01,NONE                     ,-                   ,04/29/2020,04/30/2020,05/07/2020,05/07/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1U-8-TP1 ,B31.3          ,14B       
BR        ,816-B,6951-816-B,#N/A,14B-DW-6197056-01,NONE                     ,-                   ,04/20/2020,04/21/2020,04/21/2020,04/21/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1U-8-TP1 ,B31.3          ,14B       
BR        ,817-C,6951-817-C,#N/A,14B-DW-6197056-02,NONE                     ,-                   ,04/20/2020,04/21/2020,04/21/2020,04/21/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1U-8-TP1 ,B31.3          ,14B       
BR        ,818-A,6951-818-A,#N/A,14B-DW-6197056-03,NONE                     ,-                   ,04/29/2020,05/04/2020,05/11/2020,05/11/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1U-8-TP1 ,B31.3          ,14B       
BR        ,832-A,6951-832-A,#N/A,16B-NG-6122404-01,NONE                     ,-                   ,06/24/2020,06/29/2020,06/29/2020,06/29/2020,,,07/08/2020,,,,,,,B3003     ,G1K-1     ,B31.3          ,16B       
BR        ,832-B,6951-832-B,#N/A,16B-NG-6122404-01,NONE                     ,-                   ,06/24/2020,06/29/2020,06/29/2020,06/29/2020,,,07/08/2020,,,,,,,B3003     ,G1K-1     ,B31.3          ,16B       
BR        ,833-A,6951-833-A,#N/A,16B-NG-6122405-01,NONE                     ,-                   ,06/24/2020,06/29/2020,06/29/2020,06/29/2020,,,07/08/2020,,,,,,,B3003     ,G1K-1     ,B31.3          ,16B       
BR        ,833-B,6951-833-B,#N/A,16B-NG-6122405-01,NONE                     ,-                   ,06/24/2020,06/29/2020,06/29/2020,06/29/2020,,,07/08/2020,,,,,,,B3003     ,G1K-1     ,B31.3          ,16B       
BR        ,834-A,6951-834-A,#N/A,16B-NG-6122411-01,NONE                     ,-                   ,06/24/2020,06/29/2020,06/29/2020,06/29/2020,,,07/08/2020,,,,,,,B3003     ,G1K-1     ,B31.3          ,16B       
BR        ,834-B,6951-834-B,#N/A,16B-NG-6122411-01,NONE                     ,-                   ,06/24/2020,06/29/2020,06/29/2020,06/29/2020,,,07/08/2020,,,,,,,B3003     ,G1K-1     ,B31.3          ,16B       
BR        ,835-A,6951-835-A,#N/A,16B-NG-6122412-01,NONE                     ,-                   ,06/24/2020,06/29/2020,06/29/2020,06/29/2020,,,07/08/2020,,,,,,,B3003     ,G1K-1     ,B31.3          ,16B       
BR        ,835-B,6951-835-B,#N/A,16B-NG-6122412-01,NONE                     ,-                   ,06/24/2020,06/29/2020,06/29/2020,06/29/2020,,,07/08/2020,,,,,,,B3003     ,G1K-1     ,B31.3          ,16B       
BR        ,836-A,6951-836-A,#N/A,16B-NG-6122413-01,NONE                     ,-                   ,06/24/2020,06/29/2020,06/29/2020,06/29/2020,,,07/08/2020,,,,,,,B3003     ,G1K-1     ,B31.3          ,16B       
BR        ,836-B,6951-836-B,#N/A,16B-NG-6122413-01,NONE                     ,-                   ,06/24/2020,06/29/2020,06/29/2020,06/29/2020,,,07/08/2020,,,,,,,B3003     ,G1K-1     ,B31.3          ,16B       
PA        ,72-C,6951-72-C,#N/A,13A-P-6118109-01,6                        ,BEIGE 88023         ,06/15/2020,06/18/2020,06/24/2020,06/24/2020,,,07/09/2020,,07/09/2020,07/09/2020,,,,P2034     ,G3A-3     ,B31.3          ,13A       
PA        ,68-B,6951-68-B,#N/A,13A-P-6118102-02,6                        ,BEIGE 88023         ,06/11/2020,06/24/2020,06/29/2020,06/30/2020,,,,,,,,,,P2035     ,G3A-3     ,B31.3          ,13A       
PA        ,124-A,6951-124-A,6951-124-A,13B-CD-6119320-01,4                        ,BEIGE 88023         ,06/29/2020,,,,,,,,,,,,,,G3A-3     ,B31.3          ,13B       
PA        ,128-A,6951-128-A,6951-128-A,13B-CWR-6125122-01,1                        ,BEIGE 88023         ,06/29/2020,,,,,,,,,,,,,,G1U-4-TP1 ,B31.3          ,13B       
PA        ,128-B,6951-128-B,6951-128-B,13B-CWR-6125122-01,1                        ,BEIGE 88023         ,06/29/2020,07/02/2020,07/06/2020,07/06/2020,,,,,,,,,,,G1U-4-TP1 ,B31.3          ,13B       
PA        ,128-D,6951-128-D,6951-128-D,13B-CWR-6125122-01,1                        ,BEIGE 88023         ,,,,,,,,,,,,,,,G1U-4-TP1 ,B31.3          ,13B       
PA        ,132-A,6951-132-A,6951-132-A,13B-CWS-6125123-01,1                        ,BEIGE 88023         ,06/29/2020,,,,,,,,,,,,,,G1U-4-TP1 ,B31.3          ,13B       
PA        ,132-B,6951-132-B,6951-132-B,13B-CWS-6125123-01,1                        ,BEIGE 88023         ,06/29/2020,07/02/2020,07/02/2020,07/06/2020,,,,,,,,,,,G1U-4-TP1 ,B31.3          ,13B       
PA        ,132-D,6951-132-D,6951-132-D,13B-CWS-6125123-01,1                        ,BEIGE 88023         ,,,,,,,,,,,,,,,G1U-4-TP1 ,B31.3          ,13B       
PA        ,133-C,6951-133-C,6951-133-C,13B-P-6119303-02,6A                       ,ALUMINUM            ,06/29/2020,,,,,,,,,,,,,,G9A-11    ,B31.3          ,13B       
PA        ,134-A,6951-134-A,6951-134-A,13B-P-6119304-03,4                        ,ALUMINUM            ,,,,,,,,,,,,,,,G9A-11    ,B31.3          ,13B       
PA        ,134-B,6951-134-B,6951-134-B,13B-P-6119304-03,4                        ,ALUMINUM            ,,,,,,,,,,,,,,,G9A-11    ,B31.3          ,13B       
PA        ,134-C,6951-134-C,6951-134-C,13B-P-6119304-03,4                        ,ALUMINUM            ,06/29/2020,,,,,,,,,,,,,,G9A-11    ,B31.3          ,13B       
PA        ,135-A,6951-135-A,#N/A,13B-P-6119305-01,4                        ,ALUMINUM            ,06/01/2020,06/22/2020,06/23/2020,06/23/2020,,,,,,,,,,,G9A-11    ,B31.3          ,13B       
PA        ,135-C,6951-135-C,#N/A,13B-P-6119305-01,4                        ,ALUMINUM            ,06/01/2020,06/18/2020,06/23/2020,06/24/2020,,,,,,,,,,,G9A-11    ,B31.3          ,13B       
PA        ,137-A,6951-137-A,#N/A,13B-P-6119308-01,6A                       ,ALUMINUM            ,06/01/2020,07/09/2020,,,,,,,,,,,,,G9A-11    ,B31.3          ,13B       
PA        ,137-B,6951-137-B,#N/A,13B-P-6119308-01,6A                       ,ALUMINUM            ,06/18/2020,,,,,,,,,,,,,,G9A-11    ,B31.3          ,13B       
PA        ,139-C,6951-139-C,#N/A,13B-P-6119308-03,6A                       ,ALUMINUM            ,06/11/2020,,,,,,,,,,,,,,G9A-11    ,B31.3          ,13B       
PA        ,141-A,6951-141-A,6951-141-A,13B-P-6119321-01,4a                       ,ALUMINUM            ,06/29/2020,,,,,,,,,,,,,,G1A-3     ,B31.3          ,13B       
PA        ,141-B,6951-141-B,6951-141-B,13B-P-6119321-01,4a                       ,ALUMINUM            ,06/29/2020,,,,,,,,,,,,,,G1A-3     ,B31.3          ,13B       
PA        ,143-C,6951-143-C,#N/A,13B-P-6119328-02,6A                       ,ALUMINUM            ,06/11/2020,,,,,,,,,,,,,,G9A-11    ,B31.3          ,13B       
PA        ,144-A,6951-144-A,#N/A,13B-P-6119328-03,6a                       ,ALUMINUM            ,06/15/2020,,,,,,,,,,,,,,G9A-11    ,B31.3          ,13B       
PA        ,144-B,6951-144-B,#N/A,13B-P-6119328-03,6A                       ,ALUMINUM            ,06/18/2020,07/09/2020,07/09/2020,,,,,,,,,,,,G9A-11    ,B31.3          ,13B       
PA        ,366-C,6951-366-C,#N/A,13B-P-6119303-01,6A                       ,ALUMINUM            ,06/03/2020,06/22/2020,06/23/2020,06/23/2020,,,,,,,,,,,G9A-11    ,B31.3          ,13B       
PA        ,796-B,6951-796-B,6951-796-B,13B-P-6119308-04,6A                       ,ALUMINUM            ,,,,,,,,,,,,,,,G9A-11    ,B31.3          ,13B       
PA        ,796-C,6951-796-C,6951-796-C,13B-P-6119308-04,6A                       ,ALUMINUM            ,,,,,,,,,,,,,,,G9A-11    ,B31.3          ,13B       
PA        ,862-A,6951-862-A,6951-862-A,13B-P-6119306-02,4                        ,ALUMINUM            ,06/29/2020,,,,,,,,,,,,,,G9A-11    ,B31.3          ,13B       
PA        ,140-A,6951-140-A,#N/A,13B-P-6119317-01,4                        ,ALUMINUM            ,06/01/2020,06/11/2020,06/11/2020,06/11/2020,,,06/23/2020,,06/23/2020,06/23/2020,,,,P2026     ,G9A-11    ,B31.3          ,13B       
PA        ,140-B,6951-140-B,#N/A,13B-P-6119317-01,4                        ,ALUMINUM            ,06/01/2020,06/11/2020,06/11/2020,06/15/2020,,,06/23/2020,,06/23/2020,06/23/2020,,,,P2026     ,G9A-11    ,B31.3          ,13B       
PA        ,143-A,6951-143-A,#N/A,13B-P-6119328-02,6A                       ,ALUMINUM            ,06/03/2020,06/17/2020,06/17/2020,06/18/2020,,,06/23/2020,,06/23/2020,06/23/2020,,,,P2026     ,G9A-11    ,B31.3          ,13B       
PA        ,125-A,6951-125-A,#N/A,13B-CWR-6119380-01,1                        ,BEIGE 88023         ,03/23/2020,03/25/2020,03/25/2020,03/26/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G1U-4-TP1 ,B31.3          ,13B       
PA        ,126-A,6951-126-A,#N/A,13B-CWR-6119382-01,1                        ,BEIGE 88023         ,03/23/2020,03/25/2020,03/25/2020,03/26/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G1U-4-TP1 ,B31.3          ,13B       
PA        ,129-A,6951-129-A,#N/A,13B-CWS-6119379-01,1                        ,BEIGE 88023         ,03/23/2020,03/25/2020,03/25/2020,03/26/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G1U-4-TP1 ,B31.3          ,13B       
PA        ,130-A,6951-130-A,#N/A,13B-CWS-6119381-01,1                        ,BEIGE 88023         ,03/23/2020,03/25/2020,03/25/2020,03/26/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G1U-4-TP1 ,B31.3          ,13B       
PA        ,138-A,6951-138-A,#N/A,13B-P-6119308-02,4                        ,ALUMINUM            ,06/01/2020,06/16/2020,06/17/2020,06/17/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G9A-11    ,B31.3          ,13B       
PA        ,142-A,6951-142-A,#N/A,13B-P-6119328-01,4                        ,ALUMINUM            ,06/01/2020,06/08/2020,06/09/2020,06/10/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G9A-11    ,B31.3          ,13B       
PA        ,142-B,6951-142-B,#N/A,13B-P-6119328-01,4                        ,ALUMINUM            ,06/01/2020,06/11/2020,06/11/2020,06/11/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G9A-11    ,B31.3          ,13B       
PA        ,145-A,6951-145-A,#N/A,13B-P-6119328-04,4                        ,ALUMINUM            ,06/01/2020,06/09/2020,06/10/2020,06/11/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G9A-11    ,B31.3          ,13B       
PA        ,133-B,6951-133-B,#N/A,13B-P-6119303-02,6A                       ,ALUMINUM            ,06/03/2020,06/18/2020,06/18/2020,06/22/2020,,,06/24/2020,,06/24/2020,06/25/2020,,,,P2029     ,G9A-11    ,B31.3          ,13B       
PA        ,135-B,6951-135-B,#N/A,13B-P-6119305-01,4                        ,ALUMINUM            ,06/01/2020,06/18/2020,06/22/2020,06/23/2020,,,06/24/2020,,06/24/2020,06/25/2020,,,,P2029     ,G9A-11    ,B31.3          ,13B       
PA        ,139-A,6951-139-A,#N/A,13B-P-6119308-03,6A                       ,ALUMINUM            ,06/03/2020,06/18/2020,06/18/2020,06/22/2020,,,07/01/2020,,07/01/2020,07/02/2020,,,,P2031     ,G9A-11    ,B31.3          ,13B       
PA        ,366-D,6951-366-D,#N/A,13B-P-6119303-01,6A                       ,ALUMINUM            ,06/03/2020,06/23/2020,06/24/2020,06/24/2020,,,07/01/2020,,07/01/2020,07/02/2020,,,,P2031     ,G9A-11    ,B31.3          ,13B       
PA        ,367-B,6951-367-B,#N/A,13B-P-6119304-01,6A                       ,ALUMINUM            ,06/01/2020,06/22/2020,06/24/2020,06/24/2020,,,07/01/2020,,07/01/2020,07/02/2020,,,,P2031     ,G9A-11    ,B31.3          ,13B       
PA        ,366-B,6951-366-B,#N/A,13B-P-6119303-01,6A                       ,ALUMINUM            ,06/01/2020,06/23/2020,06/24/2020,06/25/2020,,,07/07/2020,,07/07/2020,07/07/2020,,,,P2032     ,G9A-11    ,B31.3          ,13B       
PA        ,136-A,6951-136-A,#N/A,13B-P-6119306-03,4                        ,ALUMINUM            ,06/01/2020,06/22/2020,06/23/2020,06/24/2020,,,,,,,,,,P2035     ,G9A-11    ,B31.3          ,13B       
PA        ,368-A,6951-368-A,#N/A,13B-P-6119304-02,6A                       ,ALUMINUM            ,06/01/2020,06/23/2020,06/25/2020,06/25/2020,,,,,,,,,,P2035     ,G9A-11    ,B31.3          ,13B       
PA        ,368-B,6951-368-B,#N/A,13B-P-6119304-02,6A                       ,ALUMINUM            ,06/01/2020,06/23/2020,06/29/2020,06/30/2020,,,,,,,,,,P2035     ,G9A-11    ,B31.3          ,13B       
PA        ,368-C,6951-368-C,#N/A,13B-P-6119304-02,6a                       ,ALUMINUM            ,03/23/2020,03/26/2020,03/26/2020,03/30/2020,,,06/03/2020,,,05/11/2020,,06/23/2020,06/30/2020,P4002     ,G9A-11    ,B31.3          ,13B       
PA        ,133-A,6951-133-A,#N/A,13B-P-6119303-02,6a                       ,ALUMINUM            ,03/23/2020,03/28/2020,03/30/2020,03/30/2020,,,06/03/2020,,05/06/2020,05/07/2020,,06/24/2020,06/25/2020,P4004     ,G9A-11    ,B31.3          ,13B       
PA        ,139-B,6951-139-B,#N/A,13B-P-6119308-03,6a                       ,ALUMINUM            ,03/23/2020,03/28/2020,03/30/2020,03/30/2020,,,06/03/2020,,05/06/2020,05/07/2020,,06/24/2020,06/25/2020,P4004     ,G9A-11    ,B31.3          ,13B       
PA        ,140-C,6951-140-C,#N/A,13B-P-6119317-01,4                        ,ALUMINUM            ,03/23/2020,03/25/2020,03/25/2020,03/27/2020,,,06/03/2020,,05/06/2020,05/07/2020,,06/24/2020,06/25/2020,P4004     ,G9A-11    ,B31.3          ,13B       
PA        ,143-B,6951-143-B,#N/A,13B-P-6119328-02,6a                       ,ALUMINUM            ,03/23/2020,03/29/2020,03/31/2020,03/31/2020,,,06/03/2020,,05/06/2020,05/07/2020,,06/24/2020,06/25/2020,P4004     ,G9A-11    ,B31.3          ,13B       
PA        ,366-E,6951-366-E,#N/A,13B-P-6119303-01,6a                       ,ALUMINUM            ,03/23/2020,03/28/2020,03/28/2020,03/29/2020,,,06/03/2020,,05/06/2020,05/07/2020,,06/24/2020,06/25/2020,P4004     ,G9A-11    ,B31.3          ,13B       
PA        ,123-A,6951-123-A,#N/A,13B-CD-6119315-01,4                        ,BEIGE 88023         ,03/31/2020,04/13/2020,04/14/2020,04/14/2020,,,06/03/2020,,05/12/2020,05/13/2020,07/13/2020,,,P4006     ,G3A-3     ,B31.3          ,13B       
PA        ,123-C,6951-123-C,#N/A,13B-CD-6119315-01,4                        ,BEIGE 88023         ,03/31/2020,04/14/2020,04/14/2020,04/14/2020,,,06/03/2020,,05/12/2020,05/13/2020,07/13/2020,,,P4006     ,G3A-3     ,B31.3          ,13B       
PA        ,541-B,6951-541-B,#N/A,13C-P-6118608-01,4                        ,ALUMINUM            ,06/24/2020,,,,,,,,,,,,,,G3A-3     ,B31.3          ,13C       
PA        ,541-C,6951-541-C,6951-541-C,13C-P-6118608-01,4                        ,ALUMINUM            ,06/29/2020,,,,,,,,,,,,,,G3A-3     ,B31.3          ,13C       
PA        ,565-C,6951-565-C,#N/A,13C-P-6119109-01,6                        ,ALUMINUM            ,06/18/2020,,,,,,,,,,,,,,G6A-1     ,B31.3          ,13C       
PA        ,582-A,6951-582-A,6951-582-A,13C-TRIM-6119143-02,6                        ,ALUMINUM            ,06/29/2020,07/09/2020,,,,,,,,,,,,,G6A-1     ,B31.3          ,13C       
PA        ,741-A,6951-741-A,6951-741-A,13C-CWR-6190202-01,1                        ,BEIGE 88023         ,06/29/2020,07/08/2020,07/09/2020,,,,,,,,,,,,G1U-4-TP1 ,B31.3          ,13C       
PA        ,744-B,6951-744-B,6951-744-B,13C-CWS-6190201-01,1                        ,BEIGE 88023         ,06/29/2020,,,,,,,,,,,,,,G1U-4-TP1 ,B31.3          ,13C       
PA        ,755-A,6951-755-A,#N/A,13C-OW-6126615-01,1                        ,BEIGE 88023         ,03/26/2020,03/31/2020,04/03/2020,04/03/2020,,,06/23/2020,,06/23/2020,06/23/2020,,,,P2026     ,G1A-15    ,B31.3          ,13C       
PA        ,537-B,6951-537-B,#N/A,13C-P-6118020-01,4                        ,ALUMINUM            ,03/23/2020,03/25/2020,03/25/2020,03/26/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G1A-3     ,B31.3          ,13C       
PA        ,621-B,6951-621-B,#N/A,13C-FL-6119180-01,4                        ,BEIGE 88023         ,03/23/2020,03/26/2020,03/27/2020,03/27/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G6A-5     ,B31.3          ,13C       
PA        ,536-A,6951-536-A,#N/A,13C-OW-6119188-01,1                        ,BEIGE 88023         ,03/23/2020,03/26/2020,03/28/2020,03/28/2020,,,06/03/2020,,,05/11/2020,,06/23/2020,06/30/2020,P4002     ,G1A-15    ,B31.3          ,13C       
PA        ,753-A,6951-753-A,#N/A,13C-OW-6119187-02,1                        ,BEIGE 88023         ,03/26/2020,03/28/2020,03/28/2020,03/29/2020,,,06/03/2020,,,05/11/2020,,06/23/2020,06/30/2020,P4002     ,G1A-15    ,B31.3          ,13C       
PA        ,571-B,6951-571-B,#N/A,13C-P-6119117-01,4                        ,ALUMINUM            ,03/31/2020,04/16/2020,04/23/2020,04/23/2020,,,06/03/2020,,05/06/2020,05/07/2020,,06/24/2020,06/25/2020,P4004     ,G1A-3     ,B31.3          ,13C       
PA        ,574-D,6951-574-D,#N/A,13C-P-6119122-01,4                        ,ALUMINUM            ,03/31/2020,04/16/2020,04/23/2020,04/23/2020,,,06/03/2020,,05/06/2020,05/07/2020,,06/24/2020,06/25/2020,P4004     ,G6A-1     ,B31.3          ,13C       
PA        ,505-A,6951-505-A,#N/A,13C-CD-6119103-01,4                        ,BEIGE 88023         ,03/31/2020,04/27/2020,04/30/2020,04/30/2020,,,05/07/2020,,05/07/2020,05/11/2020,06/23/2020,06/23/2020,06/30/2020,P4005     ,G3A-3     ,B31.3          ,13C       
PA        ,565-D,6951-565-D,#N/A,13C-P-6119109-01,6                        ,ALUMINUM            ,03/31/2020,04/27/2020,04/27/2020,04/28/2020,,,05/07/2020,,05/07/2020,05/11/2020,06/23/2020,06/23/2020,06/30/2020,P4005     ,G6A-1     ,B31.3          ,13C       
PA        ,226-B,6951-226-B,6951-226-B,13D-CWS-6119475-01,1                        ,BEIGE 88023         ,,,,,,,,,,,,,,,G1U-4-TP1 ,B31.3          ,13D       
PA        ,251-A,6951-251-A,6951-251-A,13D-CWS-6118789-01,1                        ,BEIGE 88023         ,,,,,,,,,,,,,,,G1U-4-TP1 ,B31.3          ,13D       
PA        ,252-A,6951-252-A,6951-252-A,13D-CWS-6118790-01,1                        ,BEIGE 88023         ,,,,,,,,,,,,,,,G1U-4-TP1 ,B31.3          ,13D       
PA        ,253-A,6951-253-A,6951-253-A,13D-CWS-6119478-01,1                        ,BEIGE 88023         ,,,,,,,,,,,,,,,G1U-4-TP1 ,B31.3          ,13D       
PA        ,257-A,6951-257-A,6951-257-A,13D-OW-6119477-02,1                        ,BEIGE 88023         ,06/29/2020,,,,,,,,,,,,,,G1A-15    ,B31.3          ,13D       
PA        ,257-A,6951-257-B,6951-257-B,13D-OW-6119477-02,1                        ,BEIGE 88023         ,06/29/2020,,,,,,,,,,,,,,G1A-15    ,B31.3          ,13D       
PA        ,257-A,6951-257-C,6951-257-C,13D-OW-6119477-02,1                        ,BEIGE 88023         ,06/29/2020,,,,,,,,,,,,,,G1A-15    ,B31.3          ,13D       
PA        ,257-A,6951-257-D,6951-257-D,13D-OW-6119477-02,1                        ,BEIGE 88023         ,06/29/2020,,,,,,,,,,,,,,G1A-15    ,B31.3          ,13D       
PA        ,264-C,6951-264-C,#N/A,13D-P-6118708-01,6A                       ,ALUMINUM            ,06/11/2020,06/18/2020,06/18/2020,06/18/2020,,,,,,,,,,,G3A-3     ,B31.3          ,13D       
PA        ,265-A,6951-265-A,#N/A,13D-P-6118712-01,6A                       ,ALUMINUM            ,06/24/2020,07/02/2020,07/06/2020,07/06/2020,,,,,,,,,,,G3A-3     ,B31.3          ,13D       
PA        ,258-B,6951-258-B,#N/A,13D-P-6118702-01,6A                       ,ALUMINUM            ,05/28/2020,06/08/2020,06/09/2020,06/09/2020,,,06/25/2020,,06/11/2020,06/15/2020,,,,P2018     ,G1A-3     ,B31.3          ,13D       
PA        ,258-C,6951-258-C,#N/A,13D-P-6118702-01,6A                       ,ALUMINUM            ,05/28/2020,06/09/2020,06/09/2020,06/09/2020,,,06/25/2020,,06/11/2020,06/15/2020,,,,P2018     ,G1A-3     ,B31.3          ,13D       
PA        ,258-A,6951-258-A,#N/A,13D-P-6118702-01,6A                       ,ALUMINUM            ,05/28/2020,06/16/2020,06/17/2020,06/17/2020,,,06/23/2020,,06/23/2020,06/23/2020,,,,P2026     ,G1A-3     ,B31.3          ,13D       
PA        ,260-A,6951-260-A,#N/A,13D-P-6118706-01,6A                       ,ALUMINUM            ,05/26/2020,06/02/2020,06/03/2020,06/03/2020,,,06/23/2020,,06/23/2020,06/23/2020,,,,P2026     ,G3A-3     ,B31.3          ,13D       
PA        ,264-A,6951-264-A,#N/A,13D-P-6118708-01,6A                       ,ALUMINUM            ,05/28/2020,06/18/2020,06/18/2020,06/22/2020,,,06/23/2020,,06/23/2020,06/23/2020,,,,P2026     ,G3A-3     ,B31.3          ,13D       
PA        ,267-C,6951-267-C,#N/A,13D-P-6118712-03,6A                       ,ALUMINUM            ,06/03/2020,06/11/2020,06/11/2020,06/11/2020,,,06/23/2020,,06/23/2020,06/23/2020,,,,P2026     ,G3A-3     ,B31.3          ,13D       
PA        ,239-A,6951-239-A,#N/A,13D-CD-6118713-01,4                        ,BEIGE 88023         ,05/28/2020,06/10/2020,06/11/2020,06/11/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G3A-3     ,B31.3          ,13D       
PA        ,240-A,6951-240-A,#N/A,13D-CD-6118713-02,4                        ,BEIGE 88023         ,05/28/2020,06/11/2020,06/11/2020,06/11/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G3A-3     ,B31.3          ,13D       
PA        ,241-A,6951-241-A,#N/A,13D-CD-6118717-01,4                        ,BEIGE 88023         ,05/28/2020,06/11/2020,06/11/2020,06/11/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G3A-3     ,B31.3          ,13D       
PA        ,274-B,6951-274-B,#N/A,13D-P-6119471-01,6a                       ,ALUMINUM            ,03/23/2020,03/25/2020,03/25/2020,03/26/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G3A-3     ,B31.3          ,13D       
PA        ,259-A,6951-259-A,#N/A,13D-P-6118705-01,6A                       ,ALUMINUM            ,05/28/2020,06/17/2020,06/18/2020,06/22/2020,,,06/24/2020,,06/24/2020,06/25/2020,,,,P2029     ,G1A-3     ,B31.3          ,13D       
PA        ,263-A,6951-263-A,#N/A,13D-P-6118707-03,6A                       ,ALUMINUM            ,06/11/2020,06/18/2020,06/22/2020,06/22/2020,,,07/01/2020,,07/01/2020,07/02/2020,,,,P2031     ,G3A-3     ,B31.3          ,13D       
PA        ,262-A,6951-262-A,#N/A,13D-P-6118707-02,6A                       ,ALUMINUM            ,06/11/2020,06/24/2020,06/25/2020,06/25/2020,,,07/07/2020,,07/07/2020,07/07/2020,,,,P2032     ,G3A-3     ,B31.3          ,13D       
PA        ,266-A,6951-266-A,#N/A,13D-P-6118712-02,6A                       ,ALUMINUM            ,06/11/2020,06/23/2020,06/25/2020,06/29/2020,,,07/07/2020,,07/07/2020,07/07/2020,,,,P2032     ,G3A-3     ,B31.3          ,13D       
PA        ,267-B,6951-267-B,#N/A,13D-P-6118712-03,6A                       ,ALUMINUM            ,06/11/2020,06/23/2020,06/24/2020,06/25/2020,,,07/07/2020,,07/07/2020,07/07/2020,,,,P2032     ,G3A-3     ,B31.3          ,13D       
PA        ,261-A,6951-261-A,#N/A,13D-P-6118707-01,6A                       ,ALUMINUM            ,06/11/2020,06/29/2020,07/02/2020,07/06/2020,,,07/09/2020,,07/09/2020,07/09/2020,,,,P2034     ,G3A-3     ,B31.3          ,13D       
PA        ,265-B,6951-265-B,#N/A,13D-P-6118712-01,6A                       ,ALUMINUM            ,06/24/2020,07/02/2020,07/06/2020,07/06/2020,,,07/09/2020,,07/09/2020,07/09/2020,,,,P2034     ,G3A-3     ,B31.3          ,13D       
PA        ,267-A,6951-267-A,#N/A,13D-P-6118712-03,6A                       ,ALUMINUM            ,06/11/2020,06/30/2020,07/06/2020,07/07/2020,,,07/09/2020,,07/09/2020,07/09/2020,,,,P2034     ,G3A-3     ,B31.3          ,13D       
PA        ,261-B,6951-261-B,#N/A,13D-P-6118707-01,6A                       ,ALUMINUM            ,06/11/2020,06/23/2020,06/24/2020,06/25/2020,,,,,,,,,,P2035     ,G3A-3     ,B31.3          ,13D       
PA        ,154-B,6951-154-B,#N/A,13E-P-6118811-01,4A                       ,ALUMINUM            ,06/24/2020,07/08/2020,07/09/2020,,,,,,,,,,,,G1A-3     ,B31.3          ,13E       
PA        ,219-A,6951-219-A,#N/A,13E-P-6118802-01,4A                       ,ALUMINUM            ,06/11/2020,06/24/2020,06/25/2020,06/29/2020,,,,,,,,,,,G3A-3     ,B31.3          ,13E       
