,1462,,,,,,1419,1326,1316,1310,24,0,1182,0,485,992,134,244,280,,,,
SHOP,ISO NO.,PIECE MARK,PA,REF. DWG.,PAINT SYS.,TOP COAT,DATE PULL,FIRST FIT,FINAL FIT,WELD OUT,DATE TO STRESS,BACK AT SHOP,SHOP QC,CLIENT QC,READY TO SHIP COATING,SHIP TO COATING,APPROVAL TO SHIP,READY TO SHIP,TO SITE,LOAD NO.,SPEC.,FAB CODE,PHASE
BR        ,184,6951-184-C,#N/A,15A-NG-6122412-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/19/2020,03/19/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15A       
BR        ,184,6951-184-D,#N/A,15A-NG-6122412-01,NONE                     ,-                   ,03/16/2020,03/19/2020,03/19/2020,03/19/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15A       
BR        ,184,6951-184-E,#N/A,15A-NG-6122412-01,NONE                     ,-                   ,03/16/2020,03/19/2020,03/19/2020,03/19/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15A       
BR        ,184,6951-184-F,#N/A,15A-NG-6122412-01,NONE                     ,-                   ,03/16/2020,03/19/2020,03/24/2020,03/24/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15A       
BR        ,186,6951-186-B,#N/A,15A-NG-6122413-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/18/2020,03/18/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15A       
BR        ,186,6951-186-C,#N/A,15A-NG-6122413-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/18/2020,03/18/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15A       
BR        ,186,6951-186-D,#N/A,15A-NG-6122413-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/23/2020,03/23/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15A       
BR        ,186,6951-186-E,#N/A,15A-NG-6122413-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/18/2020,03/18/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15A       
BR        ,186,6951-186-F,#N/A,15A-NG-6122413-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/18/2020,03/18/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15A       
BR        ,189,6951-189-A,#N/A,15B-NG-6122404-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/18/2020,03/18/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15B       
BR        ,189,6951-189-B,#N/A,15B-NG-6122404-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/18/2020,03/18/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15B       
BR        ,189,6951-189-C,#N/A,15B-NG-6122404-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/18/2020,03/18/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15B       
BR        ,190,6951-190-A,#N/A,15B-NG-6122405-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/19/2020,03/19/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15B       
BR        ,190,6951-190-B,#N/A,15B-NG-6122405-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/19/2020,03/19/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15B       
BR        ,190,6951-190-C,#N/A,15B-NG-6122405-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/18/2020,03/18/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15B       
BR        ,191,6951-191-A,#N/A,15B-NG-6122411-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/18/2020,03/18/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15B       
BR        ,191,6951-191-B,#N/A,15B-NG-6122411-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/19/2020,03/19/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15B       
BR        ,191,6951-191-C,#N/A,15B-NG-6122411-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/18/2020,03/18/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15B       
BR        ,192,6951-192-A,#N/A,15B-NG-6122412-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/18/2020,03/18/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15B       
BR        ,192,6951-192-B,#N/A,15B-NG-6122412-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/18/2020,03/18/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15B       
BR        ,192,6951-192-C,#N/A,15B-NG-6122412-01,NONE                     ,-                   ,03/16/2020,03/18/2020,03/18/2020,03/18/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15B       
BR        ,193,6951-193-A,#N/A,15B-NG-6122413-01,NONE                     ,-                   ,03/16/2020,03/17/2020,03/23/2020,03/23/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15B       
BR        ,193,6951-193-B,#N/A,15B-NG-6122413-01,NONE                     ,-                   ,03/16/2020,03/17/2020,03/19/2020,03/19/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15B       
BR        ,193,6951-193-C,#N/A,15B-NG-6122413-01,NONE                     ,-                   ,03/16/2020,03/17/2020,03/18/2020,03/18/2020,,,03/31/2020,,,,,06/15/2020,06/16/2020,B3001     ,G1K-1     ,B31.3          ,15B       
BR        ,195,6951-195-A,#N/A,15C-NG-6122404-01,NONE                     ,-                   ,05/14/2020,05/19/2020,05/19/2020,05/19/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1K-1     ,B31.3          ,15C       
BR        ,195,6951-195-B,#N/A,15C-NG-6122404-01,NONE                     ,-                   ,05/14/2020,05/19/2020,05/19/2020,05/19/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1K-1     ,B31.3          ,15C       
BR        ,196,6951-196-A,#N/A,15C-NG-6122405-01,NONE                     ,-                   ,05/14/2020,05/18/2020,05/18/2020,05/18/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1K-1     ,B31.3          ,15C       
BR        ,196,6951-196-B,#N/A,15C-NG-6122405-01,NONE                     ,-                   ,05/14/2020,05/18/2020,05/18/2020,05/18/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1K-1     ,B31.3          ,15C       
BR        ,197,6951-197-A,#N/A,15C-NG-6122411-01,NONE                     ,-                   ,05/14/2020,05/18/2020,05/18/2020,05/18/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1K-1     ,B31.3          ,15C       
BR        ,197,6951-197-B,#N/A,15C-NG-6122411-01,NONE                     ,-                   ,05/14/2020,05/18/2020,05/18/2020,05/18/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1K-1     ,B31.3          ,15C       
BR        ,198,6951-198-A,#N/A,15C-NG-6122412-01,NONE                     ,-                   ,05/14/2020,05/18/2020,05/19/2020,05/19/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1K-1     ,B31.3          ,15C       
BR        ,198,6951-198-B,#N/A,15C-NG-6122412-01,NONE                     ,-                   ,05/14/2020,05/18/2020,05/19/2020,05/19/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1K-1     ,B31.3          ,15C       
BR        ,199,6951-199-A,#N/A,15C-NG-6122413-01,NONE                     ,-                   ,05/14/2020,05/18/2020,05/19/2020,05/19/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1K-1     ,B31.3          ,15C       
BR        ,199,6951-199-B,#N/A,15C-NG-6122413-01,NONE                     ,-                   ,05/14/2020,05/18/2020,05/19/2020,05/19/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1K-1     ,B31.3          ,15C       
BR        ,816,6951-816-C,#N/A,14B-DW-6197056-01,NONE                     ,-                   ,04/29/2020,04/30/2020,05/06/2020,05/06/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1U-8-TP1 ,B31.3          ,14B       
BR        ,816,6951-816-D,#N/A,14B-DW-6197056-01,NONE                     ,-                   ,04/29/2020,04/30/2020,05/07/2020,05/07/2020,,,06/11/2020,,,,,06/15/2020,06/16/2020,B3002     ,G1U-8-TP1 ,B31.3          ,14B       
BR        ,817,6951-817-A,#N/A,14B-DW-6197056-02,NONE                     ,-                   ,06/29/2020,07/01/2020,07/01/2020,07/01/2020,,,07/08/2020,,,,,,,B3003     ,G1U-8-TP1 ,B31.3          ,14B       
BR        ,817,6951-817-B,#N/A,14B-DW-6197056-02,NONE                     ,-                   ,06/29/2020,07/01/2020,07/01/2020,07/01/2020,,,07/08/2020,,,,,,,B3003     ,G1U-8-TP1 ,B31.3          ,14B       
PA        ,25-A,6951-25-A,#N/A,13A-CD-6119808-01,4                        ,BEIGE 88023         ,05/28/2020,06/18/2020,06/18/2020,06/18/2020,,,,,,,,,,,G3A-3     ,B31.3          ,13A       
PA        ,26-A,6951-26-A,#N/A,13A-CD-6119811-01,4                        ,BEIGE 88023         ,05/28/2020,06/10/2020,06/11/2020,06/11/2020,,,,,,,,,,,G3A-3     ,B31.3          ,13A       
PA        ,28-A,6951-28-A,#N/A,13A-CWS-6118186-01,1                        ,BEIGE 88023         ,06/01/2020,06/11/2020,06/11/2020,06/11/2020,,,07/01/2020,,07/01/2020,07/02/2020,,,,P2031     ,G1U-4-TP1 ,B31.3          ,13A       
PA        ,29-A,6951-29-A,#N/A,13A-CWS-6118187-01,1                        ,BEIGE 88023         ,06/01/2020,06/11/2020,06/11/2020,06/11/2020,,,07/01/2020,,07/01/2020,07/02/2020,,,,P2031     ,G1U-4-TP1 ,B31.3          ,13A       
PA        ,30-A,6951-30-A,#N/A,13A-CWS-6118188-01,1                        ,BEIGE 88023         ,06/01/2020,06/11/2020,06/11/2020,06/11/2020,,,07/01/2020,,07/01/2020,07/02/2020,,,,P2031     ,G1U-4-TP1 ,B31.3          ,13A       
PA        ,33-A,6951-33-A,#N/A,13A-P-6118102-01,6                        ,BEIGE 88023         ,06/15/2020,06/22/2020,06/23/2020,06/24/2020,,,,,,,,,,,G3A-3     ,B31.3          ,13A       
PA        ,33-B,6951-33-B,#N/A,13A-P-6118102-01,6                        ,BEIGE 88023         ,06/15/2020,06/24/2020,06/25/2020,06/25/2020,,,07/09/2020,,07/09/2020,07/09/2020,,,,P2034     ,G3A-3     ,B31.3          ,13A       
PA        ,34-A,6951-34-A,#N/A,13A-P-6118104-01,6                        ,BEIGE 88023         ,06/11/2020,06/23/2020,06/23/2020,06/23/2020,,,06/24/2020,,06/24/2020,06/25/2020,,,,P2029     ,G3A-3     ,B31.3          ,13A       
PA        ,35-A,6951-35-A,#N/A,13A-P-6118104-02,6                        ,BEIGE 88023         ,06/15/2020,06/22/2020,06/23/2020,06/23/2020,,,07/07/2020,,07/07/2020,07/07/2020,,,,P2032     ,G3A-3     ,B31.3          ,13A       
PA        ,35-B,6951-35-B,#N/A,13A-P-6118104-02,6                        ,BEIGE 88023         ,06/15/2020,06/24/2020,06/25/2020,06/29/2020,,,,,,,,,,,G3A-3     ,B31.3          ,13A       
PA        ,36-A,6951-36-A,#N/A,13A-P-6118110-01,6                        ,BEIGE 88023         ,05/28/2020,06/11/2020,06/15/2020,06/16/2020,,,07/01/2020,,07/01/2020,07/02/2020,,,,P2031     ,G1A-3     ,B31.3          ,13A       
PA        ,37-B,6951-37-B,#N/A,13A-P-6119109-01,4                        ,ALUMINUM            ,06/01/2020,06/16/2020,06/17/2020,06/17/2020,,,,,,,,,,,G6A-1     ,B31.3          ,13A       
PA        ,37-C,6951-37-C,#N/A,13A-P-6119109-01,4                        ,ALUMINUM            ,06/01/2020,06/03/2020,06/03/2020,06/03/2020,,,06/23/2020,,06/23/2020,06/23/2020,,,,P2026     ,G6A-1     ,B31.3          ,13A       
PA        ,41-A,6951-41-A,#N/A,13A-TRIM-6119830-01,6A                       ,ALUMINUM            ,05/28/2020,06/09/2020,06/10/2020,06/10/2020,,,06/23/2020,,06/23/2020,06/23/2020,,,,P2026     ,G3A-3     ,B31.3          ,13A       
PA        ,42-A,6951-42-A,#N/A,13A-TRIM-6119830-02,6A                       ,ALUMINUM            ,05/28/2020,06/09/2020,06/10/2020,06/10/2020,,,06/23/2020,,06/23/2020,06/23/2020,,,,P2026     ,G3A-3     ,B31.3          ,13A       
PA        ,43-A,6951-43-A,#N/A,13A-CD-6118107-01,4                        ,BEIGE 88023         ,05/28/2020,06/09/2020,06/09/2020,06/10/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G3A-3     ,B31.3          ,13A       
PA        ,44-A,6951-44-A,#N/A,13A-CD-6118107-02,4                        ,BEIGE 88023         ,05/28/2020,06/11/2020,06/15/2020,06/15/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G3A-3     ,B31.3          ,13A       
PA        ,46-A,6951-46-A,#N/A,13A-CD-6118112-01,4                        ,BEIGE 88023         ,05/28/2020,06/10/2020,06/11/2020,06/11/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G3A-3     ,B31.3          ,13A       
PA        ,47-B,6951-47-B,#N/A,13A-CD-6118112-02,4                        ,BEIGE 88023         ,05/28/2020,06/10/2020,06/15/2020,06/15/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G3A-3     ,B31.3          ,13A       
PA        ,48-A,6951-48-A,#N/A,13A-CD-6118113-01,4                        ,BEIGE 88023         ,05/28/2020,06/09/2020,06/10/2020,06/10/2020,,,,,,,,,,,G3A-3     ,B31.3          ,13A       
PA        ,51-B,6951-51-B,#N/A,13A-CWR-6118192-02,1                        ,BEIGE 88023         ,03/23/2020,03/26/2020,03/26/2020,03/26/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G1U-4-TP1 ,B31.3          ,13A       
PA        ,52-B,6951-52-B,#N/A,13A-CWR-6118194-01,1                        ,BEIGE 88023         ,03/23/2020,03/26/2020,03/26/2020,03/26/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G1U-4-TP1 ,B31.3          ,13A       
PA        ,55-A,6951-55-A,#N/A,13A-CWS-6118190-01,1                        ,BEIGE 88023         ,03/23/2020,03/26/2020,03/26/2020,03/27/2020,,,06/24/2020,,06/29/2020,06/29/2020,,,,P2027     ,G1U-4-TP1 ,B31.3          ,13A       
