FORECAST JOB: 6951 , FORECAST RUN: MAX,,,,,,,,,,,,,,,,,,
BOM PATH, STATUS, POS, TAG NUMBER, SIZE, LIST QUANTITY, UNIT, TRANSMITTL, STATUS, WAREHOUSE, PO NUMBER, VENDOR, PRED ON SITE, GROUP-PERF, SKETCH, PRIORITY,PERCENTAGE COMPLETE,CLIENT-REV,SPEC,CWP
PIPING/6951/13D/270-A,Completed with Current Inventory.,1,CJJJ1LT~2,2,1,ea,43,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-270-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/270-A,Completed with Current Inventory.,2,C1NFHH60~3/4,4-Mar,1,ea,43,Complete,MAIN PA WAREHOUSE, , , ,VALVES / IN-LINE ITEMS,6951-270-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/270-A,Completed with Current Inventory.,3,C1NFHH60~3/4,4-Mar,1,ea,43,Complete,MAIN PA WAREHOUSE, , , ,VALVES / IN-LINE ITEMS,6951-270-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/270-A,Completed with Current Inventory.,4,C1NFHH4L~2,2,1,ea,43,Complete,MAIN PA WAREHOUSE, , , ,VALVES / IN-LINE ITEMS,6951-270-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/270-A,Completed with Current Inventory.,5,C1NFHH5Y~2,2,1,ea,43,Complete,MAIN PA WAREHOUSE, , , ,VALVES / IN-LINE ITEMS,6951-270-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/270-A,Completed with Current Inventory.,6,CJJJ1C6~2,2,2,ea,43,Complete,MAIN PA WAREHOUSE, , , ,FLANGES,6951-270-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/270-A,Completed with Current Inventory.,7,CEK5493~2,2,4.1,ft,43,Complete,MAIN PA WAREHOUSE, , , ,PIPE,6951-270-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/270-A,Completed with Current Inventory.,8,C1NFES6X~3/4,4-Mar,1,ea,43,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-270-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/270-A,Completed with Current Inventory.,9,CJJKGVH~2X3/4,2X3/4,1,ea,43,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-270-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/270-A,Completed with Current Inventory.,10,CJJKGVH~2X3/4,2X3/4,1,ea,43,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-270-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/270-A,Completed with Current Inventory.,11,C1NFES6X~3/4,4-Mar,1,ea,43,Complete,MAIN PA WAREHOUSE, , , ,FITTINGS,6951-270-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/270-A,Completed with Current Inventory.,12,PS615-A_270-A~3/4,4-Mar,2,ea,43,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-270-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/272-A,Completed with Current Inventory.,1,PS605-6-25.33-2-W-S_272-A~8,8,1,ea,43,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-272-A,11,100%,0,G3H-1-TP1,13D
PIPING/6951/13D/272-A,Completed with Current Inventory.,2,PS612-6_272-A~8,8,1,ea,43,Complete,MAIN PA WAREHOUSE, , , ,SUPPORTS,6951-272-A,11,100%,0,G3H-1-TP1,13D
